Contest,Ballot Item ID,Precinct,Candidate/Choice,Party,Total Votes,Election Day,AV Counting Boards,Early Voting
"Delegate to County Convention for Lee Township, Precinct 2 (DEM)",01000000-5ca2-fec1-bd5a-08dedc55e1d8,"Lee Township, Precinct 2",Write-in,Democrat,15,13,0,2
"Delegate to County Convention for City of Midland, Ward 5, Precinct 9 (REP)",01000000-5ca2-fec1-d25a-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",Diane M. Bristol,Republican,166,78,86,2
"Delegate to County Convention for City of Midland, Ward 5, Precinct 9 (REP)",01000000-5ca2-fec1-d25a-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",Luke Derheim,Republican,154,76,76,2
"Delegate to County Convention for City of Midland, Ward 5, Precinct 9 (REP)",01000000-5ca2-fec1-d25a-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",Annette Glenn,Republican,247,134,109,4
"Delegate to County Convention for City of Midland, Ward 5, Precinct 9 (REP)",01000000-5ca2-fec1-d25a-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",Bill Lauderbach,Republican,194,95,97,2
"Delegate to County Convention for City of Midland, Ward 5, Precinct 9 (REP)",01000000-5ca2-fec1-d25a-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",John Charles Levy,Republican,169,84,83,2
"Delegate to County Convention for City of Midland, Ward 5, Precinct 9 (REP)",01000000-5ca2-fec1-d25a-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",Chris Moultrup,Republican,159,78,79,2
"Delegate to County Convention for City of Midland, Ward 5, Precinct 9 (REP)",01000000-5ca2-fec1-d25a-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",Write-in,Republican,0,0,0,0
"Delegate to County Convention for City of Midland, Ward 5, Precinct 10 (DEM)",01000000-5ca2-fec1-b781-08dedc55e1d8,"City of Midland, Ward 5, Precinct 10",Kathleen Curell,Democrat,589,191,369,29
"Delegate to County Convention for City of Midland, Ward 5, Precinct 10 (DEM)",01000000-5ca2-fec1-b781-08dedc55e1d8,"City of Midland, Ward 5, Precinct 10",S. Michael Curell,Democrat,498,157,316,25
