Contest,Ballot Item ID,Precinct,Candidate/Choice,Party,Total Votes,Election Day,AV Counting Boards,Early Voting
"Delegate to County Convention for City of Midland, Ward 5, Precinct 10 (DEM)",01000000-5ca2-fec1-b781-08dedc55e1d8,"City of Midland, Ward 5, Precinct 10",Jacob Sinclair,Democrat,552,178,341,33
"Delegate to County Convention for City of Midland, Ward 5, Precinct 10 (DEM)",01000000-5ca2-fec1-b781-08dedc55e1d8,"City of Midland, Ward 5, Precinct 10",Write-in,Democrat,7,3,0,4
"Delegate to County Convention for Homer Township, Precinct 1 (DEM)",01000000-5ca2-fec1-b928-08dedc55e1d8,"Homer Township, Precinct 1",Write-in,Democrat,13,12,0,1
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"City of Midland, Ward 1, Precinct 1",Kristen McDonald Rivet,Democrat,565,191,353,21
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"City of Midland, Ward 1, Precinct 1",Write-in,Democrat,3,3,0,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"City of Midland, Ward 1, Precinct 2",Kristen McDonald Rivet,Democrat,431,145,255,31
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"City of Midland, Ward 1, Precinct 2",Write-in,Democrat,1,1,0,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"City of Midland, Ward 2, Precinct 3",Kristen McDonald Rivet,Democrat,516,147,341,28
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"City of Midland, Ward 2, Precinct 3",Write-in,Democrat,5,4,0,1
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"City of Midland, Ward 2, Precinct 4",Kristen McDonald Rivet,Democrat,770,243,481,46
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"City of Midland, Ward 2, Precinct 4",Write-in,Democrat,4,4,0,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"City of Midland, Ward 3, Precinct 5",Kristen McDonald Rivet,Democrat,599,195,367,37
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"City of Midland, Ward 3, Precinct 5",Write-in,Democrat,2,2,0,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"City of Midland, Ward 3, Precinct 6",Kristen McDonald Rivet,Democrat,736,216,503,17
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"City of Midland, Ward 3, Precinct 6",Write-in,Democrat,2,2,0,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"City of Midland, Ward 4, Precinct 7",Kristen McDonald Rivet,Democrat,753,218,502,33
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"City of Midland, Ward 4, Precinct 7",Write-in,Democrat,2,2,0,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"City of Midland, Ward 4, Precinct 8",Kristen McDonald Rivet,Democrat,762,225,508,29
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"City of Midland, Ward 4, Precinct 8",Write-in,Democrat,3,2,0,1
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",Kristen McDonald Rivet,Democrat,769,251,493,25
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",Write-in,Democrat,2,2,0,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"City of Midland, Ward 5, Precinct 10",Kristen McDonald Rivet,Democrat,790,265,489,36
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"City of Midland, Ward 5, Precinct 10",Write-in,Democrat,6,5,0,1
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Homer Township, Precinct 1",Kristen McDonald Rivet,Democrat,187,183,0,4
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Homer Township, Precinct 1",Write-in,Democrat,0,0,0,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Homer Township, Precinct 2",Kristen McDonald Rivet,Democrat,131,128,0,3
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Homer Township, Precinct 2",Write-in,Democrat,0,0,0,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Homer Township, Precinct 3",Kristen McDonald Rivet,Democrat,213,203,0,10
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Homer Township, Precinct 3",Write-in,Democrat,1,0,0,1
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Hope Township, Precinct 1",Kristen McDonald Rivet,Democrat,126,126,0,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Hope Township, Precinct 1",Write-in,Democrat,1,1,0,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Ingersoll Township, Precinct 1",Kristen McDonald Rivet,Democrat,162,159,0,3
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Ingersoll Township, Precinct 1",Write-in,Democrat,5,5,0,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Ingersoll Township, Precinct 2",Kristen McDonald Rivet,Democrat,112,109,0,3
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Ingersoll Township, Precinct 2",Write-in,Democrat,0,0,0,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Jerome Township, Precinct 1",Kristen McDonald Rivet,Democrat,285,58,219,8
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Jerome Township, Precinct 1",Write-in,Democrat,3,3,0,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Jerome Township, Precinct 2",Kristen McDonald Rivet,Democrat,223,55,158,10
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Jerome Township, Precinct 2",Write-in,Democrat,1,1,0,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Larkin Township, Precinct 1",Kristen McDonald Rivet,Democrat,253,85,158,10
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Larkin Township, Precinct 1",Write-in,Democrat,4,3,1,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Larkin Township, Precinct 2",Kristen McDonald Rivet,Democrat,374,138,216,20
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Larkin Township, Precinct 2",Write-in,Democrat,2,1,1,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Lee Township, Precinct 1",Kristen McDonald Rivet,Democrat,162,154,0,8
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Lee Township, Precinct 1",Write-in,Democrat,1,1,0,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Lee Township, Precinct 2",Kristen McDonald Rivet,Democrat,151,149,0,2
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Lee Township, Precinct 2",Write-in,Democrat,2,2,0,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Lincoln Township, Precinct 1",Kristen McDonald Rivet,Democrat,310,293,0,17
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Lincoln Township, Precinct 1",Write-in,Democrat,5,5,0,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Midland Township, Precinct 1",Kristen McDonald Rivet,Democrat,236,231,0,5
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Midland Township, Precinct 1",Write-in,Democrat,1,1,0,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Mills Township, Precinct 1",Kristen McDonald Rivet,Democrat,182,172,0,10
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Mills Township, Precinct 1",Write-in,Democrat,0,0,0,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Mt. Haley Township, Precinct 1",Kristen McDonald Rivet,Democrat,199,182,0,17
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Mt. Haley Township, Precinct 1",Write-in,Democrat,1,1,0,0
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Porter Township, Precinct 1",Kristen McDonald Rivet,Democrat,112,110,0,2
Representative in Congress 8th District (DEM),01000000-5ca2-fec1-a847-08dedc55e1d8,"Porter Township, Precinct 1",Write-in,Democrat,0,0,0,0
"Delegate to County Convention for Midland Township, Precinct 1 (REP)",01000000-5ca2-fec1-e15c-08dedc55e1d8,"Midland Township, Precinct 1",Ken Mault,Republican,213,207,0,6
"Delegate to County Convention for Midland Township, Precinct 1 (REP)",01000000-5ca2-fec1-e15c-08dedc55e1d8,"Midland Township, Precinct 1",Write-in,Republican,1,1,0,0
"Delegate to County Convention for Warren Township, Precinct 1 (REP)",01000000-5ca2-fec1-e3ab-08dedc55e1d8,"Warren Township, Precinct 1",Jenny Anway,Republican,181,180,0,1
"Delegate to County Convention for Warren Township, Precinct 1 (REP)",01000000-5ca2-fec1-e3ab-08dedc55e1d8,"Warren Township, Precinct 1",Stanley Anway,Republican,182,182,0,0
"Delegate to County Convention for Warren Township, Precinct 1 (REP)",01000000-5ca2-fec1-e3ab-08dedc55e1d8,"Warren Township, Precinct 1",Write-in,Republican,3,3,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Coleman, Precinct 1",Mike Cox,Republican,19,16,0,3
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Coleman, Precinct 1",John James,Republican,62,59,0,3
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Coleman, Precinct 1",Perry Johnson,Republican,34,32,0,2
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Coleman, Precinct 1",Aric Nesbitt,Republican,1,1,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Coleman, Precinct 1",Write-in,Republican,0,0,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 1, Precinct 1",Mike Cox,Republican,38,18,20,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 1, Precinct 1",John James,Republican,177,94,66,17
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 1, Precinct 1",Perry Johnson,Republican,99,44,53,2
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 1, Precinct 1",Aric Nesbitt,Republican,4,0,4,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 1, Precinct 1",Write-in,Republican,0,0,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 1, Precinct 2",Mike Cox,Republican,31,14,16,1
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 1, Precinct 2",John James,Republican,134,74,58,2
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 1, Precinct 2",Perry Johnson,Republican,87,45,41,1
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 1, Precinct 2",Aric Nesbitt,Republican,3,2,1,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 1, Precinct 2",Write-in,Republican,0,0,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 2, Precinct 3",Mike Cox,Republican,51,12,38,1
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 2, Precinct 3",John James,Republican,161,73,78,10
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 2, Precinct 3",Perry Johnson,Republican,98,41,51,6
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 2, Precinct 3",Aric Nesbitt,Republican,4,0,3,1
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 2, Precinct 3",Write-in,Republican,0,0,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 2, Precinct 4",Mike Cox,Republican,69,24,44,1
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 2, Precinct 4",John James,Republican,209,103,97,9
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 2, Precinct 4",Perry Johnson,Republican,92,49,36,7
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 2, Precinct 4",Aric Nesbitt,Republican,6,2,3,1
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 2, Precinct 4",Write-in,Republican,0,0,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 3, Precinct 5",Mike Cox,Republican,50,14,33,3
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 3, Precinct 5",John James,Republican,250,137,107,6
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 3, Precinct 5",Perry Johnson,Republican,104,53,50,1
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 3, Precinct 5",Aric Nesbitt,Republican,12,7,3,2
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 3, Precinct 5",Write-in,Republican,0,0,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 3, Precinct 6",Mike Cox,Republican,69,20,47,2
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 3, Precinct 6",John James,Republican,308,148,133,27
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 3, Precinct 6",Perry Johnson,Republican,110,48,59,3
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 3, Precinct 6",Aric Nesbitt,Republican,5,2,3,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 3, Precinct 6",Write-in,Republican,0,0,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 4, Precinct 7",Mike Cox,Republican,60,10,48,2
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 4, Precinct 7",John James,Republican,268,119,142,7
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 4, Precinct 7",Perry Johnson,Republican,123,54,67,2
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 4, Precinct 7",Aric Nesbitt,Republican,10,3,7,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 4, Precinct 7",Write-in,Republican,1,1,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 4, Precinct 8",Mike Cox,Republican,58,12,45,1
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 4, Precinct 8",John James,Republican,284,142,127,15
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 4, Precinct 8",Perry Johnson,Republican,85,40,41,4
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 4, Precinct 8",Aric Nesbitt,Republican,2,0,2,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 4, Precinct 8",Write-in,Republican,0,0,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",Mike Cox,Republican,42,16,25,1
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",John James,Republican,204,126,75,3
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",Perry Johnson,Republican,111,54,56,1
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",Aric Nesbitt,Republican,4,2,2,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",Write-in,Republican,0,0,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 5, Precinct 10",Mike Cox,Republican,59,21,38,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 5, Precinct 10",John James,Republican,274,146,114,14
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 5, Precinct 10",Perry Johnson,Republican,119,47,65,7
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 5, Precinct 10",Aric Nesbitt,Republican,5,2,3,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"City of Midland, Ward 5, Precinct 10",Write-in,Republican,0,0,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Edenville Township, Precinct 1",Mike Cox,Republican,48,47,0,1
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Edenville Township, Precinct 1",John James,Republican,192,191,0,1
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Edenville Township, Precinct 1",Perry Johnson,Republican,129,129,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Edenville Township, Precinct 1",Aric Nesbitt,Republican,7,7,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Edenville Township, Precinct 1",Write-in,Republican,2,2,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Geneva Township, Precinct 1",Mike Cox,Republican,28,27,0,1
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Geneva Township, Precinct 1",John James,Republican,74,74,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Geneva Township, Precinct 1",Perry Johnson,Republican,57,56,0,1
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Geneva Township, Precinct 1",Aric Nesbitt,Republican,2,2,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Geneva Township, Precinct 1",Write-in,Republican,0,0,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Greendale Township, Precinct 1",Mike Cox,Republican,25,25,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Greendale Township, Precinct 1",John James,Republican,115,107,0,8
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Greendale Township, Precinct 1",Perry Johnson,Republican,80,79,0,1
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Greendale Township, Precinct 1",Aric Nesbitt,Republican,5,5,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Greendale Township, Precinct 1",Write-in,Republican,1,1,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Homer Township, Precinct 1",Mike Cox,Republican,20,20,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Homer Township, Precinct 1",John James,Republican,71,71,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Homer Township, Precinct 1",Perry Johnson,Republican,40,40,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Homer Township, Precinct 1",Aric Nesbitt,Republican,0,0,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Homer Township, Precinct 1",Write-in,Republican,1,1,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Homer Township, Precinct 2",Mike Cox,Republican,15,15,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Homer Township, Precinct 2",John James,Republican,84,82,0,2
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Homer Township, Precinct 2",Perry Johnson,Republican,63,63,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Homer Township, Precinct 2",Aric Nesbitt,Republican,6,6,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Homer Township, Precinct 2",Write-in,Republican,0,0,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Homer Township, Precinct 3",Mike Cox,Republican,27,27,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Homer Township, Precinct 3",John James,Republican,107,102,0,5
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Homer Township, Precinct 3",Perry Johnson,Republican,51,50,0,1
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Homer Township, Precinct 3",Aric Nesbitt,Republican,5,5,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Homer Township, Precinct 3",Write-in,Republican,0,0,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Hope Township, Precinct 1",Mike Cox,Republican,21,21,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Hope Township, Precinct 1",John James,Republican,133,128,0,5
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Hope Township, Precinct 1",Perry Johnson,Republican,79,75,0,4
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Hope Township, Precinct 1",Aric Nesbitt,Republican,6,6,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Hope Township, Precinct 1",Write-in,Republican,0,0,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Ingersoll Township, Precinct 1",Mike Cox,Republican,21,19,0,2
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Ingersoll Township, Precinct 1",John James,Republican,117,114,0,3
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Ingersoll Township, Precinct 1",Perry Johnson,Republican,69,69,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Ingersoll Township, Precinct 1",Aric Nesbitt,Republican,4,4,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Ingersoll Township, Precinct 1",Write-in,Republican,1,1,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Ingersoll Township, Precinct 2",Mike Cox,Republican,15,15,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Ingersoll Township, Precinct 2",John James,Republican,54,53,0,1
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Ingersoll Township, Precinct 2",Perry Johnson,Republican,71,71,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Ingersoll Township, Precinct 2",Aric Nesbitt,Republican,5,5,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Ingersoll Township, Precinct 2",Write-in,Republican,0,0,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Jasper Township, Precinct 1",Mike Cox,Republican,13,13,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Jasper Township, Precinct 1",John James,Republican,70,70,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Jasper Township, Precinct 1",Perry Johnson,Republican,46,46,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Jasper Township, Precinct 1",Aric Nesbitt,Republican,3,3,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Jasper Township, Precinct 1",Write-in,Republican,0,0,0,0
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Jerome Township, Precinct 1",Mike Cox,Republican,39,10,28,1
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Jerome Township, Precinct 1",John James,Republican,161,79,78,4
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Jerome Township, Precinct 1",Perry Johnson,Republican,103,38,62,3
Governor (REP),01000000-5ca2-fec1-bfbd-08dedc55e1d8,"Jerome Township, Precinct 1",Aric Nesbitt,Republican,3,1,2,0
