Precinct,"Toni Moceri
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"84,857","84,857","127,656","212,513"
"Armada Township, Precinct 1",156,156,936,"1,092"
"Armada Township, Precinct 2",91,91,684,775
"Bruce Township, Precinct 1",137,137,444,581
"Bruce Township, Precinct 2",178,178,902,"1,080"
"Bruce Township, Precinct 3",123,123,564,687
"Bruce Township, Precinct 4",114,114,710,824
"Center Line City, Precinct 1",216,216,206,422
"Center Line City, Precinct 2",220,220,125,345
"Center Line City, Precinct 3",271,271,184,455
"Center Line City, Precinct 4",128,128,122,250
"Center Line City, Precinct 5",129,129,111,240
"Chesterfield Township, Precinct 1",261,261,525,786
"Chesterfield Township, Precinct 2",238,238,488,726
"Chesterfield Township, Precinct 3",168,168,419,587
"Chesterfield Township, Precinct 4",187,187,308,495
"Chesterfield Township, Precinct 5",251,251,433,684
"Chesterfield Township, Precinct 6",188,188,403,591
"Chesterfield Township, Precinct 7",166,166,311,477
"Chesterfield Township, Precinct 8",162,162,396,558
"Chesterfield Township, Precinct 9",236,236,397,633
"Chesterfield Township, Precinct 10",234,234,734,968
"Chesterfield Township, Precinct 11",177,177,315,492
"Chesterfield Township, Precinct 12",239,239,325,564
"Chesterfield Township, Precinct 13",280,280,510,790
"Chesterfield Township, Precinct 14",156,156,270,426
"Chesterfield Township, Precinct 15",310,310,581,891
"Chesterfield Township, Precinct 16",205,205,464,669
"Chesterfield Township, Precinct 17",165,165,130,295
"Chesterfield Township, Precinct 18",167,167,301,468
"Chesterfield Township, Precinct 19",185,185,277,462
"Clinton Township, Precinct 1",261,261,323,584
"Clinton Township, Precinct 2",96,96,149,245
"Clinton Township, Precinct 3",257,257,234,491
"Clinton Township, Precinct 4",77,77,97,174
"Clinton Township, Precinct 5",311,311,59,370
"Clinton Township, Precinct 6",323,323,263,586
"Clinton Township, Precinct 7",119,119,143,262
"Clinton Township, Precinct 8",190,190,279,469
"Clinton Township, Precinct 9",143,143,183,326
"Clinton Township, Precinct 10",176,176,390,566
"Clinton Township, Precinct 11",237,237,218,455
"Clinton Township, Precinct 12",125,125,128,253
"Clinton Township, Precinct 13",243,243,291,534
"Clinton Township, Precinct 14",97,97,136,233
"Clinton Township, Precinct 15",173,173,276,449
"Clinton Township, Precinct 16",299,299,347,646
"Clinton Township, Precinct 17",194,194,277,471
"Clinton Township, Precinct 18",165,165,341,506
"Clinton Township, Precinct 19",206,206,479,685
"Clinton Township, Precinct 20",56,56,37,93
"Clinton Township, Precinct 21",183,183,166,349
"Clinton Township, Precinct 22",330,330,205,535
"Clinton Township, Precinct 23",315,315,476,791
"Clinton Township, Precinct 24",189,189,288,477
"Clinton Township, Precinct 25",276,276,281,557
"Clinton Township, Precinct 26",256,256,410,666
"Clinton Township, Precinct 27",212,212,396,608
"Clinton Township, Precinct 28",272,272,151,423
"Clinton Township, Precinct 29",294,294,481,775
"Clinton Township, Precinct 30",271,271,264,535
"Clinton Township, Precinct 31",293,293,336,629
"Clinton Township, Precinct 32",182,182,269,451
"Clinton Township, Precinct 33",399,399,465,864
"Clinton Township, Precinct 34",318,318,201,519
"Clinton Township, Precinct 35",441,441,673,"1,114"
"Clinton Township, Precinct 36",309,309,337,646
"Clinton Township, Precinct 37",375,375,499,874
"Clinton Township, Precinct 38",214,214,345,559
"Clinton Township, Precinct 39",240,240,361,601
"Clinton Township, Precinct 40",350,350,482,832
"Clinton Township, Precinct 41",239,239,391,630
"Clinton Township, Precinct 42",328,328,280,608
"Clinton Township, Precinct 43",116,116,219,335
"Clinton Township, Precinct 44",397,397,702,"1,099"
"Clinton Township, Precinct 45",262,262,428,690
"Clinton Township, Precinct 46",501,501,649,"1,150"
"Eastpointe City, Precinct 1",269,269,147,416
"Eastpointe City, Precinct 2",415,415,195,610
"Eastpointe City, Precinct 3",299,299,239,538
"Eastpointe City, Precinct 4",318,318,194,512
"Eastpointe City, Precinct 5",305,305,195,500
"Eastpointe City, Precinct 6",339,339,180,519
"Eastpointe City, Precinct 7",392,392,119,511
"Eastpointe City, Precinct 8",552,552,123,675
"Eastpointe City, Precinct 9",367,367,96,463
"Eastpointe City, Precinct 10",204,204,127,331
"Eastpointe City, Precinct 11",332,332,148,480
"Eastpointe City, Precinct 12",535,535,276,811
"Eastpointe City, Precinct 13",208,208,83,291
"Eastpointe City, Precinct 14",420,420,157,577
"Fraser City, Precinct 1",176,176,245,421
"Fraser City, Precinct 2",245,245,400,645
"Fraser City, Precinct 3",354,354,390,744
"Fraser City, Precinct 4",273,273,300,573
"Fraser City, Precinct 5",88,88,88,176
"Fraser City, Precinct 6",315,315,472,787
"Fraser City, Precinct 7",208,208,201,409
"Village of Grosse Pointe Shores City, Precinct 3",6,6,24,30
"Harrison Township, Precinct 1",263,263,441,704
"Harrison Township, Precinct 2",331,331,529,860
"Harrison Township, Precinct 3",213,213,607,820
"Harrison Township, Precinct 4",273,273,589,862
"Harrison Township, Precinct 5",158,158,814,972
"Harrison Township, Precinct 6",276,276,631,907
"Harrison Township, Precinct 7",212,212,711,923
"Harrison Township, Precinct 8",229,229,301,530
"Harrison Township, Precinct 9",171,171,664,835
"Harrison Township, Precinct 10",199,199,563,762
"Lenox Township, Precinct 1",110,110,393,503
"Lenox Township, Precinct 2",214,214,420,634
"Lenox Township, Precinct 3",286,286,288,574
"Lenox Township, Precinct 4",130,130,116,246
"Macomb Township, Precinct 1",145,145,396,541
"Macomb Township, Precinct 2",220,220,454,674
"Macomb Township, Precinct 3",174,174,425,599
"Macomb Township, Precinct 4",218,218,431,649
"Macomb Township, Precinct 5",282,282,495,777
"Macomb Township, Precinct 6",204,204,385,589
"Macomb Township, Precinct 7",198,198,394,592
"Macomb Township, Precinct 8",234,234,420,654
"Macomb Township, Precinct 9",103,103,363,466
"Macomb Township, Precinct 10",227,227,250,477
"Macomb Township, Precinct 11",242,242,519,761
"Macomb Township, Precinct 12",284,284,456,740
"Macomb Township, Precinct 13",202,202,467,669
"Macomb Township, Precinct 14",215,215,562,777
"Macomb Township, Precinct 15",222,222,628,850
"Macomb Township, Precinct 16",262,262,637,899
"Macomb Township, Precinct 17",272,272,508,780
"Macomb Township, Precinct 18",215,215,258,473
"Macomb Township, Precinct 19",150,150,136,286
"Macomb Township, Precinct 20",238,238,445,683
"Macomb Township, Precinct 21",252,252,599,851
"Macomb Township, Precinct 22",223,223,575,798
"Macomb Township, Precinct 23",206,206,567,773
"Macomb Township, Precinct 24",287,287,649,936
"Macomb Township, Precinct 25",143,143,348,491
"Macomb Township, Precinct 26",134,134,316,450
"Macomb Township, Precinct 27",235,235,561,796
"Macomb Township, Precinct 28",166,166,366,532
"Macomb Township, Precinct 29",245,245,327,572
"Macomb Township, Precinct 30",219,219,445,664
"Macomb Township, Precinct 31",135,135,367,502
"Macomb Township, Precinct 32",173,173,461,634
"Macomb Township, Precinct 33",161,161,303,464
"Macomb Township, Precinct 34",180,180,380,560
"Macomb Township, Precinct 35",249,249,367,616
"Macomb Township, Precinct 36",158,158,329,487
"Macomb Township, Precinct 37",156,156,451,607
"Memphis City, Precinct 1",49,49,137,186
"Mount Clemens City, Precinct 1",279,279,107,386
"Mount Clemens City, Precinct 2",320,320,319,639
"Mount Clemens City, Precinct 3",418,418,363,781
"Mount Clemens City, Precinct 4",204,204,175,379
"Mount Clemens City, Precinct 6",493,493,307,800
"Mount Clemens City, Precinct 9",304,304,416,720
"New Baltimore City, Precinct 1",171,171,308,479
"New Baltimore City, Precinct 2",104,104,270,374
"New Baltimore City, Precinct 3",260,260,593,853
"New Baltimore City, Precinct 4",278,278,424,702
"New Baltimore City, Precinct 5",213,213,413,626
"Ray Township, Precinct 1",81,81,533,614
"Ray Township, Precinct 2",137,137,698,835
"Richmond City, Precinct 1",259,259,578,837
"Richmond City, Precinct 2",194,194,447,641
"Richmond Township, Precinct 1",76,76,398,474
"Richmond Township, Precinct 2",97,97,376,473
"Roseville City, Precinct 1",282,282,271,553
"Roseville City, Precinct 2",447,447,385,832
"Roseville City, Precinct 3",363,363,195,558
"Roseville City, Precinct 4",195,195,141,336
"Roseville City, Precinct 5",270,270,230,500
"Roseville City, Precinct 6",332,332,390,722
"Roseville City, Precinct 7",405,405,335,740
"Roseville City, Precinct 8",388,388,343,731
"Roseville City, Precinct 9",380,380,448,828
"Roseville City, Precinct 10",194,194,209,403
"Roseville City, Precinct 11",281,281,277,558
"Roseville City, Precinct 12",246,246,260,506
"Roseville City, Precinct 13",156,156,140,296
"Roseville City, Precinct 14",216,216,240,456
"Roseville City, Precinct 15",402,402,285,687
"Shelby Township, Precinct 1",198,198,828,"1,026"
"Shelby Township, Precinct 2",169,169,644,813
"Shelby Township, Precinct 3",99,99,266,365
"Shelby Township, Precinct 4",162,162,522,684
"Shelby Township, Precinct 5",156,156,357,513
"Shelby Township, Precinct 6",162,162,278,440
"Shelby Township, Precinct 7",179,179,649,828
"Shelby Township, Precinct 8",82,82,336,418
"Shelby Township, Precinct 9",143,143,239,382
"Shelby Township, Precinct 10",139,139,394,533
"Shelby Township, Precinct 11",199,199,454,653
"Shelby Township, Precinct 12",95,95,465,560
"Shelby Township, Precinct 13",92,92,321,413
"Shelby Township, Precinct 14",194,194,618,812
"Shelby Township, Precinct 15",218,218,657,875
"Shelby Township, Precinct 16",250,250,882,"1,132"
"Shelby Township, Precinct 17",219,219,657,876
"Shelby Township, Precinct 18",196,196,462,658
"Shelby Township, Precinct 19",157,157,436,593
"Shelby Township, Precinct 20",133,133,358,491
"Shelby Township, Precinct 21",159,159,148,307
"Shelby Township, Precinct 22",254,254,907,"1,161"
"Shelby Township, Precinct 23",160,160,795,955
"Shelby Township, Precinct 24",226,226,"1,047","1,273"
"Shelby Township, Precinct 25",208,208,667,875
"Shelby Township, Precinct 26",250,250,542,792
"Shelby Township, Precinct 27",279,279,528,807
"Shelby Township, Precinct 28",297,297,647,944
"Shelby Township, Precinct 29",128,128,350,478
"Shelby Township, Precinct 30",137,137,481,618
"St. Clair Shores City, Precinct 1",498,498,651,"1,149"
"St. Clair Shores City, Precinct 2",442,442,539,981
"St. Clair Shores City, Precinct 3",453,453,425,878
"St. Clair Shores City, Precinct 4",412,412,488,900
"St. Clair Shores City, Precinct 5",439,439,377,816
"St. Clair Shores City, Precinct 6",467,467,309,776
"St. Clair Shores City, Precinct 7",246,246,243,489
"St. Clair Shores City, Precinct 8",343,343,400,743
"St. Clair Shores City, Precinct 9",219,219,268,487
"St. Clair Shores City, Precinct 10",386,386,446,832
"St. Clair Shores City, Precinct 11",170,170,196,366
"St. Clair Shores City, Precinct 12",406,406,586,992
"St. Clair Shores City, Precinct 13",409,409,749,"1,158"
"St. Clair Shores City, Precinct 14",147,147,174,321
"St. Clair Shores City, Precinct 15",410,410,486,896
"St. Clair Shores City, Precinct 16",344,344,473,817
"St. Clair Shores City, Precinct 17",390,390,593,983
"St. Clair Shores City, Precinct 18",279,279,439,718
"St. Clair Shores City, Precinct 19",256,256,359,615
"St. Clair Shores City, Precinct 20",188,188,239,427
"St. Clair Shores City, Precinct 21",290,290,370,660
"St. Clair Shores City, Precinct 22",220,220,334,554
"St. Clair Shores City, Precinct 23",302,302,375,677
"Sterling Heights City, Precinct 1",233,233,223,456
"Sterling Heights City, Precinct 2",373,373,347,720
"Sterling Heights City, Precinct 3",430,430,412,842
"Sterling Heights City, Precinct 4",514,514,488,"1,002"
"Sterling Heights City, Precinct 5",451,451,463,914
"Sterling Heights City, Precinct 6",199,199,319,518
"Sterling Heights City, Precinct 7",330,330,382,712
"Sterling Heights City, Precinct 8",268,268,321,589
"Sterling Heights City, Precinct 9",148,148,183,331
"Sterling Heights City, Precinct 10",334,334,429,763
"Sterling Heights City, Precinct 11",209,209,231,440
"Sterling Heights City, Precinct 12",388,388,462,850
"Sterling Heights City, Precinct 13",246,246,231,477
"Sterling Heights City, Precinct 14",221,221,192,413
"Sterling Heights City, Precinct 15",170,170,259,429
"Sterling Heights City, Precinct 16",217,217,224,441
"Sterling Heights City, Precinct 17",228,228,243,471
"Sterling Heights City, Precinct 18",365,365,413,778
"Sterling Heights City, Precinct 19",374,374,411,785
"Sterling Heights City, Precinct 20",317,317,394,711
"Sterling Heights City, Precinct 21",187,187,224,411
"Sterling Heights City, Precinct 22",194,194,300,494
"Sterling Heights City, Precinct 23",225,225,288,513
"Sterling Heights City, Precinct 24",210,210,289,499
"Sterling Heights City, Precinct 25",389,389,481,870
"Sterling Heights City, Precinct 26",306,306,516,822
"Sterling Heights City, Precinct 27",298,298,402,700
"Sterling Heights City, Precinct 28",288,288,415,703
"Sterling Heights City, Precinct 29",246,246,366,612
"Sterling Heights City, Precinct 30",165,165,197,362
"Sterling Heights City, Precinct 31",180,180,182,362
"Sterling Heights City, Precinct 32",90,90,95,185
"Sterling Heights City, Precinct 33",236,236,348,584
"Sterling Heights City, Precinct 34",260,260,470,730
"Sterling Heights City, Precinct 35",160,160,190,350
"Sterling Heights City, Precinct 36",341,341,462,803
"Sterling Heights City, Precinct 37",304,304,378,682
"Sterling Heights City, Precinct 38",411,411,470,881
"Sterling Heights City, Precinct 39",241,241,362,603
"Sterling Heights City, Precinct 40",114,114,181,295
"Sterling Heights City, Precinct 41",189,189,259,448
"Sterling Heights City, Precinct 42",226,226,388,614
"Sterling Heights City, Precinct 43",445,445,677,"1,122"
