Precinct,"Joseph Jarzyna
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Ray Township, Precinct 1",398,398,216,614
"Ray Township, Precinct 2",518,518,317,835
Totals,916,916,533,"1,449"

