Precinct,"James M. Perna
Republican","Jeff Ford
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"4,018","2,333","6,351","10,801","17,152"
"Clinton Township, Precinct 3",78,75,153,338,491
"Clinton Township, Precinct 5",13,7,20,350,370
"Clinton Township, Precinct 7",55,44,99,163,262
"Clinton Township, Precinct 9",87,36,123,203,326
"Clinton Township, Precinct 10",186,106,292,274,566
"Clinton Township, Precinct 11",98,51,149,306,455
"Clinton Township, Precinct 12",45,36,81,172,253
"Clinton Township, Precinct 13",117,75,192,342,534
"Clinton Township, Precinct 16",135,95,230,416,646
"Clinton Township, Precinct 17",120,65,185,286,471
"Clinton Township, Precinct 18",145,77,222,284,506
"Clinton Township, Precinct 19",241,88,329,356,685
"Clinton Township, Precinct 20",7,19,26,67,93
"Clinton Township, Precinct 21",65,31,96,253,349
"Clinton Township, Precinct 22",63,49,112,423,535
"Clinton Township, Precinct 23",177,120,297,494,791
"Clinton Township, Precinct 24",125,60,185,292,477
"Clinton Township, Precinct 25",116,65,181,376,557
"Clinton Township, Precinct 26",168,116,284,382,666
"Clinton Township, Precinct 27",195,82,277,331,608
"Clinton Township, Precinct 30",85,73,158,377,535
"Clinton Township, Precinct 31",126,89,215,414,629
"Clinton Township, Precinct 32",117,64,181,270,451
"Clinton Township, Precinct 33",207,100,307,557,864
"Clinton Township, Precinct 35",292,175,467,647,"1,114"
"Clinton Township, Precinct 36",152,69,221,425,646
"Clinton Township, Precinct 37",175,140,315,559,874
"Clinton Township, Precinct 39",160,81,241,360,601
"Clinton Township, Precinct 40",208,102,310,522,832
"Clinton Township, Precinct 41",170,83,253,377,630
"Clinton Township, Precinct 43",90,60,150,185,335
Totals,"4,018","2,333","6,351","10,801","17,152"

