Precinct,"Leon Drolet
Republican","Karen M. Goodhue
Republican","Brianna Marie Kirk
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"6,593","3,969","1,581","12,143","11,526","23,669"
"Macomb Township, Precinct 1",202,81,29,312,229,541
"Macomb Township, Precinct 2",135,144,42,321,353,674
"Macomb Township, Precinct 3",183,92,55,330,269,599
"Macomb Township, Precinct 4",184,109,24,317,332,649
"Macomb Township, Precinct 5",220,113,56,389,388,777
"Macomb Township, Precinct 6",161,76,41,278,311,589
"Macomb Township, Precinct 7",182,82,29,293,299,592
"Macomb Township, Precinct 8",171,100,45,316,338,654
"Macomb Township, Precinct 9",124,138,35,297,169,466
"Macomb Township, Precinct 10",75,64,23,162,315,477
"Macomb Township, Precinct 11",234,117,55,406,355,761
"Macomb Township, Precinct 12",187,110,51,348,392,740
"Macomb Township, Precinct 13",251,81,38,370,299,669
"Macomb Township, Precinct 14",252,122,50,424,353,777
"Macomb Township, Precinct 15",278,157,48,483,367,850
"Macomb Township, Precinct 16",248,175,58,481,418,899
"Macomb Township, Precinct 17",214,114,61,389,391,780
"Macomb Township, Precinct 18",91,60,30,181,292,473
"Macomb Township, Precinct 19",34,30,23,87,199,286
"Macomb Township, Precinct 20",179,110,52,341,342,683
"Macomb Township, Precinct 21",235,143,58,436,415,851
"Macomb Township, Precinct 22",260,136,40,436,362,798
"Macomb Township, Precinct 23",225,167,58,450,323,773
"Macomb Township, Precinct 24",264,157,57,478,458,936
"Macomb Township, Precinct 25",133,82,31,246,245,491
"Macomb Township, Precinct 26",115,89,37,241,209,450
"Macomb Township, Precinct 27",237,114,70,421,375,796
"Macomb Township, Precinct 28",149,93,39,281,251,532
"Macomb Township, Precinct 29",127,85,35,247,325,572
"Macomb Township, Precinct 30",208,107,61,376,288,664
"Macomb Township, Precinct 31",128,103,36,267,235,502
"Macomb Township, Precinct 32",182,121,45,348,286,634
"Macomb Township, Precinct 33",115,74,27,216,248,464
"Macomb Township, Precinct 34",172,98,24,294,266,560
"Macomb Township, Precinct 35",143,88,41,272,344,616
"Macomb Township, Precinct 36",110,81,43,234,253,487
"Macomb Township, Precinct 37",185,156,34,375,232,607
Totals,"6,593","3,969","1,581","12,143","11,526","23,669"

