Precinct,"No Nomination",Overvotes/Undervotes,"Total Ballots Cast"
Totals,-,"23,669","23,669"
"Macomb Township, Precinct 1",-,541,541
"Macomb Township, Precinct 2",-,674,674
"Macomb Township, Precinct 3",-,599,599
"Macomb Township, Precinct 4",-,649,649
"Macomb Township, Precinct 5",-,777,777
"Macomb Township, Precinct 6",-,589,589
"Macomb Township, Precinct 7",-,592,592
"Macomb Township, Precinct 8",-,654,654
"Macomb Township, Precinct 9",-,466,466
"Macomb Township, Precinct 10",-,477,477
"Macomb Township, Precinct 11",-,761,761
"Macomb Township, Precinct 12",-,740,740
"Macomb Township, Precinct 13",-,669,669
"Macomb Township, Precinct 14",-,777,777
"Macomb Township, Precinct 15",-,850,850
"Macomb Township, Precinct 16",-,899,899
"Macomb Township, Precinct 17",-,780,780
"Macomb Township, Precinct 18",-,473,473
"Macomb Township, Precinct 19",-,286,286
"Macomb Township, Precinct 20",-,683,683
"Macomb Township, Precinct 21",-,851,851
"Macomb Township, Precinct 22",-,798,798
"Macomb Township, Precinct 23",-,773,773
"Macomb Township, Precinct 24",-,936,936
"Macomb Township, Precinct 25",-,491,491
"Macomb Township, Precinct 26",-,450,450
"Macomb Township, Precinct 27",-,796,796
"Macomb Township, Precinct 28",-,532,532
"Macomb Township, Precinct 29",-,572,572
"Macomb Township, Precinct 30",-,664,664
"Macomb Township, Precinct 31",-,502,502
"Macomb Township, Precinct 32",-,634,634
"Macomb Township, Precinct 33",-,464,464
"Macomb Township, Precinct 34",-,560,560
"Macomb Township, Precinct 35",-,616,616
"Macomb Township, Precinct 36",-,487,487
"Macomb Township, Precinct 37",-,607,607
Totals,-,"23,669","23,669"

