Precinct,"Paul M. Smith
Republican","Adam Wiley
Republican","Jazmine M. Early
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,060","2,681","2,552","8,293","13,064","21,357"
"Sterling Heights City, Precinct 3",107,54,113,274,568,842
"Sterling Heights City, Precinct 4",124,88,121,333,669,"1,002"
"Sterling Heights City, Precinct 5",80,100,144,324,590,914
"Sterling Heights City, Precinct 6",67,66,95,228,290,518
"Sterling Heights City, Precinct 9",44,49,47,140,191,331
"Sterling Heights City, Precinct 10",99,114,85,298,465,763
"Sterling Heights City, Precinct 11",76,42,57,175,265,440
"Sterling Heights City, Precinct 12",130,103,108,341,509,850
"Sterling Heights City, Precinct 18",102,120,77,299,479,778
"Sterling Heights City, Precinct 19",113,83,95,291,494,785
"Sterling Heights City, Precinct 20",93,121,81,295,416,711
"Sterling Heights City, Precinct 21",51,50,65,166,245,411
"Sterling Heights City, Precinct 25",97,106,176,379,491,870
"Sterling Heights City, Precinct 26",131,144,106,381,441,822
"Sterling Heights City, Precinct 27",83,130,93,306,394,700
"Sterling Heights City, Precinct 28",95,88,109,292,411,703
"Sterling Heights City, Precinct 29",121,63,87,271,341,612
"Sterling Heights City, Precinct 30",55,44,38,137,225,362
"Sterling Heights City, Precinct 31",55,38,44,137,225,362
"Sterling Heights City, Precinct 36",158,91,103,352,451,803
"Sterling Heights City, Precinct 37",87,101,87,275,407,682
"Sterling Heights City, Precinct 38",120,122,103,345,536,881
"Sterling Heights City, Precinct 39",116,75,76,267,336,603
"Sterling Heights City, Precinct 40",48,44,37,129,166,295
"Sterling Heights City, Precinct 42",118,76,102,296,318,614
"Warren City, Precinct 41",131,92,32,255,595,850
"Warren City, Precinct 43",75,82,41,198,462,660
"Warren City, Precinct 44",69,39,30,138,414,552
"Warren City, Precinct 49",147,83,62,292,505,797
"Warren City, Precinct 51",105,146,66,317,571,888
"Warren City, Precinct 52",95,63,47,205,296,501
"Warren City, Precinct 53",68,64,25,157,298,455
Totals,"3,060","2,681","2,552","8,293","13,064","21,357"

