Precinct,"Douglas C. Stier
Republican","Betty L. Grader
Republican","Charles R. Bohm
Republican","Total Votes Cast","Total Ballots Cast"
"Ray Township, Precinct 1",235,256,207,698,614
"Ray Township, Precinct 2",359,290,289,938,835
Totals,594,546,496,"1,636","1,449"

