Precinct,"Camille Finlay
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Armada Township, Precinct 1",585,585,507,"1,092"
"Armada Township, Precinct 2",425,425,350,775
Totals,"1,010","1,010",857,"1,867"

