Precinct,"Larry Rocca
Republican","Sherri Murphy
Republican","Erin A. Stahl
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"42,427","25,037","20,187","87,651","124,862","212,513"
"Armada Township, Precinct 1",180,238,167,585,507,"1,092"
"Armada Township, Precinct 2",138,203,82,423,352,775
"Bruce Township, Precinct 1",129,65,79,273,308,581
"Bruce Township, Precinct 2",252,178,164,594,486,"1,080"
"Bruce Township, Precinct 3",177,134,69,380,307,687
"Bruce Township, Precinct 4",232,136,109,477,347,824
"Center Line City, Precinct 1",58,41,40,139,283,422
"Center Line City, Precinct 2",34,27,15,76,269,345
"Center Line City, Precinct 3",51,38,33,122,333,455
"Center Line City, Precinct 4",36,33,10,79,171,250
"Center Line City, Precinct 5",47,16,16,79,161,240
"Chesterfield Township, Precinct 1",121,117,130,368,418,786
"Chesterfield Township, Precinct 2",156,98,88,342,384,726
"Chesterfield Township, Precinct 3",131,83,90,304,283,587
"Chesterfield Township, Precinct 4",87,58,83,228,267,495
"Chesterfield Township, Precinct 5",126,106,70,302,382,684
"Chesterfield Township, Precinct 6",151,86,78,315,276,591
"Chesterfield Township, Precinct 7",100,62,66,228,249,477
"Chesterfield Township, Precinct 8",103,93,85,281,277,558
"Chesterfield Township, Precinct 9",139,75,95,309,324,633
"Chesterfield Township, Precinct 10",225,156,174,555,413,968
"Chesterfield Township, Precinct 11",101,78,62,241,251,492
"Chesterfield Township, Precinct 12",119,62,60,241,323,564
"Chesterfield Township, Precinct 13",147,116,113,376,414,790
"Chesterfield Township, Precinct 14",103,57,34,194,232,426
"Chesterfield Township, Precinct 15",205,124,105,434,457,891
"Chesterfield Township, Precinct 16",103,124,106,333,336,669
"Chesterfield Township, Precinct 17",34,26,27,87,208,295
"Chesterfield Township, Precinct 18",91,51,58,200,268,468
"Chesterfield Township, Precinct 19",69,60,58,187,275,462
"Clinton Township, Precinct 1",116,59,33,208,376,584
"Clinton Township, Precinct 2",52,28,23,103,142,245
"Clinton Township, Precinct 3",53,60,36,149,342,491
