Precinct,"John James
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"93,506","93,506","119,007","212,513"
"Armada Township, Precinct 1",655,655,437,"1,092"
"Armada Township, Precinct 2",491,491,284,775
"Bruce Township, Precinct 1",310,310,271,581
"Bruce Township, Precinct 2",701,701,379,"1,080"
"Bruce Township, Precinct 3",411,411,276,687
"Bruce Township, Precinct 4",555,555,269,824
"Center Line City, Precinct 1",151,151,271,422
"Center Line City, Precinct 2",79,79,266,345
"Center Line City, Precinct 3",129,129,326,455
"Center Line City, Precinct 4",84,84,166,250
"Center Line City, Precinct 5",80,80,160,240
"Chesterfield Township, Precinct 1",381,381,405,786
"Chesterfield Township, Precinct 10",597,597,371,968
"Chesterfield Township, Precinct 11",250,250,242,492
"Chesterfield Township, Precinct 12",243,243,321,564
"Chesterfield Township, Precinct 13",403,403,387,790
"Chesterfield Township, Precinct 14",217,217,209,426
"Chesterfield Township, Precinct 15",482,482,409,891
"Chesterfield Township, Precinct 16",365,365,304,669
"Chesterfield Township, Precinct 17",83,83,212,295
"Chesterfield Township, Precinct 18",211,211,257,468
"Chesterfield Township, Precinct 19",206,206,256,462
"Chesterfield Township, Precinct 2",353,353,373,726
"Chesterfield Township, Precinct 3",325,325,262,587
"Chesterfield Township, Precinct 4",230,230,265,495
"Chesterfield Township, Precinct 5",324,324,360,684
"Chesterfield Township, Precinct 6",327,327,264,591
"Chesterfield Township, Precinct 7",243,243,234,477
"Chesterfield Township, Precinct 8",291,291,267,558
"Chesterfield Township, Precinct 9",322,322,311,633
"Clinton Township, Precinct 1",225,225,359,584
"Clinton Township, Precinct 10",296,296,270,566
"Clinton Township, Precinct 11",154,154,301,455
"Clinton Township, Precinct 12",89,89,164,253
"Clinton Township, Precinct 13",196,196,338,534
"Clinton Township, Precinct 14",110,110,123,233
"Clinton Township, Precinct 15",191,191,258,449
"Clinton Township, Precinct 16",245,245,401,646
"Clinton Township, Precinct 17",195,195,276,471
"Clinton Township, Precinct 18",228,228,278,506
"Clinton Township, Precinct 19",350,350,335,685
"Clinton Township, Precinct 2",105,105,140,245
"Clinton Township, Precinct 20",26,26,67,93
"Clinton Township, Precinct 21",97,97,252,349
"Clinton Township, Precinct 22",128,128,407,535
"Clinton Township, Precinct 23",324,324,467,791
"Clinton Township, Precinct 24",200,200,277,477
"Clinton Township, Precinct 25",193,193,364,557
"Clinton Township, Precinct 26",296,296,370,666
"Clinton Township, Precinct 27",300,300,308,608
"Clinton Township, Precinct 28",89,89,334,423
"Clinton Township, Precinct 29",339,339,436,775
"Clinton Township, Precinct 3",155,155,336,491
"Clinton Township, Precinct 30",177,177,358,535
"Clinton Township, Precinct 31",230,230,399,629
"Clinton Township, Precinct 32",194,194,257,451
"Clinton Township, Precinct 33",329,329,535,864
"Clinton Township, Precinct 34",126,126,393,519
"Clinton Township, Precinct 35",489,489,625,"1,114"
"Clinton Township, Precinct 36",220,220,426,646
"Clinton Township, Precinct 37",334,334,540,874
"Clinton Township, Precinct 38",240,240,319,559
"Clinton Township, Precinct 39",248,248,353,601
"Clinton Township, Precinct 4",72,72,102,174
"Clinton Township, Precinct 40",323,323,509,832
"Clinton Township, Precinct 41",271,271,359,630
"Clinton Township, Precinct 42",191,191,417,608
"Clinton Township, Precinct 43",162,162,173,335
"Clinton Township, Precinct 44",493,493,606,"1,099"
"Clinton Township, Precinct 45",299,299,391,690
"Clinton Township, Precinct 46",459,459,691,"1,150"
"Clinton Township, Precinct 5",21,21,349,370
"Clinton Township, Precinct 6",181,181,405,586
"Clinton Township, Precinct 7",104,104,158,262
"Clinton Township, Precinct 8",191,191,278,469
"Clinton Township, Precinct 9",123,123,203,326
"Eastpointe City, Precinct 1",84,84,332,416
"Eastpointe City, Precinct 10",91,91,240,331
"Eastpointe City, Precinct 11",100,100,380,480
"Eastpointe City, Precinct 12",187,187,624,811
"Eastpointe City, Precinct 13",56,56,235,291
"Eastpointe City, Precinct 14",94,94,483,577
"Eastpointe City, Precinct 2",121,121,489,610
"Eastpointe City, Precinct 3",154,154,384,538
"Eastpointe City, Precinct 4",129,129,383,512
"Eastpointe City, Precinct 5",130,130,370,500
"Eastpointe City, Precinct 6",100,100,419,519
"Eastpointe City, Precinct 7",54,54,457,511
"Eastpointe City, Precinct 8",55,55,620,675
"Eastpointe City, Precinct 9",47,47,416,463
"Fraser City, Precinct 1",180,180,241,421
"Fraser City, Precinct 2",315,315,330,645
"Fraser City, Precinct 3",261,261,483,744
"Fraser City, Precinct 4",218,218,355,573
"Fraser City, Precinct 5",69,69,107,176
"Fraser City, Precinct 6",334,334,453,787
"Fraser City, Precinct 7",150,150,259,409
"Harrison Township, Precinct 1",315,315,389,704
"Harrison Township, Precinct 10",400,400,362,762
"Harrison Township, Precinct 2",347,347,513,860
"Harrison Township, Precinct 3",423,423,397,820
"Harrison Township, Precinct 4",427,427,435,862
"Harrison Township, Precinct 5",615,615,357,972
"Harrison Township, Precinct 6",459,459,448,907
"Harrison Township, Precinct 7",503,503,420,923
"Harrison Township, Precinct 8",201,201,329,530
"Harrison Township, Precinct 9",492,492,343,835
"Lenox Township, Precinct 1",294,294,209,503
"Lenox Township, Precinct 2",315,315,319,634
"Lenox Township, Precinct 3",210,210,364,574
"Lenox Township, Precinct 4",99,99,147,246
"Macomb Township, Precinct 1",313,313,228,541
"Macomb Township, Precinct 10",174,174,303,477
"Macomb Township, Precinct 11",410,410,351,761
"Macomb Township, Precinct 12",357,357,383,740
"Macomb Township, Precinct 13",371,371,298,669
"Macomb Township, Precinct 14",423,423,354,777
"Macomb Township, Precinct 15",497,497,353,850
"Macomb Township, Precinct 16",485,485,414,899
"Macomb Township, Precinct 17",399,399,381,780
"Macomb Township, Precinct 18",188,188,285,473
"Macomb Township, Precinct 19",100,100,186,286
"Macomb Township, Precinct 2",328,328,346,674
"Macomb Township, Precinct 20",364,364,319,683
"Macomb Township, Precinct 21",448,448,403,851
"Macomb Township, Precinct 22",424,424,374,798
"Macomb Township, Precinct 23",444,444,329,773
"Macomb Township, Precinct 24",467,467,469,936
"Macomb Township, Precinct 25",268,268,223,491
"Macomb Township, Precinct 26",243,243,207,450
"Macomb Township, Precinct 27",441,441,355,796
"Macomb Township, Precinct 28",296,296,236,532
"Macomb Township, Precinct 29",247,247,325,572
"Macomb Township, Precinct 3",336,336,263,599
"Macomb Township, Precinct 30",383,383,281,664
"Macomb Township, Precinct 31",279,279,223,502
"Macomb Township, Precinct 32",357,357,277,634
"Macomb Township, Precinct 33",221,221,243,464
"Macomb Township, Precinct 34",294,294,266,560
"Macomb Township, Precinct 35",294,294,322,616
"Macomb Township, Precinct 36",247,247,240,487
"Macomb Township, Precinct 37",349,349,258,607
"Macomb Township, Precinct 4",328,328,321,649
"Macomb Township, Precinct 5",393,393,384,777
"Macomb Township, Precinct 6",282,282,307,589
"Macomb Township, Precinct 7",304,304,288,592
"Macomb Township, Precinct 8",324,324,330,654
"Macomb Township, Precinct 9",287,287,179,466
"Memphis City, Precinct 1",115,115,71,186
"Mount Clemens City, Precinct 1",50,50,336,386
"Mount Clemens City, Precinct 2",202,202,437,639
"Mount Clemens City, Precinct 3",245,245,536,781
"Mount Clemens City, Precinct 4",100,100,279,379
"Mount Clemens City, Precinct 6",171,171,629,800
"Mount Clemens City, Precinct 9",276,276,444,720
"New Baltimore City, Precinct 1",245,245,234,479
"New Baltimore City, Precinct 2",207,207,167,374
"New Baltimore City, Precinct 3",479,479,374,853
"New Baltimore City, Precinct 4",347,347,355,702
"New Baltimore City, Precinct 5",322,322,304,626
"Ray Township, Precinct 1",402,402,212,614
"Ray Township, Precinct 2",527,527,308,835
"Richmond City, Precinct 1",482,482,355,837
"Richmond City, Precinct 2",366,366,275,641
"Richmond Township, Precinct 1",339,339,135,474
"Richmond Township, Precinct 2",328,328,145,473
"Roseville City, Precinct 1",199,199,354,553
"Roseville City, Precinct 10",149,149,254,403
"Roseville City, Precinct 11",187,187,371,558
"Roseville City, Precinct 12",165,165,341,506
"Roseville City, Precinct 13",89,89,207,296
"Roseville City, Precinct 14",160,160,296,456
"Roseville City, Precinct 15",163,163,524,687
"Roseville City, Precinct 2",271,271,561,832
"Roseville City, Precinct 3",126,126,432,558
"Roseville City, Precinct 4",101,101,235,336
"Roseville City, Precinct 5",160,160,340,500
"Roseville City, Precinct 6",281,281,441,722
"Roseville City, Precinct 7",241,241,499,740
"Roseville City, Precinct 8",241,241,490,731
"Roseville City, Precinct 9",313,313,515,828
"Shelby Township, Precinct 1",613,613,413,"1,026"
"Shelby Township, Precinct 10",305,305,228,533
"Shelby Township, Precinct 11",336,336,317,653
"Shelby Township, Precinct 12",366,366,194,560
"Shelby Township, Precinct 13",241,241,172,413
"Shelby Township, Precinct 14",467,467,345,812
"Shelby Township, Precinct 15",497,497,378,875
"Shelby Township, Precinct 16",663,663,469,"1,132"
"Shelby Township, Precinct 17",478,478,398,876
"Shelby Township, Precinct 18",331,331,327,658
"Shelby Township, Precinct 19",326,326,267,593
"Shelby Township, Precinct 2",502,502,311,813
"Shelby Township, Precinct 20",242,242,249,491
"Shelby Township, Precinct 21",100,100,207,307
"Shelby Township, Precinct 22",680,680,481,"1,161"
"Shelby Township, Precinct 23",623,623,332,955
"Shelby Township, Precinct 24",804,804,469,"1,273"
"Shelby Township, Precinct 25",503,503,372,875
"Shelby Township, Precinct 26",380,380,412,792
"Shelby Township, Precinct 27",386,386,421,807
"Shelby Township, Precinct 28",468,468,476,944
"Shelby Township, Precinct 29",270,270,208,478
"Shelby Township, Precinct 3",224,224,141,365
"Shelby Township, Precinct 30",360,360,258,618
"Shelby Township, Precinct 4",401,401,283,684
"Shelby Township, Precinct 5",233,233,280,513
"Shelby Township, Precinct 6",193,193,247,440
"Shelby Township, Precinct 7",455,455,373,828
"Shelby Township, Precinct 8",247,247,171,418
"Shelby Township, Precinct 9",186,186,196,382
"St. Clair Shores City, Precinct 1",503,503,646,"1,149"
"St. Clair Shores City, Precinct 10",316,316,516,832
"St. Clair Shores City, Precinct 11",154,154,212,366
"St. Clair Shores City, Precinct 12",430,430,562,992
"St. Clair Shores City, Precinct 13",551,551,607,"1,158"
"St. Clair Shores City, Precinct 14",131,131,190,321
"St. Clair Shores City, Precinct 15",342,342,554,896
"St. Clair Shores City, Precinct 16",347,347,470,817
"St. Clair Shores City, Precinct 17",463,463,520,983
"St. Clair Shores City, Precinct 18",314,314,404,718
"St. Clair Shores City, Precinct 19",265,265,350,615
"St. Clair Shores City, Precinct 2",364,364,617,981
"St. Clair Shores City, Precinct 20",166,166,261,427
"St. Clair Shores City, Precinct 21",296,296,364,660
"St. Clair Shores City, Precinct 22",268,268,286,554
"St. Clair Shores City, Precinct 23",273,273,404,677
"St. Clair Shores City, Precinct 3",306,306,572,878
"St. Clair Shores City, Precinct 4",356,356,544,900
"St. Clair Shores City, Precinct 5",268,268,548,816
"St. Clair Shores City, Precinct 6",195,195,581,776
"St. Clair Shores City, Precinct 7",166,166,323,489
"St. Clair Shores City, Precinct 8",274,274,469,743
"St. Clair Shores City, Precinct 9",192,192,295,487
"Sterling Heights City, Precinct 1",162,162,294,456
"Sterling Heights City, Precinct 10",317,317,446,763
"Sterling Heights City, Precinct 11",180,180,260,440
"Sterling Heights City, Precinct 12",346,346,504,850
"Sterling Heights City, Precinct 13",184,184,293,477
"Sterling Heights City, Precinct 14",140,140,273,413
"Sterling Heights City, Precinct 15",212,212,217,429
"Sterling Heights City, Precinct 16",164,164,277,441
"Sterling Heights City, Precinct 17",196,196,275,471
"Sterling Heights City, Precinct 18",295,295,483,778
"Sterling Heights City, Precinct 19",297,297,488,785
"Sterling Heights City, Precinct 2",255,255,465,720
"Sterling Heights City, Precinct 20",298,298,413,711
"Sterling Heights City, Precinct 21",161,161,250,411
"Sterling Heights City, Precinct 22",219,219,275,494
"Sterling Heights City, Precinct 23",229,229,284,513
"Sterling Heights City, Precinct 24",219,219,280,499
"Sterling Heights City, Precinct 25",382,382,488,870
"Sterling Heights City, Precinct 26",405,405,417,822
"Sterling Heights City, Precinct 27",306,306,394,700
"Sterling Heights City, Precinct 28",313,313,390,703
"Sterling Heights City, Precinct 29",278,278,334,612
"Sterling Heights City, Precinct 3",276,276,566,842
"Sterling Heights City, Precinct 30",141,141,221,362
"Sterling Heights City, Precinct 31",130,130,232,362
"Sterling Heights City, Precinct 32",76,76,109,185
"Sterling Heights City, Precinct 33",261,261,323,584
"Sterling Heights City, Precinct 34",375,375,355,730
"Sterling Heights City, Precinct 35",136,136,214,350
"Sterling Heights City, Precinct 36",366,366,437,803
"Sterling Heights City, Precinct 37",298,298,384,682
"Sterling Heights City, Precinct 38",348,348,533,881
"Sterling Heights City, Precinct 39",273,273,330,603
"Sterling Heights City, Precinct 4",355,355,647,"1,002"
"Sterling Heights City, Precinct 40",139,139,156,295
"Sterling Heights City, Precinct 41",204,204,244,448
"Sterling Heights City, Precinct 42",316,316,298,614
"Sterling Heights City, Precinct 43",516,516,606,"1,122"
"Sterling Heights City, Precinct 44",276,276,332,608
"Sterling Heights City, Precinct 45",339,339,442,781
"Sterling Heights City, Precinct 5",329,329,585,914
"Sterling Heights City, Precinct 6",229,229,289,518
"Sterling Heights City, Precinct 7",290,290,422,712
"Sterling Heights City, Precinct 8",237,237,352,589
"Sterling Heights City, Precinct 9",138,138,193,331
"Utica City, Precinct 1",87,87,119,206
"Utica City, Precinct 2",228,228,206,434
"Utica City, Precinct 3",188,188,268,456
"Village of Grosse Pointe Shores City, Precinct 3",19,19,11,30
"Warren City, Precinct 1",118,118,423,541
"Warren City, Precinct 10",55,55,207,262
"Warren City, Precinct 11",3,3,6,9
"Warren City, Precinct 12",48,48,175,223
"Warren City, Precinct 13",64,64,89,153
"Warren City, Precinct 14",161,161,398,559
"Warren City, Precinct 15",141,141,415,556
"Warren City, Precinct 17",131,131,310,441
"Warren City, Precinct 18",36,36,102,138
"Warren City, Precinct 19",136,136,357,493
"Warren City, Precinct 20",184,184,467,651
"Warren City, Precinct 22",260,260,433,693
"Warren City, Precinct 23",184,184,429,613
"Warren City, Precinct 24",82,82,169,251
"Warren City, Precinct 25",146,146,253,399
"Warren City, Precinct 26",51,51,203,254
"Warren City, Precinct 27",410,410,662,"1,072"
"Warren City, Precinct 28",274,274,613,887
"Warren City, Precinct 3",110,110,426,536
"Warren City, Precinct 31",266,266,615,881
"Warren City, Precinct 32",247,247,468,715
"Warren City, Precinct 33",327,327,489,816
