Precinct,"John James
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Warren City, Precinct 34",87,87,267,354
"Warren City, Precinct 35",243,243,499,742
"Warren City, Precinct 36",376,376,732,"1,108"
"Warren City, Precinct 38",245,245,630,875
"Warren City, Precinct 4",129,129,304,433
"Warren City, Precinct 41",276,276,574,850
"Warren City, Precinct 43",221,221,439,660
"Warren City, Precinct 44",142,142,410,552
"Warren City, Precinct 45",180,180,402,582
"Warren City, Precinct 46",152,152,354,506
"Warren City, Precinct 47",287,287,520,807
"Warren City, Precinct 48",104,104,312,416
"Warren City, Precinct 49",307,307,490,797
"Warren City, Precinct 5",101,101,344,445
"Warren City, Precinct 50",247,247,421,668
"Warren City, Precinct 51",336,336,552,888
"Warren City, Precinct 52",223,223,278,501
"Warren City, Precinct 53",161,161,294,455
"Warren City, Precinct 54",287,287,403,690
"Warren City, Precinct 55",247,247,392,639
"Warren City, Precinct 56",124,124,219,343
"Warren City, Precinct 57",223,223,351,574
"Warren City, Precinct 58",358,358,555,913
"Warren City, Precinct 6",157,157,383,540
"Warren City, Precinct 7",58,58,217,275
"Warren City, Precinct 8",67,67,227,294
"Warren City, Precinct 9",86,86,253,339
"Washington Township, Precinct 1",301,301,256,557
"Washington Township, Precinct 10",405,405,256,661
"Washington Township, Precinct 11",421,421,228,649
"Washington Township, Precinct 2",668,668,486,"1,154"
"Washington Township, Precinct 3",669,669,400,"1,069"
"Washington Township, Precinct 4",380,380,374,754
"Washington Township, Precinct 5",731,731,345,"1,076"
"Washington Township, Precinct 6",703,703,442,"1,145"
"Washington Township, Precinct 7",655,655,376,"1,031"
"Washington Township, Precinct 8",509,509,370,879
"Washington Township, Precinct 9",308,308,206,514
Totals,"93,506","93,506","119,007","212,513"

