Precinct,"No Nomination","Total Ballots Cast"
"Bruce Township, Precinct 1",-,581
"Bruce Township, Precinct 2",-,"1,080"
"Bruce Township, Precinct 3",-,687
"Bruce Township, Precinct 4",-,824
Totals,-,"3,172"

