Precinct,"Mary A. Chrzanowski
Democratic","Jodi Switalski
Democratic","Saima Khalil
Democratic","Tom Rombach
Democratic","Eva Tkaczyk
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Macomb Township, Precinct 13",60,77,37,25,14,213,456,669
"Macomb Township, Precinct 14",81,65,37,36,16,235,542,777
"Macomb Township, Precinct 15",116,56,35,31,7,245,605,850
"Macomb Township, Precinct 16",94,98,58,26,13,289,610,899
"Macomb Township, Precinct 17",77,118,46,38,7,286,494,780
"Macomb Township, Precinct 18",72,89,36,23,8,228,245,473
"Macomb Township, Precinct 19",46,44,43,12,10,155,131,286
"Macomb Township, Precinct 20",106,66,41,22,13,248,435,683
"Macomb Township, Precinct 21",115,70,32,41,12,270,581,851
"Macomb Township, Precinct 22",88,93,14,42,9,246,552,798
"Macomb Township, Precinct 23",99,84,14,18,8,223,550,773
"Macomb Township, Precinct 24",130,103,33,38,16,320,616,936
"Macomb Township, Precinct 25",69,40,17,26,7,159,332,491
"Macomb Township, Precinct 26",40,46,31,15,4,136,314,450
"Macomb Township, Precinct 27",83,79,35,36,19,252,544,796
"Macomb Township, Precinct 28",57,69,28,20,4,178,354,532
"Macomb Township, Precinct 29",76,78,56,24,24,258,314,572
"Macomb Township, Precinct 30",98,57,31,34,7,227,437,664
"Macomb Township, Precinct 31",48,51,29,11,3,142,360,502
"Macomb Township, Precinct 32",55,67,19,31,13,185,449,634
"Macomb Township, Precinct 33",49,66,20,21,11,167,297,464
"Macomb Township, Precinct 34",62,58,33,27,10,190,370,560
"Macomb Township, Precinct 35",88,81,47,34,10,260,356,616
"Macomb Township, Precinct 36",40,61,39,25,5,170,317,487
"Macomb Township, Precinct 37",69,52,12,30,4,167,440,607
"Memphis City, Precinct 1",15,9,8,14,4,50,136,186
"Mount Clemens City, Precinct 1",75,77,109,25,16,302,84,386
"Mount Clemens City, Precinct 2",139,128,67,48,4,386,253,639
"Mount Clemens City, Precinct 3",162,128,99,37,17,443,338,781
"Mount Clemens City, Precinct 4",73,65,63,21,8,230,149,379
"Mount Clemens City, Precinct 6",172,154,117,57,23,523,277,800
"Mount Clemens City, Precinct 9",150,113,51,22,9,345,375,720
"New Baltimore City, Precinct 1",72,45,12,45,7,181,298,479
"New Baltimore City, Precinct 2",60,32,5,27,2,126,248,374
"New Baltimore City, Precinct 3",90,75,50,57,5,277,576,853
"New Baltimore City, Precinct 4",95,107,25,50,11,288,414,702
"New Baltimore City, Precinct 5",64,85,29,47,7,232,394,626
"Ray Township, Precinct 1",41,33,11,8,5,98,516,614
"Ray Township, Precinct 2",65,33,21,24,4,147,688,835
"Richmond City, Precinct 1",117,82,30,32,16,277,560,837
"Richmond City, Precinct 2",102,41,17,35,10,205,436,641
"Richmond Township, Precinct 1",36,24,4,14,3,81,393,474
"Richmond Township, Precinct 2",38,38,10,16,3,105,368,473
"Roseville City, Precinct 1",97,105,53,29,12,296,257,553
"Roseville City, Precinct 2",121,192,76,53,31,473,359,832
"Roseville City, Precinct 3",110,136,73,29,24,372,186,558
"Roseville City, Precinct 4",64,80,37,5,9,195,141,336
"Roseville City, Precinct 5",98,104,38,22,22,284,216,500
"Roseville City, Precinct 6",94,162,71,25,8,360,362,722
"Roseville City, Precinct 7",129,149,75,43,19,415,325,740
"Roseville City, Precinct 8",127,197,52,25,19,420,311,731
"Roseville City, Precinct 9",148,150,60,29,19,406,422,828
"Roseville City, Precinct 10",70,89,25,17,3,204,199,403
"Roseville City, Precinct 11",96,117,46,34,6,299,259,558
"Roseville City, Precinct 12",59,131,46,38,11,285,221,506
"Roseville City, Precinct 13",44,71,26,12,10,163,133,296
"Roseville City, Precinct 14",59,88,41,23,22,233,223,456
"Roseville City, Precinct 15",152,151,67,42,27,439,248,687
"Shelby Township, Precinct 1",48,75,41,42,9,215,811,"1,026"
"Shelby Township, Precinct 2",48,72,29,23,5,177,636,813
"Shelby Township, Precinct 3",34,26,17,13,9,99,266,365
"Shelby Township, Precinct 4",69,38,23,26,8,164,520,684
"Shelby Township, Precinct 5",54,58,26,18,6,162,351,513
"Shelby Township, Precinct 6",38,51,39,25,11,164,276,440
"Shelby Township, Precinct 7",51,83,24,27,7,192,636,828
"Shelby Township, Precinct 8",21,36,17,5,4,83,335,418
"Shelby Township, Precinct 9",49,38,37,18,8,150,232,382
"Shelby Township, Precinct 10",62,48,13,18,6,147,386,533
"Shelby Township, Precinct 11",62,75,24,35,15,211,442,653
"Shelby Township, Precinct 12",31,44,12,12,0,99,461,560
"Shelby Township, Precinct 13",39,23,24,5,4,95,318,413
"Shelby Township, Precinct 14",89,66,29,18,8,210,602,812
"Shelby Township, Precinct 15",70,82,41,30,4,227,648,875
"Shelby Township, Precinct 16",81,106,32,31,12,262,870,"1,132"
"Shelby Township, Precinct 17",58,82,46,32,8,226,650,876
"Shelby Township, Precinct 18",69,77,25,20,17,208,450,658
"Shelby Township, Precinct 19",50,54,33,17,11,165,428,593
"Shelby Township, Precinct 20",49,38,25,20,6,138,353,491
"Shelby Township, Precinct 21",37,40,33,30,15,155,152,307
"Shelby Township, Precinct 22",68,122,36,35,7,268,893,"1,161"
"Shelby Township, Precinct 23",57,62,40,16,7,182,773,955
"Shelby Township, Precinct 24",103,70,34,34,4,245,"1,028","1,273"
"Shelby Township, Precinct 25",62,73,53,18,5,211,664,875
"Shelby Township, Precinct 26",92,103,28,24,7,254,538,792
"Shelby Township, Precinct 27",97,97,46,33,19,292,515,807
"Shelby Township, Precinct 28",142,117,16,35,9,319,625,944
"Shelby Township, Precinct 29",37,23,40,22,5,127,351,478
"Shelby Township, Precinct 30",43,41,24,20,13,141,477,618
"St. Clair Shores City, Precinct 1",198,169,80,58,23,528,621,"1,149"
"St. Clair Shores City, Precinct 2",172,164,50,83,18,487,494,981
"St. Clair Shores City, Precinct 3",151,189,62,55,14,471,407,878
"St. Clair Shores City, Precinct 4",182,123,71,30,32,438,462,900
"St. Clair Shores City, Precinct 5",195,129,84,47,16,471,345,816
"St. Clair Shores City, Precinct 6",142,161,118,46,27,494,282,776
"St. Clair Shores City, Precinct 7",85,94,46,25,14,264,225,489
"St. Clair Shores City, Precinct 8",116,155,53,30,11,365,378,743
"St. Clair Shores City, Precinct 9",93,64,33,18,18,226,261,487
"St. Clair Shores City, Precinct 10",180,133,53,37,12,415,417,832
"St. Clair Shores City, Precinct 11",67,62,28,12,6,175,191,366
"St. Clair Shores City, Precinct 12",212,138,47,33,18,448,544,992
"St. Clair Shores City, Precinct 13",168,161,43,52,16,440,718,"1,158"
"St. Clair Shores City, Precinct 14",84,47,10,16,4,161,160,321
"St. Clair Shores City, Precinct 15",191,149,50,36,15,441,455,896
"St. Clair Shores City, Precinct 16",167,96,54,48,10,375,442,817
"St. Clair Shores City, Precinct 17",144,159,61,54,12,430,553,983
"St. Clair Shores City, Precinct 18",128,110,33,20,16,307,411,718
"St. Clair Shores City, Precinct 19",113,86,43,20,14,276,339,615
"St. Clair Shores City, Precinct 20",101,72,21,16,3,213,214,427
"St. Clair Shores City, Precinct 21",132,97,38,22,13,302,358,660
"St. Clair Shores City, Precinct 22",96,89,30,14,4,233,321,554
"St. Clair Shores City, Precinct 23",127,121,41,27,10,326,351,677
"Sterling Heights City, Precinct 1",79,61,58,28,14,240,216,456
"Sterling Heights City, Precinct 2",150,105,91,30,15,391,329,720
"Sterling Heights City, Precinct 3",148,143,78,58,15,442,400,842
"Sterling Heights City, Precinct 4",145,184,111,78,22,540,462,"1,002"
"Sterling Heights City, Precinct 5",118,162,99,54,28,461,453,914
"Sterling Heights City, Precinct 6",75,66,35,22,13,211,307,518
"Sterling Heights City, Precinct 7",123,101,75,39,2,340,372,712
"Sterling Heights City, Precinct 8",64,95,89,21,11,280,309,589
"Sterling Heights City, Precinct 9",54,44,22,30,7,157,174,331
"Sterling Heights City, Precinct 10",119,131,56,22,17,345,418,763
"Sterling Heights City, Precinct 11",84,61,37,23,13,218,222,440
"Sterling Heights City, Precinct 12",165,123,46,55,11,400,450,850
"Sterling Heights City, Precinct 13",60,94,66,24,12,256,221,477
"Sterling Heights City, Precinct 14",60,67,50,30,12,219,194,413
"Sterling Heights City, Precinct 15",61,61,33,16,6,177,252,429
"Sterling Heights City, Precinct 16",73,50,59,25,16,223,218,441
"Sterling Heights City, Precinct 17",102,59,41,26,6,234,237,471
"Sterling Heights City, Precinct 18",120,124,81,48,15,388,390,778
"Sterling Heights City, Precinct 19",136,122,66,43,26,393,392,785
"Sterling Heights City, Precinct 20",112,131,49,39,11,342,369,711
"Sterling Heights City, Precinct 21",66,57,38,24,8,193,218,411
"Sterling Heights City, Precinct 22",87,61,34,23,11,216,278,494
"Sterling Heights City, Precinct 23",62,86,53,13,12,226,287,513
"Sterling Heights City, Precinct 24",55,87,36,29,8,215,284,499
"Sterling Heights City, Precinct 25",132,152,48,54,14,400,470,870
"Sterling Heights City, Precinct 26",113,125,41,31,22,332,490,822
"Sterling Heights City, Precinct 27",130,97,44,28,9,308,392,700
"Sterling Heights City, Precinct 28",103,128,51,39,6,327,376,703
"Sterling Heights City, Precinct 29",84,94,18,47,8,251,361,612
"Sterling Heights City, Precinct 30",57,60,39,12,7,175,187,362
"Sterling Heights City, Precinct 31",66,62,31,16,11,186,176,362
"Sterling Heights City, Precinct 32",40,28,13,7,4,92,93,185
"Sterling Heights City, Precinct 33",63,96,51,25,11,246,338,584
"Sterling Heights City, Precinct 34",62,114,66,43,8,293,437,730
"Sterling Heights City, Precinct 35",59,46,25,25,11,166,184,350
"Sterling Heights City, Precinct 36",128,111,52,41,21,353,450,803
"Sterling Heights City, Precinct 37",129,101,60,29,13,332,350,682
"Sterling Heights City, Precinct 38",103,143,81,72,29,428,453,881
"Sterling Heights City, Precinct 39",71,98,38,34,11,252,351,603
"Sterling Heights City, Precinct 40",19,51,21,14,8,113,182,295
"Sterling Heights City, Precinct 41",65,70,39,20,8,202,246,448
"Sterling Heights City, Precinct 42",93,77,38,38,2,248,366,614
"Sterling Heights City, Precinct 43",150,167,90,75,12,494,628,"1,122"
"Sterling Heights City, Precinct 44",75,70,53,47,5,250,358,608
"Sterling Heights City, Precinct 45",90,112,75,47,25,349,432,781
"Utica City, Precinct 1",31,39,7,7,5,89,117,206
"Utica City, Precinct 2",50,57,26,15,6,154,280,434
"Utica City, Precinct 3",74,65,30,20,13,202,254,456
"Warren City, Precinct 1",105,72,104,52,24,357,184,541
"Warren City, Precinct 3",113,108,106,24,30,381,155,536
"Warren City, Precinct 4",95,65,75,14,17,266,167,433
"Warren City, Precinct 5",108,82,69,23,13,295,150,445
"Warren City, Precinct 6",97,77,110,27,11,322,218,540
"Warren City, Precinct 7",70,49,26,25,14,184,91,275
"Warren City, Precinct 8",58,61,28,16,12,175,119,294
"Warren City, Precinct 9",88,51,32,26,18,215,124,339
"Warren City, Precinct 10",73,51,35,17,12,188,74,262
"Warren City, Precinct 11",3,2,0,1,0,6,3,9
"Warren City, Precinct 12",42,36,27,17,16,138,85,223
"Warren City, Precinct 13",25,25,17,3,4,74,79,153
"Warren City, Precinct 14",134,81,80,24,22,341,218,559
"Warren City, Precinct 15",147,64,69,34,27,341,215,556
"Warren City, Precinct 17",94,63,51,23,9,240,201,441
"Warren City, Precinct 18",27,24,10,17,7,85,53,138
"Warren City, Precinct 19",78,79,93,24,19,293,200,493
"Warren City, Precinct 20",175,80,81,24,30,390,261,651
"Warren City, Precinct 22",142,104,58,27,13,344,349,693
"Warren City, Precinct 23",118,82,77,37,28,342,271,613
"Warren City, Precinct 24",54,39,20,23,8,144,107,251
"Warren City, Precinct 25",64,69,41,13,9,196,203,399
"Warren City, Precinct 26",59,44,38,19,12,172,82,254
"Warren City, Precinct 27",239,140,94,28,26,527,545,"1,072"
"Warren City, Precinct 28",171,163,117,35,34,520,367,887
"Warren City, Precinct 31",165,163,88,55,26,497,384,881
"Warren City, Precinct 32",123,145,52,32,15,367,348,715
"Warren City, Precinct 33",158,120,73,34,22,407,409,816
"Warren City, Precinct 34",78,43,88,11,7,227,127,354
"Warren City, Precinct 35",136,117,110,32,27,422,320,742
"Warren City, Precinct 36",182,183,133,71,24,593,515,"1,108"
"Warren City, Precinct 38",156,185,109,55,39,544,331,875
"Warren City, Precinct 41",185,124,110,44,24,487,363,850
"Warren City, Precinct 43",119,110,79,46,13,367,293,660
"Warren City, Precinct 44",113,98,87,28,11,337,215,552
"Warren City, Precinct 45",75,104,86,52,25,342,240,582
"Warren City, Precinct 46",91,92,76,22,17,298,208,506
"Warren City, Precinct 47",137,125,84,46,21,413,394,807
"Warren City, Precinct 48",85,74,55,31,15,260,156,416
"Warren City, Precinct 49",164,114,72,40,6,396,401,797
"Warren City, Precinct 50",117,106,51,49,20,343,325,668
"Warren City, Precinct 51",172,154,62,43,21,452,436,888
"Warren City, Precinct 52",98,45,45,18,9,215,286,501
"Warren City, Precinct 53",80,71,51,25,4,231,224,455
"Warren City, Precinct 54",122,90,58,36,14,320,370,690
"Warren City, Precinct 55",117,116,40,37,16,326,313,639
"Warren City, Precinct 56",54,78,24,7,3,166,177,343
"Warren City, Precinct 57",96,111,45,32,12,296,278,574
"Warren City, Precinct 58",202,134,47,39,16,438,475,913
"Washington Township, Precinct 1",31,43,35,17,5,131,426,557
"Washington Township, Precinct 2",89,98,23,32,17,259,895,"1,154"
"Washington Township, Precinct 3",65,60,13,14,8,160,909,"1,069"
"Washington Township, Precinct 4",66,59,32,23,5,185,569,754
"Washington Township, Precinct 5",47,66,26,16,5,160,916,"1,076"
"Washington Township, Precinct 6",55,62,22,39,10,188,957,"1,145"
"Washington Township, Precinct 7",60,72,19,24,12,187,844,"1,031"
"Washington Township, Precinct 8",70,56,29,23,3,181,698,879
"Washington Township, Precinct 9",40,22,9,11,3,85,429,514
"Washington Township, Precinct 10",40,53,18,16,6,133,528,661
"Washington Township, Precinct 11",35,37,7,21,1,101,548,649
Totals,"31,109","29,065","15,424","9,945","4,346","89,889","122,624","212,513"

