Precinct,"Mary A. Chrzanowski
Democratic","Jodi Switalski
Democratic","Saima Khalil
Democratic","Tom Rombach
Democratic","Eva Tkaczyk
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"31,109","29,065","15,424","9,945","4,346","89,889","122,624","212,513"
"Armada Township, Precinct 1",76,50,22,17,7,172,920,"1,092"
"Armada Township, Precinct 2",43,24,12,8,3,90,685,775
"Bruce Township, Precinct 1",52,48,28,7,6,141,440,581
"Bruce Township, Precinct 2",61,58,27,32,8,186,894,"1,080"
"Bruce Township, Precinct 3",58,41,13,15,2,129,558,687
"Bruce Township, Precinct 4",44,47,14,12,2,119,705,824
"Center Line City, Precinct 1",92,64,48,17,12,233,189,422
"Center Line City, Precinct 2",75,57,55,28,10,225,120,345
"Center Line City, Precinct 3",93,84,54,41,15,287,168,455
"Center Line City, Precinct 4",56,36,27,8,10,137,113,250
"Center Line City, Precinct 5",60,38,19,12,6,135,105,240
"Chesterfield Township, Precinct 1",104,96,34,41,9,284,502,786
"Chesterfield Township, Precinct 2",86,95,25,42,11,259,467,726
"Chesterfield Township, Precinct 3",75,56,17,20,12,180,407,587
"Chesterfield Township, Precinct 4",81,64,23,24,7,199,296,495
"Chesterfield Township, Precinct 5",99,90,24,44,12,269,415,684
"Chesterfield Township, Precinct 6",58,78,14,39,5,194,397,591
"Chesterfield Township, Precinct 7",58,56,20,23,10,167,310,477
"Chesterfield Township, Precinct 8",61,49,19,29,14,172,386,558
"Chesterfield Township, Precinct 9",88,86,25,30,6,235,398,633
"Chesterfield Township, Precinct 10",83,77,27,52,9,248,720,968
"Chesterfield Township, Precinct 11",70,61,21,23,10,185,307,492
"Chesterfield Township, Precinct 12",86,79,40,23,16,244,320,564
"Chesterfield Township, Precinct 13",96,89,41,43,24,293,497,790
"Chesterfield Township, Precinct 14",49,40,38,21,8,156,270,426
"Chesterfield Township, Precinct 15",103,101,49,47,23,323,568,891
"Chesterfield Township, Precinct 16",93,69,15,35,6,218,451,669
"Chesterfield Township, Precinct 17",54,48,37,19,13,171,124,295
"Chesterfield Township, Precinct 18",70,60,13,27,9,179,289,468
"Chesterfield Township, Precinct 19",81,51,37,16,5,190,272,462
"Clinton Township, Precinct 1",116,92,37,27,6,278,306,584
"Clinton Township, Precinct 2",48,34,9,9,6,106,139,245
"Clinton Township, Precinct 3",108,83,36,28,15,270,221,491
"Clinton Township, Precinct 4",39,16,9,10,8,82,92,174
"Clinton Township, Precinct 5",89,79,83,35,28,314,56,370
"Clinton Township, Precinct 6",130,101,78,25,13,347,239,586
"Clinton Township, Precinct 7",37,43,19,19,11,129,133,262
"Clinton Township, Precinct 8",60,73,38,10,14,195,274,469
"Clinton Township, Precinct 9",57,45,23,17,13,155,171,326
"Clinton Township, Precinct 10",77,73,21,12,12,195,371,566
"Clinton Township, Precinct 11",85,67,46,35,16,249,206,455
"Clinton Township, Precinct 12",42,44,19,16,10,131,122,253
"Clinton Township, Precinct 13",93,77,55,20,13,258,276,534
"Clinton Township, Precinct 14",36,27,19,7,6,95,138,233
"Clinton Township, Precinct 15",87,64,26,12,9,198,251,449
"Clinton Township, Precinct 16",107,94,56,34,18,309,337,646
"Clinton Township, Precinct 17",71,62,43,17,8,201,270,471
"Clinton Township, Precinct 18",92,63,11,11,8,185,321,506
"Clinton Township, Precinct 19",115,66,26,22,8,237,448,685
"Clinton Township, Precinct 20",18,13,17,4,7,59,34,93
"Clinton Township, Precinct 21",70,56,42,17,11,196,153,349
"Clinton Township, Precinct 22",110,115,62,32,21,340,195,535
"Clinton Township, Precinct 23",115,119,49,50,9,342,449,791
"Clinton Township, Precinct 24",81,55,32,16,17,201,276,477
"Clinton Township, Precinct 25",131,75,41,22,20,289,268,557
"Clinton Township, Precinct 26",95,90,47,34,13,279,387,666
"Clinton Township, Precinct 27",75,91,18,34,8,226,382,608
"Clinton Township, Precinct 28",81,85,70,24,21,281,142,423
"Clinton Township, Precinct 29",115,115,40,40,10,320,455,775
"Clinton Township, Precinct 30",121,72,45,29,12,279,256,535
"Clinton Township, Precinct 31",134,94,45,30,12,315,314,629
"Clinton Township, Precinct 32",60,64,23,38,14,199,252,451
"Clinton Township, Precinct 33",142,165,55,44,21,427,437,864
"Clinton Township, Precinct 34",86,81,96,21,43,327,192,519
"Clinton Township, Precinct 35",209,139,56,62,7,473,641,"1,114"
"Clinton Township, Precinct 36",89,104,69,44,13,319,327,646
"Clinton Township, Precinct 37",148,125,45,58,13,389,485,874
"Clinton Township, Precinct 38",72,78,31,38,10,229,330,559
"Clinton Township, Precinct 39",103,79,28,25,11,246,355,601
"Clinton Township, Precinct 40",143,114,61,47,17,382,450,832
"Clinton Township, Precinct 41",97,85,40,22,7,251,379,630
"Clinton Township, Precinct 42",107,90,71,48,25,341,267,608
"Clinton Township, Precinct 43",47,55,17,7,2,128,207,335
"Clinton Township, Precinct 44",182,125,69,41,28,445,654,"1,099"
"Clinton Township, Precinct 45",116,91,26,29,11,273,417,690
"Clinton Township, Precinct 46",169,173,107,63,17,529,621,"1,150"
"Eastpointe City, Precinct 1",89,74,81,26,15,285,131,416
"Eastpointe City, Precinct 2",110,145,137,36,15,443,167,610
"Eastpointe City, Precinct 3",69,125,69,36,23,322,216,538
"Eastpointe City, Precinct 4",80,123,65,24,31,323,189,512
"Eastpointe City, Precinct 5",99,84,77,20,40,320,180,500
"Eastpointe City, Precinct 6",96,104,97,28,27,352,167,519
"Eastpointe City, Precinct 7",79,127,120,49,30,405,106,511
"Eastpointe City, Precinct 8",132,146,137,91,52,558,117,675
"Eastpointe City, Precinct 9",84,144,82,41,26,377,86,463
"Eastpointe City, Precinct 10",63,54,60,21,14,212,119,331
"Eastpointe City, Precinct 11",110,89,85,39,24,347,133,480
"Eastpointe City, Precinct 12",171,152,124,60,47,554,257,811
"Eastpointe City, Precinct 13",52,62,50,30,19,213,78,291
"Eastpointe City, Precinct 14",112,161,78,50,30,431,146,577
"Fraser City, Precinct 1",72,75,26,12,6,191,230,421
"Fraser City, Precinct 2",112,87,24,21,10,254,391,645
"Fraser City, Precinct 3",114,170,54,32,17,387,357,744
"Fraser City, Precinct 4",91,126,39,17,9,282,291,573
"Fraser City, Precinct 5",31,40,20,1,3,95,81,176
"Fraser City, Precinct 6",125,147,31,40,17,360,427,787
"Fraser City, Precinct 7",77,74,30,15,14,210,199,409
"Village of Grosse Pointe Shores City, Precinct 3",0,6,0,1,0,7,23,30
"Harrison Township, Precinct 1",94,104,45,31,8,282,422,704
"Harrison Township, Precinct 2",144,123,44,29,21,361,499,860
"Harrison Township, Precinct 3",84,82,32,28,9,235,585,820
"Harrison Township, Precinct 4",123,99,49,20,7,298,564,862
"Harrison Township, Precinct 5",81,54,14,25,5,179,793,972
"Harrison Township, Precinct 6",96,109,34,36,19,294,613,907
"Harrison Township, Precinct 7",106,101,18,24,9,258,665,923
"Harrison Township, Precinct 8",92,76,37,28,12,245,285,530
"Harrison Township, Precinct 9",67,65,27,23,6,188,647,835
"Harrison Township, Precinct 10",66,97,26,19,4,212,550,762
"Lenox Township, Precinct 1",64,39,9,12,4,128,375,503
"Lenox Township, Precinct 2",87,84,28,23,15,237,397,634
"Lenox Township, Precinct 3",118,64,49,48,25,304,270,574
"Lenox Township, Precinct 4",42,36,22,23,9,132,114,246
"Macomb Township, Precinct 1",49,68,17,20,3,157,384,541
"Macomb Township, Precinct 2",98,63,40,32,9,242,432,674
"Macomb Township, Precinct 3",59,65,36,21,7,188,411,599
"Macomb Township, Precinct 4",90,66,48,22,11,237,412,649
"Macomb Township, Precinct 5",99,88,58,29,16,290,487,777
"Macomb Township, Precinct 6",81,84,24,29,8,226,363,589
"Macomb Township, Precinct 7",73,63,34,33,6,209,383,592
"Macomb Township, Precinct 8",103,82,29,29,8,251,403,654
"Macomb Township, Precinct 9",33,38,18,15,7,111,355,466
"Macomb Township, Precinct 10",96,57,49,29,10,241,236,477
"Macomb Township, Precinct 11",81,82,60,29,9,261,500,761
"Macomb Township, Precinct 12",92,92,48,46,16,294,446,740
