Precinct,"Lisa McClain
Republican","Doug Slocum
Republican","Shane Hernandez
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Sterling Heights City, Precinct 38",170,97,100,367,514,881
"Sterling Heights City, Precinct 39",162,63,53,278,325,603
"Sterling Heights City, Precinct 40",80,28,31,139,156,295
"Sterling Heights City, Precinct 41",93,70,48,211,237,448
"Sterling Heights City, Precinct 42",148,91,85,324,290,614
"Sterling Heights City, Precinct 43",237,140,142,519,603,"1,122"
"Sterling Heights City, Precinct 44",130,81,76,287,321,608
"Sterling Heights City, Precinct 45",182,73,87,342,439,781
"Utica City, Precinct 1",59,19,18,96,110,206
"Utica City, Precinct 2",106,75,63,244,190,434
"Utica City, Precinct 3",108,29,56,193,263,456
"Washington Township, Precinct 1",117,100,123,340,217,557
"Washington Township, Precinct 2",379,178,185,742,412,"1,154"
"Washington Township, Precinct 3",351,179,189,719,350,"1,069"
"Washington Township, Precinct 4",217,92,110,419,335,754
"Washington Township, Precinct 5",371,179,236,786,290,"1,076"
"Washington Township, Precinct 6",309,218,242,769,376,"1,145"
"Washington Township, Precinct 7",318,175,195,688,343,"1,031"
"Washington Township, Precinct 8",232,145,174,551,328,879
"Washington Township, Precinct 9",143,100,81,324,190,514
"Washington Township, Precinct 10",244,98,99,441,220,661
"Washington Township, Precinct 11",228,101,110,439,210,649
Totals,"26,456","15,006","14,419","55,881","42,366","98,247"

