Precinct,"Frank Viviano
Republican","Mark H. Grabow
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"8,493","4,103","12,596","11,073","23,669"
"Macomb Township, Precinct 1",222,98,320,221,541
"Macomb Township, Precinct 2",212,122,334,340,674
"Macomb Township, Precinct 3",228,113,341,258,599
"Macomb Township, Precinct 4",227,87,314,335,649
"Macomb Township, Precinct 5",276,121,397,380,777
"Macomb Township, Precinct 6",208,75,283,306,589
"Macomb Township, Precinct 7",186,123,309,283,592
"Macomb Township, Precinct 8",238,100,338,316,654
"Macomb Township, Precinct 9",163,148,311,155,466
"Macomb Township, Precinct 10",124,45,169,308,477
"Macomb Township, Precinct 11",253,167,420,341,761
"Macomb Township, Precinct 12",267,93,360,380,740
"Macomb Township, Precinct 13",300,90,390,279,669
"Macomb Township, Precinct 14",294,141,435,342,777
"Macomb Township, Precinct 15",356,141,497,353,850
"Macomb Township, Precinct 16",339,161,500,399,899
"Macomb Township, Precinct 17",278,131,409,371,780
"Macomb Township, Precinct 18",126,60,186,287,473
"Macomb Township, Precinct 19",57,34,91,195,286
"Macomb Township, Precinct 20",250,100,350,333,683
"Macomb Township, Precinct 21",290,164,454,397,851
"Macomb Township, Precinct 22",313,135,448,350,798
"Macomb Township, Precinct 23",301,161,462,311,773
"Macomb Township, Precinct 24",341,149,490,446,936
"Macomb Township, Precinct 25",173,83,256,235,491
"Macomb Township, Precinct 26",187,67,254,196,450
"Macomb Township, Precinct 27",281,167,448,348,796
"Macomb Township, Precinct 28",194,97,291,241,532
"Macomb Township, Precinct 29",177,78,255,317,572
"Macomb Township, Precinct 30",271,111,382,282,664
"Macomb Township, Precinct 31",176,102,278,224,502
"Macomb Township, Precinct 32",253,109,362,272,634
"Macomb Township, Precinct 33",159,71,230,234,464
"Macomb Township, Precinct 34",223,86,309,251,560
"Macomb Township, Precinct 35",201,90,291,325,616
"Macomb Township, Precinct 36",144,107,251,236,487
"Macomb Township, Precinct 37",205,176,381,226,607
Totals,"8,493","4,103","12,596","11,073","23,669"

