Precinct,"No Nomination",Overvotes/Undervotes,"Total Ballots Cast"
Totals,-,"15,254","15,254"
"Eastpointe City, Precinct 1",-,416,416
"Eastpointe City, Precinct 2",-,610,610
"Eastpointe City, Precinct 3",-,538,538
"Eastpointe City, Precinct 4",-,512,512
"Eastpointe City, Precinct 5",-,500,500
"Eastpointe City, Precinct 6",-,519,519
"Eastpointe City, Precinct 7",-,511,511
"Eastpointe City, Precinct 8",-,675,675
"Eastpointe City, Precinct 9",-,463,463
"Eastpointe City, Precinct 10",-,331,331
"Eastpointe City, Precinct 11",-,480,480
"Eastpointe City, Precinct 12",-,811,811
"Eastpointe City, Precinct 13",-,291,291
"Eastpointe City, Precinct 14",-,577,577
"St. Clair Shores City, Precinct 1",-,"1,149","1,149"
"St. Clair Shores City, Precinct 3",-,878,878
"St. Clair Shores City, Precinct 4",-,900,900
"St. Clair Shores City, Precinct 6",-,776,776
"St. Clair Shores City, Precinct 9",-,487,487
"St. Clair Shores City, Precinct 12",-,992,992
"St. Clair Shores City, Precinct 13",-,"1,158","1,158"
"Village of Grosse Pointe Shores City, Precinct 3",-,30,30
"Warren City, Precinct 15",-,556,556
"Warren City, Precinct 17",-,441,441
"Warren City, Precinct 25",-,399,399
"Warren City, Precinct 26",-,254,254
Totals,-,"15,254","15,254"

