Precinct,"Terence H. Mekoski
Republican","Michael R. Wrathell
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"50,585","33,485","84,070","128,443","212,513"
"Armada Township, Precinct 1",300,263,563,529,"1,092"
"Armada Township, Precinct 2",220,206,426,349,775
"Bruce Township, Precinct 1",159,105,264,317,581
"Bruce Township, Precinct 2",312,286,598,482,"1,080"
"Bruce Township, Precinct 3",252,114,366,321,687
"Bruce Township, Precinct 4",288,187,475,349,824
"Center Line City, Precinct 1",83,58,141,281,422
"Center Line City, Precinct 2",32,40,72,273,345
"Center Line City, Precinct 3",76,45,121,334,455
"Center Line City, Precinct 4",33,46,79,171,250
"Center Line City, Precinct 5",48,26,74,166,240
"Chesterfield Township, Precinct 1",223,130,353,433,786
"Chesterfield Township, Precinct 2",162,168,330,396,726
"Chesterfield Township, Precinct 3",188,99,287,300,587
"Chesterfield Township, Precinct 4",110,100,210,285,495
"Chesterfield Township, Precinct 5",194,97,291,393,684
"Chesterfield Township, Precinct 6",150,154,304,287,591
"Chesterfield Township, Precinct 7",130,80,210,267,477
"Chesterfield Township, Precinct 8",144,125,269,289,558
"Chesterfield Township, Precinct 9",183,111,294,339,633
"Chesterfield Township, Precinct 10",292,234,526,442,968
"Chesterfield Township, Precinct 11",147,81,228,264,492
"Chesterfield Township, Precinct 12",127,104,231,333,564
"Chesterfield Township, Precinct 13",236,134,370,420,790
"Chesterfield Township, Precinct 14",124,74,198,228,426
"Chesterfield Township, Precinct 15",278,138,416,475,891
"Chesterfield Township, Precinct 16",170,161,331,338,669
"Chesterfield Township, Precinct 17",54,33,87,208,295
"Chesterfield Township, Precinct 18",104,89,193,275,468
"Chesterfield Township, Precinct 19",141,46,187,275,462
"Clinton Township, Precinct 1",96,107,203,381,584
"Clinton Township, Precinct 2",63,34,97,148,245
"Clinton Township, Precinct 3",74,78,152,339,491
"Clinton Township, Precinct 4",42,23,65,109,174
"Clinton Township, Precinct 5",6,13,19,351,370
"Clinton Township, Precinct 6",102,61,163,423,586
"Clinton Township, Precinct 7",38,54,92,170,262
"Clinton Township, Precinct 8",90,68,158,311,469
"Clinton Township, Precinct 9",58,57,115,211,326
"Clinton Township, Precinct 10",191,80,271,295,566
"Clinton Township, Precinct 11",68,71,139,316,455
"Clinton Township, Precinct 12",49,28,77,176,253
"Clinton Township, Precinct 13",88,107,195,339,534
"Clinton Township, Precinct 14",77,28,105,128,233
"Clinton Township, Precinct 15",81,95,176,273,449
"Clinton Township, Precinct 16",154,74,228,418,646
"Clinton Township, Precinct 17",100,85,185,286,471
"Clinton Township, Precinct 18",147,61,208,298,506
"Clinton Township, Precinct 19",191,108,299,386,685
"Clinton Township, Precinct 20",15,11,26,67,93
"Clinton Township, Precinct 21",53,38,91,258,349
"Clinton Township, Precinct 22",66,44,110,425,535
"Clinton Township, Precinct 23",176,115,291,500,791
"Clinton Township, Precinct 24",131,44,175,302,477
"Clinton Township, Precinct 25",94,87,181,376,557
"Clinton Township, Precinct 26",190,77,267,399,666
"Clinton Township, Precinct 27",146,124,270,338,608
"Clinton Township, Precinct 28",50,39,89,334,423
"Clinton Township, Precinct 29",182,128,310,465,775
"Clinton Township, Precinct 30",91,58,149,386,535
"Clinton Township, Precinct 31",110,101,211,418,629
"Clinton Township, Precinct 32",118,53,171,280,451
"Clinton Township, Precinct 33",145,147,292,572,864
"Clinton Township, Precinct 34",86,39,125,394,519
"Clinton Township, Precinct 35",229,199,428,686,"1,114"
"Clinton Township, Precinct 36",136,69,205,441,646
"Clinton Township, Precinct 37",145,168,313,561,874
"Clinton Township, Precinct 38",172,41,213,346,559
"Clinton Township, Precinct 39",135,93,228,373,601
"Clinton Township, Precinct 40",180,102,282,550,832
"Clinton Township, Precinct 41",128,125,253,377,630
"Clinton Township, Precinct 42",117,66,183,425,608
"Clinton Township, Precinct 43",81,59,140,195,335
"Clinton Township, Precinct 44",310,135,445,654,"1,099"
"Clinton Township, Precinct 45",150,124,274,416,690
"Clinton Township, Precinct 46",275,131,406,744,"1,150"
"Eastpointe City, Precinct 1",46,35,81,335,416
"Eastpointe City, Precinct 2",77,33,110,500,610
"Eastpointe City, Precinct 3",66,85,151,387,538
"Eastpointe City, Precinct 4",65,57,122,390,512
"Eastpointe City, Precinct 5",61,65,126,374,500
"Eastpointe City, Precinct 6",62,34,96,423,519
"Eastpointe City, Precinct 7",26,26,52,459,511
"Eastpointe City, Precinct 8",34,11,45,630,675
"Eastpointe City, Precinct 9",25,22,47,416,463
"Eastpointe City, Precinct 10",48,36,84,247,331
"Eastpointe City, Precinct 11",40,55,95,385,480
"Eastpointe City, Precinct 12",103,77,180,631,811
"Eastpointe City, Precinct 13",25,28,53,238,291
"Eastpointe City, Precinct 14",41,34,75,502,577
"Fraser City, Precinct 1",85,80,165,256,421
"Fraser City, Precinct 2",176,97,273,372,645
"Fraser City, Precinct 3",108,133,241,503,744
"Fraser City, Precinct 4",122,77,199,374,573
"Fraser City, Precinct 5",32,33,65,111,176
"Fraser City, Precinct 6",188,113,301,486,787
"Fraser City, Precinct 7",76,57,133,276,409
"Harrison Township, Precinct 1",134,138,272,432,704
"Harrison Township, Precinct 2",191,118,309,551,860
"Harrison Township, Precinct 3",194,177,371,449,820
"Harrison Township, Precinct 4",238,122,360,502,862
"Harrison Township, Precinct 5",237,264,501,471,972
"Harrison Township, Precinct 6",236,128,364,543,907
"Harrison Township, Precinct 7",213,196,409,514,923
"Harrison Township, Precinct 8",102,66,168,362,530
"Harrison Township, Precinct 9",198,194,392,443,835
"Harrison Township, Precinct 10",219,119,338,424,762
"Lenox Township, Precinct 1",131,128,259,244,503
"Lenox Township, Precinct 2",167,121,288,346,634
"Lenox Township, Precinct 3",75,111,186,388,574
"Lenox Township, Precinct 4",54,37,91,155,246
"Macomb Township, Precinct 1",163,121,284,257,541
"Macomb Township, Precinct 2",186,117,303,371,674
"Macomb Township, Precinct 3",186,114,300,299,599
"Macomb Township, Precinct 4",205,90,295,354,649
"Macomb Township, Precinct 5",239,132,371,406,777
"Macomb Township, Precinct 6",177,82,259,330,589
"Macomb Township, Precinct 7",175,104,279,313,592
"Macomb Township, Precinct 8",227,74,301,353,654
"Macomb Township, Precinct 9",172,108,280,186,466
"Macomb Township, Precinct 10",88,67,155,322,477
"Macomb Township, Precinct 11",211,159,370,391,761
"Macomb Township, Precinct 12",205,104,309,431,740
"Macomb Township, Precinct 13",251,103,354,315,669
"Macomb Township, Precinct 14",280,98,378,399,777
"Macomb Township, Precinct 15",271,180,451,399,850
"Macomb Township, Precinct 16",310,114,424,475,899
"Macomb Township, Precinct 17",219,138,357,423,780
"Macomb Township, Precinct 18",111,57,168,305,473
"Macomb Township, Precinct 19",50,43,93,193,286
"Macomb Township, Precinct 20",219,87,306,377,683
"Macomb Township, Precinct 21",234,165,399,452,851
"Macomb Township, Precinct 22",284,97,381,417,798
"Macomb Township, Precinct 23",247,145,392,381,773
"Macomb Township, Precinct 24",274,131,405,531,936
"Macomb Township, Precinct 25",159,76,235,256,491
"Macomb Township, Precinct 26",172,64,236,214,450
"Macomb Township, Precinct 27",234,157,391,405,796
"Macomb Township, Precinct 28",218,65,283,249,532
"Macomb Township, Precinct 29",140,80,220,352,572
"Macomb Township, Precinct 30",217,110,327,337,664
"Macomb Township, Precinct 31",138,95,233,269,502
"Macomb Township, Precinct 32",221,107,328,306,634
"Macomb Township, Precinct 33",116,83,199,265,464
"Macomb Township, Precinct 34",193,75,268,292,560
"Macomb Township, Precinct 35",157,92,249,367,616
"Macomb Township, Precinct 36",152,66,218,269,487
"Macomb Township, Precinct 37",171,132,303,304,607
"Memphis City, Precinct 1",43,57,100,86,186
"Mount Clemens City, Precinct 1",25,22,47,339,386
"Mount Clemens City, Precinct 2",93,74,167,472,639
"Mount Clemens City, Precinct 3",142,85,227,554,781
"Mount Clemens City, Precinct 4",41,52,93,286,379
"Mount Clemens City, Precinct 6",100,57,157,643,800
"Mount Clemens City, Precinct 9",135,108,243,477,720
"New Baltimore City, Precinct 1",135,89,224,255,479
"New Baltimore City, Precinct 2",98,91,189,185,374
"New Baltimore City, Precinct 3",267,158,425,428,853
"New Baltimore City, Precinct 4",153,148,301,401,702
"New Baltimore City, Precinct 5",189,92,281,345,626
"Ray Township, Precinct 1",210,103,313,301,614
"Ray Township, Precinct 2",247,214,461,374,835
"Richmond City, Precinct 1A",180,242,422,415,837
"Richmond City, Precinct 2",178,126,304,337,641
"Richmond Township, Precinct 1",169,109,278,196,474
"Richmond Township, Precinct 2",109,155,264,209,473
"Roseville City, Precinct 1",80,116,196,357,553
"Roseville City, Precinct 2",148,91,239,593,832
"Roseville City, Precinct 3",60,62,122,436,558
"Roseville City, Precinct 4",68,29,97,239,336
"Roseville City, Precinct 5",89,73,162,338,500
"Roseville City, Precinct 6",177,91,268,454,722
"Roseville City, Precinct 7",109,123,232,508,740
"Roseville City, Precinct 8",121,97,218,513,731
"Roseville City, Precinct 9",123,173,296,532,828
"Roseville City, Precinct 10",82,58,140,263,403
"Roseville City, Precinct 11",86,92,178,380,558
"Roseville City, Precinct 12",95,62,157,349,506
"Roseville City, Precinct 13",39,47,86,210,296
"Roseville City, Precinct 14",87,70,157,299,456
"Roseville City, Precinct 15",70,86,156,531,687
"Shelby Township, Precinct 1",407,155,562,464,"1,026"
"Shelby Township, Precinct 2",269,204,473,340,813
"Shelby Township, Precinct 3",151,55,206,159,365
"Shelby Township, Precinct 4",205,142,347,337,684
"Shelby Township, Precinct 5",150,63,213,300,513
"Shelby Township, Precinct 6",98,84,182,258,440
"Shelby Township, Precinct 7",283,121,404,424,828
"Shelby Township, Precinct 8",146,99,245,173,418
"Shelby Township, Precinct 9",116,63,179,203,382
"Shelby Township, Precinct 10",162,115,277,256,533
"Shelby Township, Precinct 11",222,95,317,336,653
"Shelby Township, Precinct 12",211,117,328,232,560
"Shelby Township, Precinct 13",120,84,204,209,413
"Shelby Township, Precinct 14",241,190,431,381,812
"Shelby Township, Precinct 15",295,145,440,435,875
"Shelby Township, Precinct 16",357,209,566,566,"1,132"
"Shelby Township, Precinct 17",305,123,428,448,876
"Shelby Township, Precinct 18",168,127,295,363,658
"Shelby Township, Precinct 19",204,89,293,300,593
