Precinct,"Grant Anderson
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"5,434","5,434","10,597","16,031"
"Clinton Township, Precinct 1",199,199,385,584
"Clinton Township, Precinct 2",95,95,150,245
"Clinton Township, Precinct 4",69,69,105,174
"Clinton Township, Precinct 6",165,165,421,586
"Clinton Township, Precinct 8",163,163,306,469
"Clinton Township, Precinct 14",97,97,136,233
"Clinton Township, Precinct 15",173,173,276,449
"Clinton Township, Precinct 28",88,88,335,423
"Clinton Township, Precinct 29",309,309,466,775
"Clinton Township, Precinct 34",122,122,397,519
"Clinton Township, Precinct 38",217,217,342,559
"Clinton Township, Precinct 42",179,179,429,608
"Clinton Township, Precinct 44",452,452,647,"1,099"
"Clinton Township, Precinct 45",269,269,421,690
"Clinton Township, Precinct 46",419,419,731,"1,150"
"Macomb Township, Precinct 2",292,292,382,674
"Macomb Township, Precinct 4",293,293,356,649
"Macomb Township, Precinct 10",153,153,324,477
"Macomb Township, Precinct 12",309,309,431,740
"Macomb Township, Precinct 18",164,164,309,473
"Macomb Township, Precinct 19",88,88,198,286
"Macomb Township, Precinct 33",198,198,266,464
"Mount Clemens City, Precinct 1",47,47,339,386
"Mount Clemens City, Precinct 2",171,171,468,639
"Mount Clemens City, Precinct 3",218,218,563,781
"Mount Clemens City, Precinct 4",94,94,285,379
"Mount Clemens City, Precinct 6",152,152,648,800
"Mount Clemens City, Precinct 9",239,239,481,720
Totals,"5,434","5,434","10,597","16,031"

