Precinct,"Mike Aiello
Republican","Joe Aragona
Republican","Phil Rode
Republican","Kenneth A. Tardie
Republican","Total Votes Cast","Total Ballots Cast"
Totals,"7,303","7,081","6,515","6,138","27,037","25,715"
"Clinton Township, Precinct 1",170,159,143,141,613,584
"Clinton Township, Precinct 2",71,64,62,57,254,245
"Clinton Township, Precinct 3",109,110,106,95,420,491
"Clinton Township, Precinct 4",55,43,41,41,180,174
"Clinton Township, Precinct 5",16,12,12,11,51,370
"Clinton Township, Precinct 6",125,133,125,113,496,586
"Clinton Township, Precinct 7",72,63,72,60,267,262
"Clinton Township, Precinct 8",125,123,114,105,467,469
"Clinton Township, Precinct 9",88,85,83,72,328,326
"Clinton Township, Precinct 10",216,211,191,192,810,566
"Clinton Township, Precinct 11",101,101,101,84,387,455
"Clinton Township, Precinct 12",52,58,49,49,208,253
"Clinton Township, Precinct 13",144,124,120,121,509,534
"Clinton Township, Precinct 14",70,70,62,54,256,233
"Clinton Township, Precinct 15",142,131,130,121,524,449
"Clinton Township, Precinct 16",178,178,157,142,655,646
"Clinton Township, Precinct 17",118,110,138,97,463,471
"Clinton Township, Precinct 18",158,161,158,134,611,506
"Clinton Township, Precinct 19",249,241,228,211,929,685
"Clinton Township, Precinct 20",19,12,14,12,57,93
"Clinton Township, Precinct 21",78,69,73,66,286,349
"Clinton Township, Precinct 22",93,86,76,76,331,535
"Clinton Township, Precinct 23",241,241,215,207,904,791
"Clinton Township, Precinct 24",147,145,128,123,543,477
"Clinton Township, Precinct 25",147,133,124,118,522,557
"Clinton Township, Precinct 26",219,219,185,185,808,666
"Clinton Township, Precinct 27",209,214,186,181,790,608
"Clinton Township, Precinct 28",74,68,60,59,261,423
"Clinton Township, Precinct 29",258,254,238,223,973,775
"Clinton Township, Precinct 30",128,105,103,98,434,535
"Clinton Township, Precinct 31",150,154,142,130,576,629
"Clinton Township, Precinct 32",147,149,142,138,576,451
"Clinton Township, Precinct 33",237,226,219,205,887,864
"Clinton Township, Precinct 34",88,82,75,67,312,519
"Clinton Township, Precinct 35",364,367,319,303,"1,353","1,114"
"Clinton Township, Precinct 36",171,167,157,149,644,646
"Clinton Township, Precinct 37",255,236,208,210,909,874
"Clinton Township, Precinct 38",178,182,158,150,668,559
"Clinton Township, Precinct 39",190,178,166,164,698,601
"Clinton Township, Precinct 40",247,223,192,181,843,832
"Clinton Township, Precinct 41",204,201,179,168,752,630
"Clinton Township, Precinct 42",143,132,122,111,508,608
"Clinton Township, Precinct 43",111,115,108,101,435,335
"Clinton Township, Precinct 44",368,382,326,320,"1,396","1,099"
"Clinton Township, Precinct 45",211,221,196,186,814,690
"Clinton Township, Precinct 46",367,343,312,307,"1,329","1,150"
Totals,"7,303","7,081","6,515","6,138","27,037","25,715"

