Precinct,"Veronica Klinefelt
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"8,832","8,832","6,422","15,254"
"Eastpointe City, Precinct 1",272,272,144,416
"Eastpointe City, Precinct 2",423,423,187,610
"Eastpointe City, Precinct 3",316,316,222,538
"Eastpointe City, Precinct 4",326,326,186,512
"Eastpointe City, Precinct 5",312,312,188,500
"Eastpointe City, Precinct 6",344,344,175,519
"Eastpointe City, Precinct 7",393,393,118,511
"Eastpointe City, Precinct 8",552,552,123,675
"Eastpointe City, Precinct 9",369,369,94,463
"Eastpointe City, Precinct 10",204,204,127,331
"Eastpointe City, Precinct 11",332,332,148,480
"Eastpointe City, Precinct 12",547,547,264,811
"Eastpointe City, Precinct 13",210,210,81,291
"Eastpointe City, Precinct 14",423,423,154,577
"St. Clair Shores City, Precinct 1",495,495,654,"1,149"
"St. Clair Shores City, Precinct 3",453,453,425,878
"St. Clair Shores City, Precinct 4",419,419,481,900
"St. Clair Shores City, Precinct 6",466,466,310,776
"St. Clair Shores City, Precinct 9",220,220,267,487
"St. Clair Shores City, Precinct 12",416,416,576,992
"St. Clair Shores City, Precinct 13",415,415,743,"1,158"
"Village of Grosse Pointe Shores City, Precinct 3",7,7,23,30
"Warren City, Precinct 15",330,330,226,556
"Warren City, Precinct 17",235,235,206,441
"Warren City, Precinct 25",185,185,214,399
"Warren City, Precinct 26",168,168,86,254
Totals,"8,832","8,832","6,422","15,254"

