Precinct,"Steve Marino
Republican","William J. Revoir
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"9,861","1,920","11,781","13,775","25,556"
"Clinton Township, Precinct 1",179,37,216,368,584
"Clinton Township, Precinct 4",56,11,67,107,174
"Clinton Township, Precinct 10",255,46,301,265,566
"Clinton Township, Precinct 27",223,60,283,325,608
"Clinton Township, Precinct 28",81,11,92,331,423
"Clinton Township, Precinct 29",271,72,343,432,775
"Clinton Township, Precinct 34",115,9,124,395,519
"Clinton Township, Precinct 36",183,36,219,427,646
"Clinton Township, Precinct 37",278,55,333,541,874
"Clinton Township, Precinct 38",174,62,236,323,559
"Clinton Township, Precinct 39",209,37,246,355,601
"Clinton Township, Precinct 40",258,62,320,512,832
"Clinton Township, Precinct 41",223,44,267,363,630
"Clinton Township, Precinct 42",148,44,192,416,608
"Clinton Township, Precinct 44",395,98,493,606,"1,099"
"Clinton Township, Precinct 45",234,61,295,395,690
"Clinton Township, Precinct 46",376,72,448,702,"1,150"
"Harrison Township, Precinct 1",253,57,310,394,704
"Harrison Township, Precinct 2",305,56,361,499,860
"Harrison Township, Precinct 3",375,77,452,368,820
"Harrison Township, Precinct 4",375,45,420,442,862
"Harrison Township, Precinct 5",525,103,628,344,972
"Harrison Township, Precinct 6",413,56,469,438,907
"Harrison Township, Precinct 7",431,91,522,401,923
"Harrison Township, Precinct 8",167,36,203,327,530
"Harrison Township, Precinct 9",420,75,495,340,835
"Harrison Township, Precinct 10",364,51,415,347,762
"Macomb Township, Precinct 3",274,53,327,272,599
"Macomb Township, Precinct 4",274,45,319,330,649
"Macomb Township, Precinct 6",227,50,277,312,589
"Macomb Township, Precinct 7",255,48,303,289,592
"Macomb Township, Precinct 12",301,47,348,392,740
"Macomb Township, Precinct 14",360,58,418,359,777
"Macomb Township, Precinct 19",84,14,98,188,286
"Macomb Township, Precinct 20",294,54,348,335,683
"Macomb Township, Precinct 30",309,60,369,295,664
"Macomb Township, Precinct 33",197,27,224,240,464
Totals,"9,861","1,920","11,781","13,775","25,556"

