Precinct,"Don Brown
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"12,679","12,679","9,975","22,654"
"Armada Township, Precinct 1",577,577,515,"1,092"
"Armada Township, Precinct 2",431,431,344,775
"Bruce Township, Precinct 1",285,285,296,581
"Bruce Township, Precinct 2",660,660,420,"1,080"
"Bruce Township, Precinct 3",386,386,301,687
"Bruce Township, Precinct 4",521,521,303,824
"Memphis City, Precinct 1",96,96,90,186
"Ray Township, Precinct 1",361,361,253,614
"Ray Township, Precinct 2",490,490,345,835
"Richmond City, Precinct 1A",431,431,406,837
"Richmond City, Precinct 2",322,322,319,641
"Richmond Township, Precinct 1",292,292,182,474
"Richmond Township, Precinct 2",294,294,179,473
"Shelby Township, Precinct 1",548,548,478,"1,026"
"Shelby Township, Precinct 14",408,408,404,812
"Shelby Township, Precinct 23",565,565,390,955
"Shelby Township, Precinct 24",735,735,538,"1,273"
"Washington Township, Precinct 1",289,289,268,557
"Washington Township, Precinct 10",372,372,289,661
"Washington Township, Precinct 11",377,377,272,649
"Washington Township, Precinct 2",618,618,536,"1,154"
"Washington Township, Precinct 3",602,602,467,"1,069"
"Washington Township, Precinct 4",359,359,395,754
"Washington Township, Precinct 5",652,652,424,"1,076"
"Washington Township, Precinct 6",656,656,489,"1,145"
"Washington Township, Precinct 7",603,603,428,"1,031"
"Washington Township, Precinct 8",477,477,402,879
"Washington Township, Precinct 9",272,272,242,514
Totals,"12,679","12,679","9,975","22,654"

