Precinct,"Michelle Nard
Democratic","Andrey Duzyj
Democratic","Terry Wisniewski
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"2,583","2,516","2,382","7,481","5,874","13,355"
"Warren City, Precinct 1",149,135,66,350,191,541
"Warren City, Precinct 3",147,104,126,377,159,536
"Warren City, Precinct 4",57,100,100,257,176,433
"Warren City, Precinct 5",101,102,91,294,151,445
"Warren City, Precinct 6",93,116,109,318,222,540
"Warren City, Precinct 7",74,39,67,180,95,275
"Warren City, Precinct 18",31,26,30,87,51,138
"Warren City, Precinct 19",99,90,89,278,215,493
"Warren City, Precinct 20",126,138,124,388,263,651
"Warren City, Precinct 34",98,90,40,228,126,354
"Warren City, Precinct 35",164,130,122,416,326,742
"Warren City, Precinct 36",160,196,218,574,534,"1,108"
"Warren City, Precinct 38",209,202,121,532,343,875
"Warren City, Precinct 43",139,99,118,356,304,660
"Warren City, Precinct 44",128,90,110,328,224,552
"Warren City, Precinct 45",115,120,87,322,260,582
"Warren City, Precinct 46",122,77,73,272,234,506
"Warren City, Precinct 47",94,163,142,399,408,807
"Warren City, Precinct 48",88,95,75,258,158,416
"Warren City, Precinct 53",67,61,88,216,239,455
"Warren City, Precinct 54",81,103,121,305,385,690
"Warren City, Precinct 55",104,115,87,306,333,639
"Warren City, Precinct 56",56,43,58,157,186,343
"Warren City, Precinct 57",81,82,120,283,291,574
Totals,"2,583","2,516","2,382","7,481","5,874","13,355"

