Precinct,"No Nomination",Overvotes/Undervotes,"Total Ballots Cast"
"Bruce Township, Precinct 1",-,581,581
"Bruce Township, Precinct 2",-,"1,080","1,080"
"Bruce Township, Precinct 3",-,687,687
"Bruce Township, Precinct 4",-,824,824
Totals,-,"3,172","3,172"

