Precinct,"Jeff Yaroch
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"13,557","13,557","11,953","25,510"
"Armada Township, Precinct 1",667,667,425,"1,092"
"Armada Township, Precinct 2",482,482,293,775
"Lenox Township, Precinct 1",294,294,209,503
"Lenox Township, Precinct 2",319,319,315,634
"Lenox Township, Precinct 3",198,198,376,574
"Lenox Township, Precinct 4",95,95,151,246
"Macomb Township, Precinct 1",304,304,237,541
"Macomb Township, Precinct 2",318,318,356,674
"Macomb Township, Precinct 5",385,385,392,777
"Macomb Township, Precinct 8",308,308,346,654
"Macomb Township, Precinct 9",292,292,174,466
"Macomb Township, Precinct 10",161,161,316,477
"Macomb Township, Precinct 11",396,396,365,761
"Macomb Township, Precinct 13",357,357,312,669
"Macomb Township, Precinct 15",488,488,362,850
"Macomb Township, Precinct 16",474,474,425,899
"Macomb Township, Precinct 17",388,388,392,780
"Macomb Township, Precinct 18",174,174,299,473
"Macomb Township, Precinct 21",444,444,407,851
"Macomb Township, Precinct 22",409,409,389,798
"Macomb Township, Precinct 23",439,439,334,773
"Macomb Township, Precinct 24",457,457,479,936
"Macomb Township, Precinct 25",255,255,236,491
"Macomb Township, Precinct 26",243,243,207,450
"Macomb Township, Precinct 27",435,435,361,796
"Macomb Township, Precinct 28",295,295,237,532
"Macomb Township, Precinct 29",238,238,334,572
"Macomb Township, Precinct 31",266,266,236,502
"Macomb Township, Precinct 32",341,341,293,634
"Macomb Township, Precinct 34",288,288,272,560
"Macomb Township, Precinct 35",280,280,336,616
"Macomb Township, Precinct 36",235,235,252,487
"Macomb Township, Precinct 37",333,333,274,607
"Memphis City, Precinct 1",108,108,78,186
"Ray Township, Precinct 1",385,385,229,614
"Ray Township, Precinct 2",513,513,322,835
"Richmond City, Precinct 1",484,484,353,837
"Richmond City, Precinct 2",363,363,278,641
"Richmond Township, Precinct 1",328,328,146,474
"Richmond Township, Precinct 2",318,318,155,473
Totals,"13,557","13,557","11,953","25,510"

