Precinct,"Susan Hier
Democratic","Total Votes Cast","Total Ballots Cast"
Totals,"1,534","1,534","9,489"
"Washington Township, Precinct 1",113,113,557
"Washington Township, Precinct 10",109,109,661
"Washington Township, Precinct 11",84,84,649
"Washington Township, Precinct 2",235,235,"1,154"
"Washington Township, Precinct 3",143,143,"1,069"
"Washington Township, Precinct 4",158,158,754
"Washington Township, Precinct 5",121,121,"1,076"
"Washington Township, Precinct 6",168,168,"1,145"
"Washington Township, Precinct 7",174,174,"1,031"
"Washington Township, Precinct 8",151,151,879
"Washington Township, Precinct 9",78,78,514
Totals,"1,534","1,534","9,489"

