Precinct,"Candice S. Miller
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"92,354","92,354","120,159","212,513"
"Armada Township, Precinct 1",673,673,419,"1,092"
"Armada Township, Precinct 2",475,475,300,775
"Bruce Township, Precinct 1",307,307,274,581
"Bruce Township, Precinct 2",690,690,390,"1,080"
"Bruce Township, Precinct 3",410,410,277,687
"Bruce Township, Precinct 4",555,555,269,824
"Center Line City, Precinct 1",137,137,285,422
"Center Line City, Precinct 2",79,79,266,345
"Center Line City, Precinct 3",120,120,335,455
"Center Line City, Precinct 4",87,87,163,250
"Center Line City, Precinct 5",76,76,164,240
"Chesterfield Township, Precinct 1",404,404,382,786
"Chesterfield Township, Precinct 2",340,340,386,726
"Chesterfield Township, Precinct 3",319,319,268,587
"Chesterfield Township, Precinct 4",237,237,258,495
"Chesterfield Township, Precinct 5",327,327,357,684
"Chesterfield Township, Precinct 6",324,324,267,591
"Chesterfield Township, Precinct 7",245,245,232,477
"Chesterfield Township, Precinct 8",300,300,258,558
"Chesterfield Township, Precinct 9",332,332,301,633
"Chesterfield Township, Precinct 10",594,594,374,968
"Chesterfield Township, Precinct 11",256,256,236,492
"Chesterfield Township, Precinct 12",245,245,319,564
"Chesterfield Township, Precinct 13",394,394,396,790
"Chesterfield Township, Precinct 14",206,206,220,426
"Chesterfield Township, Precinct 15",467,467,424,891
"Chesterfield Township, Precinct 16",360,360,309,669
"Chesterfield Township, Precinct 17",87,87,208,295
"Chesterfield Township, Precinct 18",204,204,264,468
"Chesterfield Township, Precinct 19",207,207,255,462
"Clinton Township, Precinct 1",220,220,364,584
"Clinton Township, Precinct 2",106,106,139,245
"Clinton Township, Precinct 3",155,155,336,491
"Clinton Township, Precinct 4",72,72,102,174
"Clinton Township, Precinct 5",21,21,349,370
"Clinton Township, Precinct 6",175,175,411,586
"Clinton Township, Precinct 7",98,98,164,262
"Clinton Township, Precinct 8",187,187,282,469
"Clinton Township, Precinct 9",122,122,204,326
"Clinton Township, Precinct 10",291,291,275,566
"Clinton Township, Precinct 11",153,153,302,455
"Clinton Township, Precinct 12",88,88,165,253
"Clinton Township, Precinct 13",195,195,339,534
"Clinton Township, Precinct 14",101,101,132,233
"Clinton Township, Precinct 15",194,194,255,449
"Clinton Township, Precinct 16",245,245,401,646
"Clinton Township, Precinct 17",197,197,274,471
"Clinton Township, Precinct 18",232,232,274,506
"Clinton Township, Precinct 19",338,338,347,685
"Clinton Township, Precinct 20",23,23,70,93
"Clinton Township, Precinct 21",104,104,245,349
"Clinton Township, Precinct 22",123,123,412,535
"Clinton Township, Precinct 23",322,322,469,791
"Clinton Township, Precinct 24",196,196,281,477
