Precinct,"Diana Farrington
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"8,354","8,354","10,029","18,383"
"Shelby Township, Precinct 2",497,497,316,813
"Shelby Township, Precinct 4",396,396,288,684
"Shelby Township, Precinct 5",221,221,292,513
"Shelby Township, Precinct 10",306,306,227,533
"Shelby Township, Precinct 25",483,483,392,875
"Shelby Township, Precinct 27",383,383,424,807
"Shelby Township, Precinct 28",455,455,489,944
"Shelby Township, Precinct 29",264,264,214,478
"Shelby Township, Precinct 30",336,336,282,618
"Sterling Heights City, Precinct 1",163,163,293,456
"Sterling Heights City, Precinct 2",244,244,476,720
"Sterling Heights City, Precinct 7",278,278,434,712
"Sterling Heights City, Precinct 8",231,231,358,589
"Sterling Heights City, Precinct 13",177,177,300,477
"Sterling Heights City, Precinct 14",133,133,280,413
"Sterling Heights City, Precinct 15",202,202,227,429
"Sterling Heights City, Precinct 16",163,163,278,441
"Sterling Heights City, Precinct 17",186,186,285,471
"Sterling Heights City, Precinct 22",219,219,275,494
"Sterling Heights City, Precinct 23",215,215,298,513
"Sterling Heights City, Precinct 24",212,212,287,499
"Sterling Heights City, Precinct 32",77,77,108,185
"Sterling Heights City, Precinct 33",254,254,330,584
"Sterling Heights City, Precinct 34",355,355,375,730
"Sterling Heights City, Precinct 35",130,130,220,350
"Sterling Heights City, Precinct 41",197,197,251,448
"Sterling Heights City, Precinct 43",488,488,634,"1,122"
"Sterling Heights City, Precinct 44",265,265,343,608
"Sterling Heights City, Precinct 45",333,333,448,781
"Utica City, Precinct 1",87,87,119,206
"Utica City, Precinct 2",224,224,210,434
"Utica City, Precinct 3",180,180,276,456
Totals,"8,354","8,354","10,029","18,383"

