Precinct,"Donald VanSyckel
Republican","Talil Abrhiem
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"4,826",840,"5,666","8,554","14,220"
"Sterling Heights City, Precinct 16",116,32,148,293,441
"Sterling Heights City, Precinct 17",167,17,184,287,471
"Sterling Heights City, Precinct 21",128,21,149,262,411
"Sterling Heights City, Precinct 23",173,31,204,309,513
"Sterling Heights City, Precinct 24",160,40,200,299,499
"Sterling Heights City, Precinct 26",304,44,348,474,822
"Sterling Heights City, Precinct 27",243,38,281,419,700
"Sterling Heights City, Precinct 28",229,34,263,440,703
"Sterling Heights City, Precinct 29",219,31,250,362,612
"Sterling Heights City, Precinct 31",99,27,126,236,362
"Sterling Heights City, Precinct 32",57,14,71,114,185
"Sterling Heights City, Precinct 33",186,47,233,351,584
"Sterling Heights City, Precinct 34",290,63,353,377,730
"Sterling Heights City, Precinct 35",105,11,116,234,350
"Sterling Heights City, Precinct 36",270,42,312,491,803
"Sterling Heights City, Precinct 37",236,26,262,420,682
"Sterling Heights City, Precinct 38",247,82,329,552,881
"Sterling Heights City, Precinct 39",231,20,251,352,603
"Sterling Heights City, Precinct 40",101,15,116,179,295
"Sterling Heights City, Precinct 41",162,15,177,271,448
"Sterling Heights City, Precinct 42",237,35,272,342,614
"Sterling Heights City, Precinct 43",389,72,461,661,"1,122"
"Sterling Heights City, Precinct 44",210,40,250,358,608
"Sterling Heights City, Precinct 45",267,43,310,471,781
Totals,"4,826",840,"5,666","8,554","14,220"

