Precinct,"Mike Nicley
Republican","Mary Berlingieri
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,126","2,832","5,958","3,531","9,489"
"Washington Township, Precinct 1",150,175,325,232,557
"Washington Township, Precinct 10",186,198,384,277,661
"Washington Township, Precinct 11",171,247,418,231,649
"Washington Township, Precinct 2",354,362,716,438,"1,154"
"Washington Township, Precinct 3",375,318,693,376,"1,069"
"Washington Township, Precinct 4",199,202,401,353,754
"Washington Township, Precinct 5",426,321,747,329,"1,076"
"Washington Township, Precinct 6",444,309,753,392,"1,145"
"Washington Township, Precinct 7",341,325,666,365,"1,031"
"Washington Township, Precinct 8",279,246,525,354,879
"Washington Township, Precinct 9",201,129,330,184,514
Totals,"3,126","2,832","5,958","3,531","9,489"

