Precinct,"Mike Tremblay
Republican","Lisa Craffey
Republican","Rick Hagelstein
Republican","William Thompson
Republican","Jim Santilli
Republican","Edward Nightingale
Republican","Guy Kitchen
Republican","Marq Apel
Republican","Total Votes Cast","Total Ballots Cast"
"Bruce Township, Precinct 1",152,97,44,72,42,66,60,16,549,581
"Bruce Township, Precinct 2",384,230,159,115,105,117,70,24,"1,204","1,080"
"Bruce Township, Precinct 3",251,195,77,66,91,64,58,14,816,687
"Bruce Township, Precinct 4",284,159,105,97,108,97,91,22,963,824
Totals,"1,071",681,385,350,346,344,279,76,"3,532","3,172"

