Precinct,"Penny Pesta
Democratic","Kurt Steven Kramer
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,807","1,883","5,690","10,863","16,553"
"Chesterfield Township, Precinct 1",179,83,262,524,786
"Chesterfield Township, Precinct 2",151,93,244,482,726
"Chesterfield Township, Precinct 3",111,53,164,423,587
"Chesterfield Township, Precinct 4",111,72,183,312,495
"Chesterfield Township, Precinct 5",177,77,254,430,684
"Chesterfield Township, Precinct 6",116,66,182,409,591
"Chesterfield Township, Precinct 7",111,47,158,319,477
"Chesterfield Township, Precinct 8",93,67,160,398,558
"Chesterfield Township, Precinct 9",150,75,225,408,633
"Chesterfield Township, Precinct 10",152,72,224,744,968
"Chesterfield Township, Precinct 11",126,46,172,320,492
"Chesterfield Township, Precinct 12",139,90,229,335,564
"Chesterfield Township, Precinct 13",213,65,278,512,790
"Chesterfield Township, Precinct 14",107,42,149,277,426
"Chesterfield Township, Precinct 15",213,95,308,583,891
"Chesterfield Township, Precinct 16",124,87,211,458,669
"Chesterfield Township, Precinct 17",121,48,169,126,295
"Chesterfield Township, Precinct 18",109,56,165,303,468
"Chesterfield Township, Precinct 19",134,44,178,284,462
"Lenox Township, Precinct 1",73,41,114,389,503
"Lenox Township, Precinct 2",156,58,214,420,634
"Lenox Township, Precinct 3",174,112,286,288,574
"Lenox Township, Precinct 4",85,40,125,121,246
"New Baltimore City, Precinct 1",100,69,169,310,479
"New Baltimore City, Precinct 2",79,38,117,257,374
"New Baltimore City, Precinct 3",160,97,257,596,853
"New Baltimore City, Precinct 4",224,56,280,422,702
"New Baltimore City, Precinct 5",119,94,213,413,626
Totals,"3,807","1,883","5,690","10,863","16,553"

