Precinct,"John W. Paterek
Republican","Steven J. Nikkel
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Armada Township, Precinct 1",457,321,778,314,"1,092"
"Armada Township, Precinct 2",362,210,572,203,775
Totals,819,531,"1,350",517,"1,867"

