Precinct,"Anthony Reeder
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Lenox Township, Precinct 1",256,256,247,503
"Lenox Township, Precinct 2",284,284,350,634
"Lenox Township, Precinct 3",168,168,406,574
"Lenox Township, Precinct 4",81,81,165,246
Totals,789,789,"1,168","1,957"

