Precinct,"Olu Jabari
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"7,104","7,104","18,406","25,510"
"Armada Township, Precinct 1",152,152,940,"1,092"
"Armada Township, Precinct 2",75,75,700,775
"Lenox Township, Precinct 1",104,104,399,503
"Lenox Township, Precinct 2",206,206,428,634
"Lenox Township, Precinct 3",278,278,296,574
"Lenox Township, Precinct 4",126,126,120,246
"Macomb Township, Precinct 1",145,145,396,541
"Macomb Township, Precinct 2",203,203,471,674
"Macomb Township, Precinct 5",271,271,506,777
"Macomb Township, Precinct 8",215,215,439,654
"Macomb Township, Precinct 9",96,96,370,466
"Macomb Township, Precinct 10",217,217,260,477
"Macomb Township, Precinct 11",223,223,538,761
"Macomb Township, Precinct 13",194,194,475,669
"Macomb Township, Precinct 15",203,203,647,850
"Macomb Township, Precinct 16",253,253,646,899
"Macomb Township, Precinct 17",267,267,513,780
"Macomb Township, Precinct 18",205,205,268,473
"Macomb Township, Precinct 21",246,246,605,851
"Macomb Township, Precinct 22",210,210,588,798
"Macomb Township, Precinct 23",189,189,584,773
"Macomb Township, Precinct 24",278,278,658,936
"Macomb Township, Precinct 25",139,139,352,491
"Macomb Township, Precinct 26",126,126,324,450
"Macomb Township, Precinct 27",225,225,571,796
"Macomb Township, Precinct 28",161,161,371,532
"Macomb Township, Precinct 29",241,241,331,572
"Macomb Township, Precinct 31",125,125,377,502
"Macomb Township, Precinct 32",160,160,474,634
"Macomb Township, Precinct 34",174,174,386,560
"Macomb Township, Precinct 35",246,246,370,616
"Macomb Township, Precinct 36",156,156,331,487
"Macomb Township, Precinct 37",146,146,461,607
"Memphis City, Precinct 1",45,45,141,186
"Ray Township, Precinct 1",82,82,532,614
"Ray Township, Precinct 2",130,130,705,835
"Richmond City, Precinct 1",250,250,587,837
"Richmond City, Precinct 2",179,179,462,641
"Richmond Township, Precinct 1",73,73,401,474
"Richmond Township, Precinct 2",90,90,383,473
Totals,"7,104","7,104","18,406","25,510"

