Precinct,"Rhonda Warner
Democratic","Loreen Dennis
Democratic","C. William Bardill
Democratic","Total Votes Cast","Total Ballots Cast"
Totals,"1,861","1,651","1,565","5,077","8,175"
"Harrison Township, Precinct 1",208,188,173,569,704
"Harrison Township, Precinct 2",276,233,217,726,860
"Harrison Township, Precinct 3",157,137,136,430,820
"Harrison Township, Precinct 4",218,206,192,616,862
"Harrison Township, Precinct 5",118,119,106,343,972
"Harrison Township, Precinct 6",221,179,169,569,907
"Harrison Township, Precinct 7",181,167,159,507,923
"Harrison Township, Precinct 8",199,162,155,516,530
"Harrison Township, Precinct 9",133,127,127,387,835
"Harrison Township, Precinct 10",150,133,131,414,762
Totals,"1,861","1,651","1,565","5,077","8,175"

