Precinct,"Mary K. Swiacki
Republican","Christine Martin
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Armada Township, Precinct 1",398,348,746,346,"1,092"
"Armada Township, Precinct 2",297,245,542,233,775
Totals,695,593,"1,288",579,"1,867"

