Precinct,"Charles J. Langworthy
Republican","Gabi Grossbard
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Sterling Heights City, Precinct 4",188,135,323,679,"1,002"
"Sterling Heights City, Precinct 5",191,110,301,613,914
"Sterling Heights City, Precinct 6",122,88,210,308,518
"Sterling Heights City, Precinct 7",186,94,280,432,712
"Sterling Heights City, Precinct 8",121,106,227,362,589
"Sterling Heights City, Precinct 9",92,43,135,196,331
"Sterling Heights City, Precinct 10",167,120,287,476,763
"Sterling Heights City, Precinct 11",103,56,159,281,440
"Sterling Heights City, Precinct 12",186,129,315,535,850
"Sterling Heights City, Precinct 13",120,53,173,304,477
"Sterling Heights City, Precinct 14",67,64,131,282,413
"Sterling Heights City, Precinct 15",134,68,202,227,429
"Sterling Heights City, Precinct 16",88,68,156,285,441
"Sterling Heights City, Precinct 17",115,69,184,287,471
"Sterling Heights City, Precinct 18",181,103,284,494,778
"Sterling Heights City, Precinct 19",183,95,278,507,785
"Sterling Heights City, Precinct 20",163,113,276,435,711
"Sterling Heights City, Precinct 21",92,73,165,246,411
"Sterling Heights City, Precinct 22",103,94,197,297,494
"Sterling Heights City, Precinct 23",134,70,204,309,513
"Sterling Heights City, Precinct 24",129,85,214,285,499
"Sterling Heights City, Precinct 25",234,132,366,504,870
"Sterling Heights City, Precinct 26",196,179,375,447,822
"Sterling Heights City, Precinct 27",192,99,291,409,700
"Sterling Heights City, Precinct 28",170,112,282,421,703
"Sterling Heights City, Precinct 31",96,32,128,234,362
"Sterling Heights City, Precinct 32",36,39,75,110,185
"Sterling Heights City, Precinct 33",162,81,243,341,584
"Warren City, Precinct 1",75,44,119,422,541
"Warren City, Precinct 3",69,35,104,432,536
"Warren City, Precinct 4",68,57,125,308,433
"Warren City, Precinct 5",57,41,98,347,445
"Warren City, Precinct 6",95,55,150,390,540
"Warren City, Precinct 7",42,14,56,219,275
"Warren City, Precinct 8",31,34,65,229,294
"Warren City, Precinct 9",46,38,84,255,339
"Warren City, Precinct 10",29,27,56,206,262
"Warren City, Precinct 11",0,2,2,7,9
"Warren City, Precinct 12",36,17,53,170,223
"Warren City, Precinct 13",43,19,62,91,153
"Warren City, Precinct 14",79,71,150,409,559
"Warren City, Precinct 15",99,47,146,410,556
"Warren City, Precinct 17",82,53,135,306,441
"Warren City, Precinct 18",23,11,34,104,138
"Warren City, Precinct 19",69,70,139,354,493
"Warren City, Precinct 20",137,49,186,465,651
"Warren City, Precinct 22",142,104,246,447,693
"Warren City, Precinct 23",118,65,183,430,613
"Warren City, Precinct 24",46,30,76,175,251
"Warren City, Precinct 25",100,40,140,259,399
"Warren City, Precinct 26",32,21,53,201,254
"Warren City, Precinct 27",257,137,394,678,"1,072"
"Warren City, Precinct 28",145,117,262,625,887
"Warren City, Precinct 31",157,94,251,630,881
"Warren City, Precinct 32",139,92,231,484,715
"Warren City, Precinct 33",195,115,310,506,816
"Warren City, Precinct 34",47,35,82,272,354
"Warren City, Precinct 35",159,78,237,505,742
"Warren City, Precinct 36",175,179,354,754,"1,108"
"Warren City, Precinct 38",156,72,228,647,875
"Warren City, Precinct 41",136,117,253,597,850
"Warren City, Precinct 43",144,64,208,452,660
"Warren City, Precinct 44",77,63,140,412,552
"Warren City, Precinct 45",112,72,184,398,582
"Warren City, Precinct 46",74,73,147,359,506
"Warren City, Precinct 47",185,88,273,534,807
"Warren City, Precinct 48",41,51,92,324,416
"Warren City, Precinct 49",195,96,291,506,797
"Warren City, Precinct 50",120,117,237,431,668
"Warren City, Precinct 51",221,94,315,573,888
"Warren City, Precinct 52",127,78,205,296,501
"Warren City, Precinct 53",89,67,156,299,455
"Warren City, Precinct 54",145,124,269,421,690
"Warren City, Precinct 55",130,94,224,415,639
"Warren City, Precinct 56",63,58,121,222,343
"Warren City, Precinct 57",132,89,221,353,574
"Warren City, Precinct 58",147,191,338,575,913
Totals,"23,203","15,297","38,500","75,766","114,266"

