Precinct,"Charles J. Langworthy
Republican","Gabi Grossbard
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"23,203","15,297","38,500","75,766","114,266"
"Center Line City, Precinct 1",74,70,144,278,422
"Center Line City, Precinct 2",51,24,75,270,345
"Center Line City, Precinct 3",68,53,121,334,455
"Center Line City, Precinct 4",58,25,83,167,250
"Center Line City, Precinct 5",50,33,83,157,240
"Clinton Township, Precinct 1",124,83,207,377,584
"Clinton Township, Precinct 2",56,47,103,142,245
"Clinton Township, Precinct 3",93,63,156,335,491
"Clinton Township, Precinct 4",40,27,67,107,174
"Clinton Township, Precinct 5",13,6,19,351,370
"Clinton Township, Precinct 6",87,74,161,425,586
"Clinton Township, Precinct 7",71,27,98,164,262
"Clinton Township, Precinct 8",104,72,176,293,469
"Clinton Township, Precinct 9",91,32,123,203,326
"Clinton Township, Precinct 10",139,138,277,289,566
"Clinton Township, Precinct 11",75,74,149,306,455
"Clinton Township, Precinct 12",56,27,83,170,253
"Clinton Township, Precinct 13",116,79,195,339,534
"Clinton Township, Precinct 14",59,46,105,128,233
"Clinton Township, Precinct 15",110,70,180,269,449
"Clinton Township, Precinct 16",126,108,234,412,646
"Clinton Township, Precinct 17",134,54,188,283,471
"Clinton Township, Precinct 18",112,99,211,295,506
"Clinton Township, Precinct 19",218,99,317,368,685
"Clinton Township, Precinct 20",11,15,26,67,93
"Clinton Township, Precinct 21",49,46,95,254,349
"Clinton Township, Precinct 22",62,54,116,419,535
"Clinton Township, Precinct 23",181,119,300,491,791
"Clinton Township, Precinct 24",103,84,187,290,477
"Clinton Township, Precinct 25",118,61,179,378,557
"Clinton Township, Precinct 26",136,135,271,395,666
"Clinton Township, Precinct 27",170,103,273,335,608
"Clinton Township, Precinct 28",49,45,94,329,423
"Clinton Township, Precinct 29",177,137,314,461,775
"Clinton Township, Precinct 30",91,75,166,369,535
"Clinton Township, Precinct 31",152,67,219,410,629
"Clinton Township, Precinct 32",85,88,173,278,451
"Clinton Township, Precinct 33",177,119,296,568,864
"Clinton Township, Precinct 34",65,59,124,395,519
"Clinton Township, Precinct 35",289,165,454,660,"1,114"
"Clinton Township, Precinct 36",120,92,212,434,646
"Clinton Township, Precinct 37",204,110,314,560,874
"Clinton Township, Precinct 38",118,97,215,344,559
"Clinton Township, Precinct 39",152,85,237,364,601
"Clinton Township, Precinct 40",151,144,295,537,832
"Clinton Township, Precinct 41",152,101,253,377,630
"Clinton Township, Precinct 42",98,79,177,431,608
"Clinton Township, Precinct 43",95,56,151,184,335
"Clinton Township, Precinct 44",243,223,466,633,"1,099"
"Clinton Township, Precinct 45",185,94,279,411,690
"Clinton Township, Precinct 46",225,201,426,724,"1,150"
"Eastpointe City, Precinct 1",52,27,79,337,416
"Eastpointe City, Precinct 2",59,58,117,493,610
"Eastpointe City, Precinct 3",110,43,153,385,538
"Eastpointe City, Precinct 4",67,57,124,388,512
"Eastpointe City, Precinct 5",91,44,135,365,500
"Eastpointe City, Precinct 6",44,54,98,421,519
"Eastpointe City, Precinct 7",36,18,54,457,511
"Eastpointe City, Precinct 8",26,19,45,630,675
"Eastpointe City, Precinct 9",34,11,45,418,463
"Eastpointe City, Precinct 10",46,43,89,242,331
"Eastpointe City, Precinct 11",64,32,96,384,480
"Eastpointe City, Precinct 12",110,70,180,631,811
"Eastpointe City, Precinct 13",40,14,54,237,291
"Eastpointe City, Precinct 14",49,35,84,493,577
"Fraser City, Precinct 1",120,47,167,254,421
"Fraser City, Precinct 2",163,113,276,369,645
"Fraser City, Precinct 3",161,84,245,499,744
"Fraser City, Precinct 4",121,80,201,372,573
"Fraser City, Precinct 5",46,21,67,109,176
"Fraser City, Precinct 6",164,135,299,488,787
"Fraser City, Precinct 7",104,37,141,268,409
"Village of Grosse Pointe Shores City, Precinct 3",7,8,15,15,30
"Mount Clemens City, Precinct 1",29,20,49,337,386
"Mount Clemens City, Precinct 2",100,77,177,462,639
"Mount Clemens City, Precinct 3",155,85,240,541,781
"Mount Clemens City, Precinct 4",57,40,97,282,379
"Mount Clemens City, Precinct 6",102,66,168,632,800
"Mount Clemens City, Precinct 9",127,122,249,471,720
"Roseville City, Precinct 1",145,55,200,353,553
"Roseville City, Precinct 2",133,117,250,582,832
"Roseville City, Precinct 3",78,45,123,435,558
"Roseville City, Precinct 4",66,33,99,237,336
"Roseville City, Precinct 5",111,55,166,334,500
"Roseville City, Precinct 6",173,95,268,454,722
"Roseville City, Precinct 7",160,81,241,499,740
"Roseville City, Precinct 8",129,101,230,501,731
"Roseville City, Precinct 9",197,100,297,531,828
"Roseville City, Precinct 10",84,61,145,258,403
"Roseville City, Precinct 11",105,76,181,377,558
"Roseville City, Precinct 12",102,55,157,349,506
"Roseville City, Precinct 13",62,30,92,204,296
"Roseville City, Precinct 14",84,75,159,297,456
"Roseville City, Precinct 15",108,51,159,528,687
"St. Clair Shores City, Precinct 1",244,200,444,705,"1,149"
"St. Clair Shores City, Precinct 2",225,123,348,633,981
"St. Clair Shores City, Precinct 3",171,118,289,589,878
"St. Clair Shores City, Precinct 4",213,118,331,569,900
"St. Clair Shores City, Precinct 5",145,120,265,551,816
"St. Clair Shores City, Precinct 6",125,57,182,594,776
"St. Clair Shores City, Precinct 7",88,70,158,331,489
"St. Clair Shores City, Precinct 8",180,83,263,480,743
"St. Clair Shores City, Precinct 9",105,81,186,301,487
"St. Clair Shores City, Precinct 10",204,98,302,530,832
"St. Clair Shores City, Precinct 11",84,64,148,218,366
"St. Clair Shores City, Precinct 12",262,132,394,598,992
"St. Clair Shores City, Precinct 13",277,231,508,650,"1,158"
"St. Clair Shores City, Precinct 14",70,48,118,203,321
"St. Clair Shores City, Precinct 15",187,129,316,580,896
"St. Clair Shores City, Precinct 16",213,117,330,487,817
"St. Clair Shores City, Precinct 17",239,197,436,547,983
"St. Clair Shores City, Precinct 18",208,85,293,425,718
"St. Clair Shores City, Precinct 19",137,114,251,364,615
"St. Clair Shores City, Precinct 20",105,47,152,275,427
"St. Clair Shores City, Precinct 21",152,128,280,380,660
"St. Clair Shores City, Precinct 22",153,95,248,306,554
"St. Clair Shores City, Precinct 23",140,115,255,422,677
"Sterling Heights City, Precinct 1",122,46,168,288,456
"Sterling Heights City, Precinct 2",132,115,247,473,720
"Sterling Heights City, Precinct 3",181,83,264,578,842
