Precinct,"William J. Sowerby
Democratic","Michelle Robertson
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"6,300","4,685","10,985","10,852","21,837"
"Clinton Township, Precinct 2",73,38,111,134,245
"Clinton Township, Precinct 3",172,101,273,218,491
"Clinton Township, Precinct 5",180,145,325,45,370
"Clinton Township, Precinct 6",199,153,352,234,586
"Clinton Township, Precinct 7",78,50,128,134,262
"Clinton Township, Precinct 8",105,100,205,264,469
"Clinton Township, Precinct 9",88,70,158,168,326
"Clinton Township, Precinct 11",143,108,251,204,455
"Clinton Township, Precinct 12",73,58,131,122,253
"Clinton Township, Precinct 13",141,120,261,273,534
"Clinton Township, Precinct 14",66,36,102,131,233
"Clinton Township, Precinct 15",112,87,199,250,449
"Clinton Township, Precinct 16",187,127,314,332,646
"Clinton Township, Precinct 17",142,74,216,255,471
"Clinton Township, Precinct 18",134,56,190,316,506
"Clinton Township, Precinct 19",146,90,236,449,685
"Clinton Township, Precinct 20",24,34,58,35,93
"Clinton Township, Precinct 21",115,85,200,149,349
"Clinton Township, Precinct 22",185,162,347,188,535
"Clinton Township, Precinct 23",214,123,337,454,791
"Clinton Township, Precinct 24",133,67,200,277,477
"Clinton Township, Precinct 25",134,155,289,268,557
"Clinton Township, Precinct 26",189,92,281,385,666
"Clinton Township, Precinct 30",141,145,286,249,535
"Clinton Township, Precinct 31",209,110,319,310,629
"Clinton Township, Precinct 32",120,84,204,247,451
"Clinton Township, Precinct 33",247,192,439,425,864
"Clinton Township, Precinct 35",300,180,480,634,"1,114"
"Clinton Township, Precinct 43",83,39,122,213,335
"Fraser City, Precinct 1",97,97,194,227,421
"Fraser City, Precinct 2",159,101,260,385,645
"Fraser City, Precinct 3",220,167,387,357,744
"Fraser City, Precinct 4",145,140,285,288,573
"Fraser City, Precinct 5",53,41,94,82,176
"Fraser City, Precinct 6",218,123,341,446,787
"Fraser City, Precinct 7",98,114,212,197,409
"Mount Clemens City, Precinct 1",151,151,302,84,386
"Mount Clemens City, Precinct 2",221,153,374,265,639
"Mount Clemens City, Precinct 3",243,194,437,344,781
"Mount Clemens City, Precinct 4",112,116,228,151,379
"Mount Clemens City, Precinct 6",259,266,525,275,800
"Mount Clemens City, Precinct 9",191,141,332,388,720
Totals,"6,300","4,685","10,985","10,852","21,837"

