Precinct,"Lisa Valerio-Nowc
Republican","Austin James Negipe
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"4,338","2,878","7,216","14,621","21,837"
"Clinton Township, Precinct 2",63,35,98,147,245
"Clinton Township, Precinct 3",86,62,148,343,491
"Clinton Township, Precinct 5",10,9,19,351,370
"Clinton Township, Precinct 6",90,64,154,432,586
"Clinton Township, Precinct 7",64,31,95,167,262
"Clinton Township, Precinct 8",86,76,162,307,469
"Clinton Township, Precinct 9",72,47,119,207,326
"Clinton Township, Precinct 11",81,59,140,315,455
"Clinton Township, Precinct 12",58,23,81,172,253
"Clinton Township, Precinct 13",105,83,188,346,534
"Clinton Township, Precinct 14",71,32,103,130,233
"Clinton Township, Precinct 15",99,81,180,269,449
"Clinton Township, Precinct 16",141,86,227,419,646
"Clinton Township, Precinct 17",101,81,182,289,471
"Clinton Township, Precinct 18",136,64,200,306,506
"Clinton Township, Precinct 19",177,124,301,384,685
"Clinton Township, Precinct 20",18,8,26,67,93
"Clinton Township, Precinct 21",55,36,91,258,349
"Clinton Township, Precinct 22",77,38,115,420,535
"Clinton Township, Precinct 23",165,117,282,509,791
"Clinton Township, Precinct 24",119,53,172,305,477
"Clinton Township, Precinct 25",96,78,174,383,557
"Clinton Township, Precinct 26",182,82,264,402,666
"Clinton Township, Precinct 30",89,65,154,381,535
"Clinton Township, Precinct 31",130,81,211,418,629
"Clinton Township, Precinct 32",93,75,168,283,451
"Clinton Township, Precinct 33",197,97,294,570,864
"Clinton Township, Precinct 35",265,171,436,678,"1,114"
"Clinton Township, Precinct 43",98,44,142,193,335
"Fraser City, Precinct 1",87,77,164,257,421
"Fraser City, Precinct 2",176,97,273,372,645
"Fraser City, Precinct 3",123,112,235,509,744
"Fraser City, Precinct 4",103,86,189,384,573
"Fraser City, Precinct 5",35,26,61,115,176
"Fraser City, Precinct 6",183,111,294,493,787
"Fraser City, Precinct 7",76,55,131,278,409
"Mount Clemens City, Precinct 1",29,19,48,338,386
"Mount Clemens City, Precinct 2",89,81,170,469,639
"Mount Clemens City, Precinct 3",137,94,231,550,781
"Mount Clemens City, Precinct 4",54,39,93,286,379
"Mount Clemens City, Precinct 6",91,70,161,639,800
"Mount Clemens City, Precinct 9",131,109,240,480,720
Totals,"4,338","2,878","7,216","14,621","21,837"

