Precinct,"Joanne Recchia
Democratic","Kyle Simpson
Democratic","Gary Lee Kimbel
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,217","1,625","1,267","6,109","13,797","19,906"
"Macomb Township, Precinct 1",85,27,33,145,396,541
"Macomb Township, Precinct 3",92,45,37,174,425,599
"Macomb Township, Precinct 5",132,99,44,275,502,777
"Macomb Township, Precinct 6",121,38,42,201,388,589
"Macomb Township, Precinct 7",117,52,27,196,396,592
"Macomb Township, Precinct 8",122,56,48,226,428,654
"Macomb Township, Precinct 9",54,21,29,104,362,466
"Macomb Township, Precinct 11",113,79,45,237,524,761
"Macomb Township, Precinct 13",93,57,57,207,462,669
"Macomb Township, Precinct 14",97,43,71,211,566,777
"Macomb Township, Precinct 15",139,49,39,227,623,850
"Macomb Township, Precinct 16",145,81,48,274,625,899
"Macomb Township, Precinct 17",140,54,69,263,517,780
"Macomb Township, Precinct 20",127,55,33,215,468,683
"Macomb Township, Precinct 21",142,73,47,262,589,851
"Macomb Township, Precinct 22",133,35,59,227,571,798
"Macomb Township, Precinct 23",133,39,36,208,565,773
"Macomb Township, Precinct 24",136,92,58,286,650,936
"Macomb Township, Precinct 25",82,31,37,150,341,491
"Macomb Township, Precinct 26",60,43,22,125,325,450
"Macomb Township, Precinct 27",131,74,34,239,557,796
"Macomb Township, Precinct 28",72,39,53,164,368,532
"Macomb Township, Precinct 29",114,87,40,241,331,572
"Macomb Township, Precinct 30",106,59,45,210,454,664
"Macomb Township, Precinct 31",69,28,35,132,370,502
"Macomb Township, Precinct 32",116,36,22,174,460,634
"Macomb Township, Precinct 34",85,57,41,183,377,560
"Macomb Township, Precinct 35",118,77,58,253,363,616
"Macomb Township, Precinct 36",77,55,23,155,332,487
"Macomb Township, Precinct 37",66,44,35,145,462,607
Totals,"3,217","1,625","1,267","6,109","13,797","19,906"

