Precinct,"Anthony G. Forlini
Republican","Julie A. Williams
Republican","Jackie Ryan
Republican","Daniel Joseph Russell
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"37,912","19,744","14,501","12,424","84,581","127,932","212,513"
"Armada Township, Precinct 1",170,156,105,105,536,556,"1,092"
"Armada Township, Precinct 2",139,114,65,67,385,390,775
"Bruce Township, Precinct 1",86,70,57,44,257,324,581
"Bruce Township, Precinct 2",211,182,100,76,569,511,"1,080"
"Bruce Township, Precinct 3",172,89,48,54,363,324,687
"Bruce Township, Precinct 4",170,102,76,86,434,390,824
"Center Line City, Precinct 1",57,37,29,15,138,284,422
"Center Line City, Precinct 2",22,18,14,22,76,269,345
"Center Line City, Precinct 3",37,29,34,21,121,334,455
"Center Line City, Precinct 4",24,27,11,17,79,171,250
"Center Line City, Precinct 5",28,17,14,20,79,161,240
"Chesterfield Township, Precinct 1",127,103,77,54,361,425,786
"Chesterfield Township, Precinct 2",133,88,56,49,326,400,726
"Chesterfield Township, Precinct 3",132,65,47,44,288,299,587
"Chesterfield Township, Precinct 4",79,47,32,56,214,281,495
"Chesterfield Township, Precinct 5",109,82,62,42,295,389,684
"Chesterfield Township, Precinct 6",133,95,35,41,304,287,591
"Chesterfield Township, Precinct 7",90,49,47,33,219,258,477
"Chesterfield Township, Precinct 8",105,75,45,45,270,288,558
"Chesterfield Township, Precinct 9",118,71,54,55,298,335,633
"Chesterfield Township, Precinct 10",239,147,80,70,536,432,968
"Chesterfield Township, Precinct 11",109,39,50,41,239,253,492
"Chesterfield Township, Precinct 12",87,40,55,56,238,326,564
"Chesterfield Township, Precinct 13",148,89,83,45,365,425,790
"Chesterfield Township, Precinct 14",71,53,29,31,184,242,426
"Chesterfield Township, Precinct 15",197,90,69,50,406,485,891
"Chesterfield Township, Precinct 16",131,80,44,72,327,342,669
"Chesterfield Township, Precinct 17",29,32,19,10,90,205,295
"Chesterfield Township, Precinct 18",95,54,26,24,199,269,468
"Chesterfield Township, Precinct 19",87,31,32,34,184,278,462
"Clinton Township, Precinct 1",97,30,32,37,196,388,584
"Clinton Township, Precinct 2",32,23,30,18,103,142,245
"Clinton Township, Precinct 3",53,53,24,16,146,345,491
"Clinton Township, Precinct 4",30,15,11,12,68,106,174
"Clinton Township, Precinct 5",10,4,4,3,21,349,370
"Clinton Township, Precinct 6",79,26,33,26,164,422,586
"Clinton Township, Precinct 7",32,38,14,10,94,168,262
"Clinton Township, Precinct 8",99,25,19,26,169,300,469
"Clinton Township, Precinct 9",62,18,22,21,123,203,326
"Clinton Township, Precinct 10",168,54,42,18,282,284,566
"Clinton Township, Precinct 11",51,50,18,21,140,315,455
"Clinton Township, Precinct 12",47,17,9,10,83,170,253
"Clinton Township, Precinct 13",61,46,43,39,189,345,534
"Clinton Township, Precinct 14",50,20,16,14,100,133,233
"Clinton Township, Precinct 15",82,51,21,22,176,273,449
"Clinton Township, Precinct 16",124,42,33,28,227,419,646
"Clinton Township, Precinct 17",79,34,34,40,187,284,471
"Clinton Township, Precinct 18",99,40,48,23,210,296,506
"Clinton Township, Precinct 19",164,67,35,34,300,385,685
"Clinton Township, Precinct 20",13,4,3,6,26,67,93
"Clinton Township, Precinct 21",36,24,15,20,95,254,349
"Clinton Township, Precinct 22",51,28,19,12,110,425,535
"Clinton Township, Precinct 23",134,86,34,31,285,506,791
"Clinton Township, Precinct 24",110,38,20,14,182,295,477
"Clinton Township, Precinct 25",64,36,37,40,177,380,557
"Clinton Township, Precinct 26",137,47,47,45,276,390,666
"Clinton Township, Precinct 27",158,63,26,30,277,331,608
"Clinton Township, Precinct 28",43,18,16,9,86,337,423
"Clinton Township, Precinct 29",163,74,54,38,329,446,775
"Clinton Township, Precinct 30",76,42,33,11,162,373,535
"Clinton Township, Precinct 31",116,55,26,20,217,412,629
"Clinton Township, Precinct 32",93,34,19,29,175,276,451
"Clinton Township, Precinct 33",131,59,66,45,301,563,864
"Clinton Township, Precinct 34",66,20,23,15,124,395,519
"Clinton Township, Precinct 35",218,108,74,43,443,671,"1,114"
"Clinton Township, Precinct 36",124,30,28,29,211,435,646
"Clinton Township, Precinct 37",152,62,43,62,319,555,874
"Clinton Township, Precinct 38",136,41,38,12,227,332,559
"Clinton Township, Precinct 39",117,62,36,19,234,367,601
"Clinton Township, Precinct 40",184,71,33,17,305,527,832
"Clinton Township, Precinct 41",111,45,42,56,254,376,630
"Clinton Township, Precinct 42",66,49,39,33,187,421,608
"Clinton Township, Precinct 43",85,34,12,17,148,187,335
"Clinton Township, Precinct 44",250,87,61,56,454,645,"1,099"
"Clinton Township, Precinct 45",145,58,46,34,283,407,690
"Clinton Township, Precinct 46",222,86,81,40,429,721,"1,150"
"Eastpointe City, Precinct 1",31,27,12,8,78,338,416
"Eastpointe City, Precinct 2",28,42,21,21,112,498,610
"Eastpointe City, Precinct 3",53,38,28,30,149,389,538
"Eastpointe City, Precinct 4",49,30,19,22,120,392,512
"Eastpointe City, Precinct 5",46,25,24,30,125,375,500
"Eastpointe City, Precinct 6",35,18,23,16,92,427,519
"Eastpointe City, Precinct 7",22,12,6,7,47,464,511
"Eastpointe City, Precinct 8",25,8,8,4,45,630,675
"Eastpointe City, Precinct 9",12,8,6,17,43,420,463
"Eastpointe City, Precinct 10",34,20,16,14,84,247,331
"Eastpointe City, Precinct 11",35,32,13,17,97,383,480
"Eastpointe City, Precinct 12",86,34,25,29,174,637,811
"Eastpointe City, Precinct 13",22,12,9,11,54,237,291
"Eastpointe City, Precinct 14",40,9,19,13,81,496,577
"Fraser City, Precinct 1",64,42,23,35,164,257,421
"Fraser City, Precinct 2",132,61,46,46,285,360,645
"Fraser City, Precinct 3",92,56,43,48,239,505,744
"Fraser City, Precinct 4",77,38,33,46,194,379,573
"Fraser City, Precinct 5",33,18,8,6,65,111,176
"Fraser City, Precinct 6",141,61,49,45,296,491,787
"Fraser City, Precinct 7",51,28,24,29,132,277,409
"Village of Grosse Pointe Shores City, Precinct 3",8,3,2,2,15,15,30
"Harrison Township, Precinct 1",203,62,33,27,325,379,704
"Harrison Township, Precinct 2",233,50,37,46,366,494,860
"Harrison Township, Precinct 3",301,58,56,38,453,367,820
"Harrison Township, Precinct 4",314,46,35,21,416,446,862
"Harrison Township, Precinct 5",487,78,37,34,636,336,972
"Harrison Township, Precinct 6",366,44,42,27,479,428,907
"Harrison Township, Precinct 7",376,66,51,35,528,395,923
"Harrison Township, Precinct 8",134,19,27,13,193,337,530
"Harrison Township, Precinct 9",376,74,32,23,505,330,835
"Harrison Township, Precinct 10",301,58,37,25,421,341,762
"Lenox Township, Precinct 1",79,53,75,49,256,247,503
"Lenox Township, Precinct 2",82,81,67,52,282,352,634
"Lenox Township, Precinct 3",75,49,38,26,188,386,574
"Lenox Township, Precinct 4",46,11,17,17,91,155,246
"Macomb Township, Precinct 1",136,49,45,47,277,264,541
"Macomb Township, Precinct 2",119,76,63,60,318,356,674
"Macomb Township, Precinct 3",167,69,49,31,316,283,599
"Macomb Township, Precinct 4",162,51,58,23,294,355,649
"Macomb Township, Precinct 5",159,96,54,51,360,417,777
"Macomb Township, Precinct 6",135,58,44,23,260,329,589
"Macomb Township, Precinct 7",151,81,32,20,284,308,592
