Precinct,"Susan Kraft
Republican","Trese Servitto-Smith
Republican","Alex Scott Roncelli
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Bruce Township, Precinct 1",172,84,68,324,257,581
"Bruce Township, Precinct 2",301,229,179,709,371,"1,080"
"Bruce Township, Precinct 3",195,183,72,450,237,687
"Bruce Township, Precinct 4",219,185,168,572,252,824
Totals,887,681,487,"2,055","1,117","3,172"

