Precinct,"James L. Carabelli
Republican","Michael Flynn
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"6,633","5,570","12,203","9,072","21,275"
"Shelby Township, Precinct 1",349,287,636,390,"1,026"
"Shelby Township, Precinct 2",270,242,512,301,813
"Shelby Township, Precinct 3",116,106,222,143,365
"Shelby Township, Precinct 4",181,209,390,294,684
"Shelby Township, Precinct 5",137,93,230,283,513
"Shelby Township, Precinct 6",99,90,189,251,440
"Shelby Township, Precinct 7",322,202,524,304,828
"Shelby Township, Precinct 8",165,101,266,152,418
"Shelby Township, Precinct 9",75,106,181,201,382
"Shelby Township, Precinct 10",156,153,309,224,533
"Shelby Township, Precinct 11",158,175,333,320,653
"Shelby Township, Precinct 12",235,151,386,174,560
"Shelby Township, Precinct 13",163,94,257,156,413
"Shelby Township, Precinct 14",275,223,498,314,812
"Shelby Township, Precinct 15",321,204,525,350,875
"Shelby Township, Precinct 16",378,313,691,441,"1,132"
"Shelby Township, Precinct 17",260,205,465,411,876
"Shelby Township, Precinct 18",173,173,346,312,658
"Shelby Township, Precinct 19",191,160,351,242,593
"Shelby Township, Precinct 20",123,122,245,246,491
"Shelby Township, Precinct 21",47,44,91,216,307
"Shelby Township, Precinct 22",435,289,724,437,"1,161"
"Shelby Township, Precinct 23",375,274,649,306,955
"Shelby Township, Precinct 24",436,369,805,468,"1,273"
"Shelby Township, Precinct 25",278,228,506,369,875
"Shelby Township, Precinct 26",161,231,392,400,792
"Shelby Township, Precinct 27",205,180,385,422,807
"Shelby Township, Precinct 28",243,240,483,461,944
"Shelby Township, Precinct 29",116,155,271,207,478
"Shelby Township, Precinct 30",190,151,341,277,618
Totals,"6,633","5,570","12,203","9,072","21,275"

