Precinct,"Nate Shannon
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"10,147","10,147","11,210","21,357"
"Sterling Heights City, Precinct 3",442,442,400,842
"Sterling Heights City, Precinct 4",530,530,472,"1,002"
"Sterling Heights City, Precinct 5",463,463,451,914
"Sterling Heights City, Precinct 6",213,213,305,518
"Sterling Heights City, Precinct 9",155,155,176,331
"Sterling Heights City, Precinct 10",355,355,408,763
"Sterling Heights City, Precinct 11",227,227,213,440
"Sterling Heights City, Precinct 12",402,402,448,850
"Sterling Heights City, Precinct 18",392,392,386,778
"Sterling Heights City, Precinct 19",385,385,400,785
"Sterling Heights City, Precinct 20",336,336,375,711
"Sterling Heights City, Precinct 21",193,193,218,411
"Sterling Heights City, Precinct 25",414,414,456,870
"Sterling Heights City, Precinct 26",328,328,494,822
"Sterling Heights City, Precinct 27",311,311,389,700
"Sterling Heights City, Precinct 28",315,315,388,703
"Sterling Heights City, Precinct 29",247,247,365,612
"Sterling Heights City, Precinct 30",174,174,188,362
"Sterling Heights City, Precinct 31",182,182,180,362
"Sterling Heights City, Precinct 36",356,356,447,803
"Sterling Heights City, Precinct 37",320,320,362,682
"Sterling Heights City, Precinct 38",422,422,459,881
"Sterling Heights City, Precinct 39",253,253,350,603
"Sterling Heights City, Precinct 40",117,117,178,295
"Sterling Heights City, Precinct 42",237,237,377,614
"Warren City, Precinct 41",471,471,379,850
"Warren City, Precinct 43",356,356,304,660
"Warren City, Precinct 44",329,329,223,552
"Warren City, Precinct 49",374,374,423,797
"Warren City, Precinct 51",413,413,475,888
"Warren City, Precinct 52",216,216,285,501
"Warren City, Precinct 53",219,219,236,455
Totals,"10,147","10,147","11,210","21,357"

