Precinct,"Kathy D. Vosburg
Republican","David M. Joseph
Republican","Brian Scott DeMuynck
Republican","Hank Anderson
Republican","Terri Weston
Republican","Christopher P. Aiello
Republican","Total Votes Cast","Total Ballots Cast"
Totals,"3,893","3,334","3,201","2,745","2,735","2,524","18,432","11,562"
"Chesterfield Township, Precinct 1",271,204,220,202,187,186,"1,270",786
"Chesterfield Township, Precinct 2",239,226,218,217,164,152,"1,216",726
"Chesterfield Township, Precinct 3",209,174,186,120,132,125,946,587
"Chesterfield Township, Precinct 4",140,145,101,97,118,94,695,495
"Chesterfield Township, Precinct 5",220,173,188,155,141,147,"1,024",684
"Chesterfield Township, Precinct 6",217,177,153,160,173,140,"1,020",591
"Chesterfield Township, Precinct 7",165,127,142,118,118,135,805,477
"Chesterfield Township, Precinct 8",207,171,173,142,144,102,939,558
"Chesterfield Township, Precinct 9",215,187,171,145,156,134,"1,008",633
"Chesterfield Township, Precinct 10",420,353,370,267,260,286,"1,956",968
"Chesterfield Township, Precinct 11",183,140,135,119,105,102,784,492
"Chesterfield Township, Precinct 12",153,132,119,130,120,106,760,564
"Chesterfield Township, Precinct 13",225,202,203,148,199,207,"1,184",790
"Chesterfield Township, Precinct 14",141,118,127,107,100,82,675,426
"Chesterfield Township, Precinct 15",326,278,271,229,216,183,"1,503",891
"Chesterfield Township, Precinct 16",235,199,186,150,175,137,"1,082",669
"Chesterfield Township, Precinct 17",54,49,30,33,35,46,247,295
"Chesterfield Township, Precinct 18",138,148,112,107,100,83,688,468
"Chesterfield Township, Precinct 19",135,131,96,99,92,77,630,462
Totals,"3,893","3,334","3,201","2,745","2,735","2,524","18,432","11,562"

