Precinct,"Anthony M. Wickersham
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"88,625","88,625","123,888","212,513"
"Armada Township, Precinct 1",172,172,920,"1,092"
"Armada Township, Precinct 2",97,97,678,775
"Bruce Township, Precinct 1",153,153,428,581
"Bruce Township, Precinct 2",194,194,886,"1,080"
"Bruce Township, Precinct 3",133,133,554,687
"Bruce Township, Precinct 4",119,119,705,824
"Center Line City, Precinct 1",214,214,208,422
"Center Line City, Precinct 2",227,227,118,345
"Center Line City, Precinct 3",278,278,177,455
"Center Line City, Precinct 4",132,132,118,250
"Center Line City, Precinct 5",136,136,104,240
"Chesterfield Township, Precinct 1",265,265,521,786
"Chesterfield Township, Precinct 2",254,254,472,726
"Chesterfield Township, Precinct 3",173,173,414,587
"Chesterfield Township, Precinct 4",199,199,296,495
"Chesterfield Township, Precinct 5",265,265,419,684
"Chesterfield Township, Precinct 6",193,193,398,591
"Chesterfield Township, Precinct 7",170,170,307,477
"Chesterfield Township, Precinct 8",174,174,384,558
"Chesterfield Township, Precinct 9",242,242,391,633
"Chesterfield Township, Precinct 10",253,253,715,968
"Chesterfield Township, Precinct 11",179,179,313,492
"Chesterfield Township, Precinct 12",242,242,322,564
"Chesterfield Township, Precinct 13",292,292,498,790
"Chesterfield Township, Precinct 14",158,158,268,426
"Chesterfield Township, Precinct 15",325,325,566,891
"Chesterfield Township, Precinct 16",222,222,447,669
"Chesterfield Township, Precinct 17",170,170,125,295
"Chesterfield Township, Precinct 18",167,167,301,468
"Chesterfield Township, Precinct 19",193,193,269,462
"Clinton Township, Precinct 1",265,265,319,584
"Clinton Township, Precinct 2",105,105,140,245
"Clinton Township, Precinct 3",269,269,222,491
"Clinton Township, Precinct 4",83,83,91,174
"Clinton Township, Precinct 5",306,306,64,370
"Clinton Township, Precinct 6",332,332,254,586
"Clinton Township, Precinct 7",127,127,135,262
"Clinton Township, Precinct 8",199,199,270,469
"Clinton Township, Precinct 9",153,153,173,326
"Clinton Township, Precinct 10",191,191,375,566
"Clinton Township, Precinct 11",241,241,214,455
"Clinton Township, Precinct 12",129,129,124,253
"Clinton Township, Precinct 13",246,246,288,534
"Clinton Township, Precinct 14",102,102,131,233
"Clinton Township, Precinct 15",190,190,259,449
"Clinton Township, Precinct 16",312,312,334,646
"Clinton Township, Precinct 17",207,207,264,471
"Clinton Township, Precinct 18",180,180,326,506
"Clinton Township, Precinct 19",228,228,457,685
"Clinton Township, Precinct 20",56,56,37,93
"Clinton Township, Precinct 21",193,193,156,349
"Clinton Township, Precinct 22",339,339,196,535
"Clinton Township, Precinct 23",343,343,448,791
"Clinton Township, Precinct 24",204,204,273,477
"Clinton Township, Precinct 25",285,285,272,557
"Clinton Township, Precinct 26",275,275,391,666
"Clinton Township, Precinct 27",227,227,381,608
"Clinton Township, Precinct 28",273,273,150,423
"Clinton Township, Precinct 29",303,303,472,775
"Clinton Township, Precinct 30",279,279,256,535
"Clinton Township, Precinct 31",314,314,315,629
"Clinton Township, Precinct 32",201,201,250,451
"Clinton Township, Precinct 33",424,424,440,864
"Clinton Township, Precinct 34",321,321,198,519
"Clinton Township, Precinct 35",475,475,639,"1,114"
"Clinton Township, Precinct 36",318,318,328,646
"Clinton Township, Precinct 37",389,389,485,874
"Clinton Township, Precinct 38",231,231,328,559
"Clinton Township, Precinct 39",252,252,349,601
"Clinton Township, Precinct 40",371,371,461,832
"Clinton Township, Precinct 41",254,254,376,630
"Clinton Township, Precinct 42",337,337,271,608
"Clinton Township, Precinct 43",125,125,210,335
"Clinton Township, Precinct 44",436,436,663,"1,099"
"Clinton Township, Precinct 45",274,274,416,690
"Clinton Township, Precinct 46",522,522,628,"1,150"
"Eastpointe City, Precinct 1",270,270,146,416
"Eastpointe City, Precinct 2",429,429,181,610
"Eastpointe City, Precinct 3",314,314,224,538
"Eastpointe City, Precinct 4",327,327,185,512
"Eastpointe City, Precinct 5",317,317,183,500
"Eastpointe City, Precinct 6",336,336,183,519
"Eastpointe City, Precinct 7",387,387,124,511
"Eastpointe City, Precinct 8",547,547,128,675
"Eastpointe City, Precinct 9",368,368,95,463
"Eastpointe City, Precinct 10",200,200,131,331
"Eastpointe City, Precinct 11",332,332,148,480
"Eastpointe City, Precinct 12",538,538,273,811
"Eastpointe City, Precinct 13",211,211,80,291
"Eastpointe City, Precinct 14",424,424,153,577
"Fraser City, Precinct 1",190,190,231,421
"Fraser City, Precinct 2",255,255,390,645
"Fraser City, Precinct 3",379,379,365,744
"Fraser City, Precinct 4",276,276,297,573
"Fraser City, Precinct 5",91,91,85,176
"Fraser City, Precinct 6",343,343,444,787
"Fraser City, Precinct 7",214,214,195,409
"Harrison Township, Precinct 1",276,276,428,704
"Harrison Township, Precinct 2",356,356,504,860
"Harrison Township, Precinct 3",233,233,587,820
"Harrison Township, Precinct 4",287,287,575,862
"Harrison Township, Precinct 5",181,181,791,972
"Harrison Township, Precinct 6",291,291,616,907
"Harrison Township, Precinct 7",251,251,672,923
"Harrison Township, Precinct 8",233,233,297,530
"Harrison Township, Precinct 9",186,186,649,835
"Harrison Township, Precinct 10",220,220,542,762
"Lenox Township, Precinct 1",123,123,380,503
"Lenox Township, Precinct 2",232,232,402,634
"Lenox Township, Precinct 3",300,300,274,574
"Lenox Township, Precinct 4",132,132,114,246
"Macomb Township, Precinct 1",155,155,386,541
"Macomb Township, Precinct 2",234,234,440,674
"Macomb Township, Precinct 3",179,179,420,599
"Macomb Township, Precinct 4",233,233,416,649
"Macomb Township, Precinct 5",295,295,482,777
"Macomb Township, Precinct 6",229,229,360,589
"Macomb Township, Precinct 7",205,205,387,592
"Macomb Township, Precinct 8",261,261,393,654
"Macomb Township, Precinct 9",114,114,352,466
"Macomb Township, Precinct 10",239,239,238,477
"Macomb Township, Precinct 11",263,263,498,761
"Macomb Township, Precinct 12",298,298,442,740
"Macomb Township, Precinct 13",219,219,450,669
"Macomb Township, Precinct 14",234,234,543,777
"Macomb Township, Precinct 15",244,244,606,850
"Macomb Township, Precinct 16",297,297,602,899
"Macomb Township, Precinct 17",286,286,494,780
"Macomb Township, Precinct 18",220,220,253,473
"Macomb Township, Precinct 19",155,155,131,286
"Macomb Township, Precinct 20",252,252,431,683
"Macomb Township, Precinct 21",279,279,572,851
"Macomb Township, Precinct 22",259,259,539,798
"Macomb Township, Precinct 23",226,226,547,773
"Macomb Township, Precinct 24",322,322,614,936
"Macomb Township, Precinct 25",162,162,329,491
"Macomb Township, Precinct 26",144,144,306,450
"Macomb Township, Precinct 27",256,256,540,796
"Macomb Township, Precinct 28",178,178,354,532
"Macomb Township, Precinct 29",255,255,317,572
"Macomb Township, Precinct 30",222,222,442,664
"Macomb Township, Precinct 31",153,153,349,502
"Macomb Township, Precinct 32",185,185,449,634
"Macomb Township, Precinct 33",172,172,292,464
"Macomb Township, Precinct 34",190,190,370,560
"Macomb Township, Precinct 35",263,263,353,616
"Macomb Township, Precinct 36",170,170,317,487
"Macomb Township, Precinct 37",169,169,438,607
"Memphis City, Precinct 1",51,51,135,186
"Mount Clemens City, Precinct 1",282,282,104,386
"Mount Clemens City, Precinct 2",341,341,298,639
"Mount Clemens City, Precinct 3",432,432,349,781
"Mount Clemens City, Precinct 4",219,219,160,379
"Mount Clemens City, Precinct 6",503,503,297,800
"Mount Clemens City, Precinct 9",337,337,383,720
"New Baltimore City, Precinct 1",181,181,298,479
"New Baltimore City, Precinct 2",122,122,252,374
"New Baltimore City, Precinct 3",266,266,587,853
"New Baltimore City, Precinct 4",285,285,417,702
"New Baltimore City, Precinct 5",237,237,389,626
"Ray Township, Precinct 1",92,92,522,614
"Ray Township, Precinct 2",156,156,679,835
"Richmond City, Precinct 1A",275,275,562,837
"Richmond City, Precinct 2",202,202,439,641
"Richmond Township, Precinct 1",87,87,387,474
"Richmond Township, Precinct 2",108,108,365,473
"Roseville City, Precinct 1",285,285,268,553
"Roseville City, Precinct 2",457,457,375,832
"Roseville City, Precinct 3",351,351,207,558
"Roseville City, Precinct 4",197,197,139,336
"Roseville City, Precinct 5",279,279,221,500
"Roseville City, Precinct 6",339,339,383,722
"Roseville City, Precinct 7",407,407,333,740
"Roseville City, Precinct 8",402,402,329,731
"Roseville City, Precinct 9",407,407,421,828
"Roseville City, Precinct 10",207,207,196,403
"Roseville City, Precinct 11",293,293,265,558
"Roseville City, Precinct 12",271,271,235,506
"Roseville City, Precinct 13",156,156,140,296
"Roseville City, Precinct 14",222,222,234,456
"Roseville City, Precinct 15",430,430,257,687
"Shelby Township, Precinct 1",206,206,820,"1,026"
"Shelby Township, Precinct 2",180,180,633,813
"Shelby Township, Precinct 3",101,101,264,365
"Shelby Township, Precinct 4",165,165,519,684
"Shelby Township, Precinct 5",163,163,350,513
"Shelby Township, Precinct 6",160,160,280,440
"Shelby Township, Precinct 7",190,190,638,828
"Shelby Township, Precinct 8",84,84,334,418
"Shelby Township, Precinct 9",148,148,234,382
"Shelby Township, Precinct 10",147,147,386,533
"Shelby Township, Precinct 11",207,207,446,653
"Shelby Township, Precinct 12",102,102,458,560
"Shelby Township, Precinct 13",91,91,322,413
"Shelby Township, Precinct 14",202,202,610,812
"Shelby Township, Precinct 15",229,229,646,875
"Shelby Township, Precinct 16",266,266,866,"1,132"
"Shelby Township, Precinct 17",223,223,653,876
"Shelby Township, Precinct 18",200,200,458,658
"Shelby Township, Precinct 19",160,160,433,593
"Shelby Township, Precinct 20",140,140,351,491
"Shelby Township, Precinct 21",165,165,142,307
"Shelby Township, Precinct 22",266,266,895,"1,161"
"Shelby Township, Precinct 23",176,176,779,955
"Shelby Township, Precinct 24",245,245,"1,028","1,273"
"Shelby Township, Precinct 25",219,219,656,875
"Shelby Township, Precinct 26",253,253,539,792
"Shelby Township, Precinct 27",287,287,520,807
"Shelby Township, Precinct 28",311,311,633,944
"Shelby Township, Precinct 29",130,130,348,478
"Shelby Township, Precinct 30",150,150,468,618
"St. Clair Shores City, Precinct 1",513,513,636,"1,149"
"St. Clair Shores City, Precinct 2",459,459,522,981
"St. Clair Shores City, Precinct 3",469,469,409,878
"St. Clair Shores City, Precinct 4",428,428,472,900
"St. Clair Shores City, Precinct 5",465,465,351,816
"St. Clair Shores City, Precinct 6",483,483,293,776
"St. Clair Shores City, Precinct 7",253,253,236,489
"St. Clair Shores City, Precinct 8",353,353,390,743
"St. Clair Shores City, Precinct 9",223,223,264,487
"St. Clair Shores City, Precinct 10",402,402,430,832
"St. Clair Shores City, Precinct 11",173,173,193,366
"St. Clair Shores City, Precinct 12",439,439,553,992
"St. Clair Shores City, Precinct 13",430,430,728,"1,158"
"St. Clair Shores City, Precinct 14",160,160,161,321
"St. Clair Shores City, Precinct 15",416,416,480,896
"St. Clair Shores City, Precinct 16",362,362,455,817
"St. Clair Shores City, Precinct 17",419,419,564,983
"St. Clair Shores City, Precinct 18",298,298,420,718
"St. Clair Shores City, Precinct 19",277,277,338,615
"St. Clair Shores City, Precinct 20",204,204,223,427
"St. Clair Shores City, Precinct 21",303,303,357,660
"St. Clair Shores City, Precinct 22",223,223,331,554
"St. Clair Shores City, Precinct 23",316,316,361,677
