Precinct,"Sebastian Sam Previti
Republican","Dan O'Leary
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,701","2,610","6,311","3,178","9,489"
"Washington Township, Precinct 1",251,99,350,207,557
"Washington Township, Precinct 10",250,176,426,235,661
"Washington Township, Precinct 11",301,143,444,205,649
"Washington Township, Precinct 2",439,310,749,405,"1,154"
"Washington Township, Precinct 3",437,297,734,335,"1,069"
"Washington Township, Precinct 4",225,196,421,333,754
"Washington Township, Precinct 5",486,304,790,286,"1,076"
"Washington Township, Precinct 6",405,386,791,354,"1,145"
"Washington Township, Precinct 7",414,292,706,325,"1,031"
"Washington Township, Precinct 8",312,241,553,326,879
"Washington Township, Precinct 9",181,166,347,167,514
Totals,"3,701","2,610","6,311","3,178","9,489"

