Precinct,"Douglas C. Wozniak
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"15,628","15,628","12,043","27,671"
"Bruce Township, Precinct 1",293,293,288,581
"Bruce Township, Precinct 2",663,663,417,"1,080"
"Bruce Township, Precinct 3",380,380,307,687
"Bruce Township, Precinct 4",513,513,311,824
"Shelby Township, Precinct 1",589,589,437,"1,026"
"Shelby Township, Precinct 3",219,219,146,365
"Shelby Township, Precinct 6",187,187,253,440
"Shelby Township, Precinct 7",450,450,378,828
"Shelby Township, Precinct 8",240,240,178,418
"Shelby Township, Precinct 9",185,185,197,382
"Shelby Township, Precinct 11",331,331,322,653
"Shelby Township, Precinct 12",362,362,198,560
"Shelby Township, Precinct 13",233,233,180,413
"Shelby Township, Precinct 14",465,465,347,812
"Shelby Township, Precinct 15",493,493,382,875
"Shelby Township, Precinct 16",649,649,483,"1,132"
"Shelby Township, Precinct 17",462,462,414,876
"Shelby Township, Precinct 18",320,320,338,658
"Shelby Township, Precinct 19",325,325,268,593
"Shelby Township, Precinct 20",233,233,258,491
"Shelby Township, Precinct 21",97,97,210,307
"Shelby Township, Precinct 22",675,675,486,"1,161"
"Shelby Township, Precinct 23",609,609,346,955
"Shelby Township, Precinct 24",783,783,490,"1,273"
"Shelby Township, Precinct 26",384,384,408,792
"Washington Township, Precinct 1",295,295,262,557
"Washington Township, Precinct 2",647,647,507,"1,154"
"Washington Township, Precinct 3",631,631,438,"1,069"
"Washington Township, Precinct 4",376,376,378,754
"Washington Township, Precinct 5",685,685,391,"1,076"
"Washington Township, Precinct 6",673,673,472,"1,145"
"Washington Township, Precinct 7",620,620,411,"1,031"
"Washington Township, Precinct 8",488,488,391,879
"Washington Township, Precinct 9",283,283,231,514
"Washington Township, Precinct 10",388,388,273,661
"Washington Township, Precinct 11",402,402,247,649
Totals,"15,628","15,628","12,043","27,671"

