Precinct,"Gary E. Kopp
Republican","Peggy A. DeVos
Republican","Cindy Olsen
Republican","Daniel D. Detkowski
Republican","Victor Trpcevski
Republican","Michele Milam
Republican","Nolan Kare
Republican","Kelly Sosnoski
Republican","Marilyn Bachochin
Republican","Gaylene Hunter
Republican","Total Votes Cast","Total Ballots Cast"
Totals,"2,961","2,736","2,273","1,818","1,770","1,622","1,557","1,377","1,018",911,"18,043","9,489"
"Washington Township, Precinct 1",116,177,103,77,95,120,176,71,68,51,"1,054",557
"Washington Township, Precinct 10",186,199,133,128,122,80,70,118,100,45,"1,181",661
"Washington Township, Precinct 11",192,229,138,120,151,143,98,88,84,49,"1,292",649
"Washington Township, Precinct 2",364,354,293,231,195,216,186,163,123,117,"2,242","1,154"
"Washington Township, Precinct 3",322,326,240,230,214,188,169,112,110,113,"2,024","1,069"
"Washington Township, Precinct 4",192,175,168,110,121,102,129,96,67,85,"1,245",754
"Washington Township, Precinct 5",369,320,290,180,241,217,257,194,124,118,"2,310","1,076"
"Washington Township, Precinct 6",469,304,344,256,190,170,120,147,97,115,"2,212","1,145"
"Washington Township, Precinct 7",356,293,258,222,206,164,143,170,100,98,"2,010","1,031"
"Washington Township, Precinct 8",242,224,198,162,129,122,114,130,84,65,"1,470",879
"Washington Township, Precinct 9",153,135,108,102,106,100,95,88,61,55,"1,003",514
Totals,"2,961","2,736","2,273","1,818","1,770","1,622","1,557","1,377","1,018",911,"18,043","9,489"

