Precinct,"Jim Goetzinger
Republican","Sara Murray
Republican","Monica Job
Republican","Total Votes Cast","Total Ballots Cast"
"Armada Township, Precinct 1",450,415,300,"1,165","1,092"
"Armada Township, Precinct 2",356,292,192,840,775
Totals,806,707,492,"2,005","1,867"

