Precinct,"Peter Fuciarelli
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"4,242","4,242","9,854","14,096"
"Center Line City, Precinct 1",133,133,289,422
"Center Line City, Precinct 2",72,72,273,345
"Center Line City, Precinct 3",116,116,339,455
"Center Line City, Precinct 4",73,73,177,250
"Center Line City, Precinct 5",73,73,167,240
"Warren City, Precinct 8",60,60,234,294
"Warren City, Precinct 9",79,79,260,339
"Warren City, Precinct 10",46,46,216,262
"Warren City, Precinct 11",2,2,7,9
"Warren City, Precinct 12",50,50,173,223
"Warren City, Precinct 13",59,59,94,153
"Warren City, Precinct 14",143,143,416,559
"Warren City, Precinct 22",230,230,463,693
"Warren City, Precinct 23",172,172,441,613
"Warren City, Precinct 24",70,70,181,251
"Warren City, Precinct 27",370,370,702,"1,072"
"Warren City, Precinct 28",239,239,648,887
"Warren City, Precinct 31",223,223,658,881
"Warren City, Precinct 32",215,215,500,715
"Warren City, Precinct 33",286,286,530,816
"Warren City, Precinct 41",243,243,607,850
"Warren City, Precinct 49",272,272,525,797
"Warren City, Precinct 50",215,215,453,668
"Warren City, Precinct 51",288,288,600,888
"Warren City, Precinct 52",196,196,305,501
"Warren City, Precinct 58",317,317,596,913
Totals,"4,242","4,242","9,854","14,096"

