Precinct,"Peter J. Lucido III
Republican","Frank Cusumano
Republican","Nancy Nevers
Republican","Charlie Oliver
Republican","Lisa Nash
Republican","Timothy F. Bussineau
Republican","Charles T. Missig
Republican","Ronald P. Papa Jr.
Republican","Lori Scharich
Republican","John McCoy
Republican","Daryl L. Smith
Republican","Peter Dabrowski
Republican","Tony Giglio
Republican","Arnold Slominski
Republican","Edward Bozek
Republican","John Parkinson
Republican","Daniel J. Hickson
Republican","Richard Maierle
Republican","Total Votes Cast","Total Ballots Cast"
Totals,"5,143","4,598","3,424","3,339","3,301","2,955","2,818","2,716","2,374","1,572","1,541","1,507","1,190","1,082",983,961,937,633,"41,074","23,669"
"Macomb Township, Precinct 1",152,136,82,52,88,87,62,88,66,40,52,34,31,21,27,13,28,12,"1,071",541
"Macomb Township, Precinct 2",96,109,89,108,77,86,90,65,54,40,32,53,25,28,32,94,25,12,"1,115",674
"Macomb Township, Precinct 3",147,145,84,72,85,108,104,81,46,36,34,45,35,31,27,37,30,10,"1,157",599
"Macomb Township, Precinct 4",136,122,80,71,79,70,66,66,47,40,37,62,33,30,23,20,24,18,"1,024",649
"Macomb Township, Precinct 5",163,143,116,94,133,73,75,81,98,62,45,57,31,25,35,21,45,20,"1,317",777
"Macomb Township, Precinct 6",129,114,110,60,66,56,52,48,51,36,39,46,34,30,27,13,23,20,954,589
"Macomb Township, Precinct 7",136,92,84,68,96,75,70,49,48,42,52,32,18,33,23,15,18,19,970,592
"Macomb Township, Precinct 8",145,123,110,61,81,58,76,49,62,60,27,54,35,44,34,21,16,25,"1,081",654
"Macomb Township, Precinct 9",130,98,72,102,78,66,77,73,74,46,37,45,26,31,32,15,27,7,"1,036",466
"Macomb Township, Precinct 10",70,51,63,44,54,29,37,17,37,27,19,25,15,13,12,16,15,12,556,477
"Macomb Township, Precinct 11",136,119,103,130,121,101,126,99,90,61,36,41,34,32,32,36,23,23,"1,343",761
"Macomb Township, Precinct 12",153,157,127,81,100,67,73,90,57,30,47,36,40,37,26,28,29,10,"1,188",740
"Macomb Township, Precinct 13",172,143,94,116,83,55,79,105,85,58,59,43,35,30,36,21,19,7,"1,240",669
"Macomb Township, Precinct 14",151,151,117,109,88,128,140,91,77,36,59,47,23,44,34,39,24,13,"1,371",777
"Macomb Township, Precinct 15",214,181,139,121,130,107,89,123,107,49,67,74,50,62,30,51,30,15,"1,639",850
"Macomb Township, Precinct 16",214,186,84,135,154,141,106,161,107,68,70,36,53,38,43,18,42,26,"1,682",899
"Macomb Township, Precinct 17",148,144,108,98,118,94,93,117,97,38,57,57,32,38,33,31,37,23,"1,363",780
"Macomb Township, Precinct 18",69,64,46,32,61,33,17,27,44,29,31,31,28,22,23,12,16,9,594,473
"Macomb Township, Precinct 19",46,31,29,7,23,21,18,13,14,11,15,15,9,10,8,11,8,4,293,286
"Macomb Township, Precinct 20",128,128,102,102,105,77,60,64,72,47,49,41,26,24,32,18,18,15,"1,108",683
"Macomb Township, Precinct 21",198,190,165,96,106,114,89,66,69,41,56,66,55,41,37,21,28,18,"1,456",851
"Macomb Township, Precinct 22",207,181,129,111,119,94,70,60,98,63,36,91,49,32,31,15,44,36,"1,466",798
"Macomb Township, Precinct 23",193,184,127,154,126,146,94,65,89,46,59,51,61,36,27,26,41,40,"1,565",773
"Macomb Township, Precinct 24",225,172,158,174,123,74,109,71,94,67,55,48,43,40,29,27,57,42,"1,608",936
"Macomb Township, Precinct 25",130,93,43,86,60,65,70,54,47,35,27,25,29,17,11,20,21,17,850,491
"Macomb Township, Precinct 26",113,98,64,60,63,47,74,105,30,33,28,17,24,14,16,12,27,17,842,450
"Macomb Township, Precinct 27",198,171,91,84,155,105,86,104,76,82,35,44,43,40,31,29,18,22,"1,414",796
"Macomb Township, Precinct 28",108,81,74,72,77,60,93,65,62,38,42,30,22,23,21,32,20,14,934,532
"Macomb Township, Precinct 29",72,81,80,76,55,58,69,56,41,33,24,28,19,19,24,22,39,22,818,572
"Macomb Township, Precinct 30",146,127,121,101,101,114,95,97,60,45,36,42,35,41,28,30,19,16,"1,254",664
"Macomb Township, Precinct 31",110,98,83,100,75,47,55,53,74,32,30,18,30,17,16,62,17,13,930,502
"Macomb Township, Precinct 32",183,166,87,71,71,114,58,90,47,38,40,27,39,39,21,27,15,11,"1,144",634
"Macomb Township, Precinct 33",90,73,59,59,62,56,54,45,44,26,30,32,17,28,20,21,7,5,728,464
"Macomb Township, Precinct 34",113,116,99,82,54,78,86,101,58,33,39,23,26,16,29,31,19,11,"1,014",560
"Macomb Township, Precinct 35",92,108,67,75,73,70,55,78,52,33,54,31,28,22,24,15,24,18,919,616
"Macomb Township, Precinct 36",97,102,52,61,69,84,51,50,42,33,37,26,28,15,20,22,22,9,820,487
"Macomb Township, Precinct 37",133,120,86,214,92,97,100,49,58,38,49,34,29,19,29,19,22,22,"1,210",607
Totals,"5,143","4,598","3,424","3,339","3,301","2,955","2,818","2,716","2,374","1,572","1,541","1,507","1,190","1,082",983,961,937,633,"41,074","23,669"

