Precinct,"Adam Wit
Republican","Lisa Sinclair
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"2,734","1,609","4,343","3,832","8,175"
"Harrison Township, Precinct 1",178,146,324,380,704
"Harrison Township, Precinct 2",196,165,361,499,860
"Harrison Township, Precinct 3",258,186,444,376,820
"Harrison Township, Precinct 4",263,176,439,423,862
"Harrison Township, Precinct 5",439,193,632,340,972
"Harrison Township, Precinct 6",335,150,485,422,907
"Harrison Township, Precinct 7",358,178,536,387,923
"Harrison Township, Precinct 8",119,70,189,341,530
"Harrison Township, Precinct 9",328,180,508,327,835
"Harrison Township, Precinct 10",260,165,425,337,762
Totals,"2,734","1,609","4,343","3,832","8,175"

