Precinct,"Linda Hartman
Democratic","Michelle Merriwether
Democratic","Shawn Elliott
Democratic","John Grivas
Democratic","Total Votes Cast","Total Ballots Cast"
Totals,"3,297","3,229","2,973","2,850","12,349","11,562"
"Chesterfield Township, Precinct 1",230,220,212,200,862,786
"Chesterfield Township, Precinct 2",205,195,178,176,754,726
"Chesterfield Township, Precinct 3",131,136,124,123,514,587
"Chesterfield Township, Precinct 4",151,139,134,121,545,495
"Chesterfield Township, Precinct 5",219,208,189,184,800,684
"Chesterfield Township, Precinct 6",155,157,149,146,607,591
"Chesterfield Township, Precinct 7",129,127,121,110,487,477
"Chesterfield Township, Precinct 8",145,137,125,130,537,558
"Chesterfield Township, Precinct 9",200,191,186,176,753,633
"Chesterfield Township, Precinct 10",199,183,180,176,738,968
"Chesterfield Township, Precinct 11",145,146,135,137,563,492
"Chesterfield Township, Precinct 12",174,206,158,144,682,564
"Chesterfield Township, Precinct 13",227,228,199,195,849,790
"Chesterfield Township, Precinct 14",136,127,111,109,483,426
"Chesterfield Township, Precinct 15",260,246,241,218,965,891
"Chesterfield Township, Precinct 16",184,177,165,164,690,669
"Chesterfield Township, Precinct 17",124,124,110,104,462,295
"Chesterfield Township, Precinct 18",139,138,119,113,509,468
"Chesterfield Township, Precinct 19",144,144,137,124,549,462
Totals,"3,297","3,229","2,973","2,850","12,349","11,562"

