Precinct,"Robert Murphy
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"5,949","5,949","21,722","27,671"
"Bruce Township, Precinct 1",145,145,436,581
"Bruce Township, Precinct 2",175,175,905,"1,080"
"Bruce Township, Precinct 3",120,120,567,687
"Bruce Township, Precinct 4",115,115,709,824
"Shelby Township, Precinct 1",200,200,826,"1,026"
"Shelby Township, Precinct 3",98,98,267,365
"Shelby Township, Precinct 6",163,163,277,440
"Shelby Township, Precinct 7",180,180,648,828
"Shelby Township, Precinct 8",83,83,335,418
"Shelby Township, Precinct 9",145,145,237,382
"Shelby Township, Precinct 11",200,200,453,653
"Shelby Township, Precinct 12",103,103,457,560
"Shelby Township, Precinct 13",93,93,320,413
"Shelby Township, Precinct 14",196,196,616,812
"Shelby Township, Precinct 15",215,215,660,875
"Shelby Township, Precinct 16",251,251,881,"1,132"
"Shelby Township, Precinct 17",223,223,653,876
"Shelby Township, Precinct 18",199,199,459,658
"Shelby Township, Precinct 19",151,151,442,593
"Shelby Township, Precinct 20",136,136,355,491
"Shelby Township, Precinct 21",161,161,146,307
"Shelby Township, Precinct 22",251,251,910,"1,161"
"Shelby Township, Precinct 23",163,163,792,955
"Shelby Township, Precinct 24",230,230,"1,043","1,273"
"Shelby Township, Precinct 26",246,246,546,792
"Washington Township, Precinct 1",122,122,435,557
"Washington Township, Precinct 2",253,253,901,"1,154"
"Washington Township, Precinct 3",155,155,914,"1,069"
"Washington Township, Precinct 4",186,186,568,754
"Washington Township, Precinct 5",143,143,933,"1,076"
"Washington Township, Precinct 6",176,176,969,"1,145"
"Washington Township, Precinct 7",191,191,840,"1,031"
"Washington Township, Precinct 8",180,180,699,879
"Washington Township, Precinct 9",85,85,429,514
"Washington Township, Precinct 10",120,120,541,661
"Washington Township, Precinct 11",96,96,553,649
Totals,"5,949","5,949","21,722","27,671"

