Precinct,"Wendy Jones
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,932","3,932","7,630","11,562"
"Chesterfield Township, Precinct 1",262,262,524,786
"Chesterfield Township, Precinct 2",242,242,484,726
"Chesterfield Township, Precinct 3",165,165,422,587
"Chesterfield Township, Precinct 4",185,185,310,495
"Chesterfield Township, Precinct 5",255,255,429,684
"Chesterfield Township, Precinct 6",180,180,411,591
"Chesterfield Township, Precinct 7",160,160,317,477
"Chesterfield Township, Precinct 8",163,163,395,558
"Chesterfield Township, Precinct 9",229,229,404,633
"Chesterfield Township, Precinct 10",229,229,739,968
"Chesterfield Township, Precinct 11",176,176,316,492
"Chesterfield Township, Precinct 12",233,233,331,564
"Chesterfield Township, Precinct 13",272,272,518,790
"Chesterfield Township, Precinct 14",150,150,276,426
"Chesterfield Township, Precinct 15",311,311,580,891
"Chesterfield Township, Precinct 16",213,213,456,669
"Chesterfield Township, Precinct 17",161,161,134,295
"Chesterfield Township, Precinct 18",165,165,303,468
"Chesterfield Township, Precinct 19",181,181,281,462
Totals,"3,932","3,932","7,630","11,562"

