Precinct,"Michelle Gurley
Democratic","Scott Clifford
Democratic","Total Votes Cast","Total Ballots Cast"
"Lenox Township, Precinct 1",104,78,182,503
"Lenox Township, Precinct 2",177,156,333,634
"Lenox Township, Precinct 3",233,205,438,574
"Lenox Township, Precinct 4",103,79,182,246
Totals,617,518,"1,135","1,957"

