Precinct,"No Nomination",Overvotes/Undervotes,"Total Ballots Cast"
Totals,-,"8,175","8,175"
"Harrison Township, Precinct 1",-,704,704
"Harrison Township, Precinct 2",-,860,860
"Harrison Township, Precinct 3",-,820,820
"Harrison Township, Precinct 4",-,862,862
"Harrison Township, Precinct 5",-,972,972
"Harrison Township, Precinct 6",-,907,907
"Harrison Township, Precinct 7",-,923,923
"Harrison Township, Precinct 8",-,530,530
"Harrison Township, Precinct 9",-,835,835
"Harrison Township, Precinct 10",-,762,762
Totals,-,"8,175","8,175"

