Precinct,"Robert C. Brandenburg
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"9,001","9,001","16,714","25,715"
"Clinton Township, Precinct 1",208,208,376,584
"Clinton Township, Precinct 2",96,96,149,245
"Clinton Township, Precinct 3",149,149,342,491
"Clinton Township, Precinct 4",66,66,108,174
"Clinton Township, Precinct 5",18,18,352,370
"Clinton Township, Precinct 6",161,161,425,586
"Clinton Township, Precinct 7",95,95,167,262
"Clinton Township, Precinct 8",156,156,313,469
"Clinton Township, Precinct 9",115,115,211,326
"Clinton Township, Precinct 10",254,254,312,566
"Clinton Township, Precinct 11",135,135,320,455
"Clinton Township, Precinct 12",78,78,175,253
"Clinton Township, Precinct 13",182,182,352,534
"Clinton Township, Precinct 14",93,93,140,233
"Clinton Township, Precinct 15",175,175,274,449
"Clinton Township, Precinct 16",220,220,426,646
"Clinton Township, Precinct 17",168,168,303,471
"Clinton Township, Precinct 18",219,219,287,506
"Clinton Township, Precinct 19",304,304,381,685
"Clinton Township, Precinct 20",23,23,70,93
"Clinton Township, Precinct 21",89,89,260,349
"Clinton Township, Precinct 22",117,117,418,535
"Clinton Township, Precinct 23",290,290,501,791
"Clinton Township, Precinct 24",173,173,304,477
"Clinton Township, Precinct 25",182,182,375,557
"Clinton Township, Precinct 26",258,258,408,666
"Clinton Township, Precinct 27",256,256,352,608
"Clinton Township, Precinct 28",91,91,332,423
"Clinton Township, Precinct 29",317,317,458,775
"Clinton Township, Precinct 30",156,156,379,535
"Clinton Township, Precinct 31",214,214,415,629
"Clinton Township, Precinct 32",170,170,281,451
"Clinton Township, Precinct 33",290,290,574,864
"Clinton Township, Precinct 34",119,119,400,519
"Clinton Township, Precinct 35",423,423,691,"1,114"
"Clinton Township, Precinct 36",199,199,447,646
"Clinton Township, Precinct 37",300,300,574,874
"Clinton Township, Precinct 38",218,218,341,559
"Clinton Township, Precinct 39",225,225,376,601
"Clinton Township, Precinct 40",289,289,543,832
"Clinton Township, Precinct 41",251,251,379,630
"Clinton Township, Precinct 42",177,177,431,608
"Clinton Township, Precinct 43",147,147,188,335
"Clinton Township, Precinct 44",447,447,652,"1,099"
"Clinton Township, Precinct 45",260,260,430,690
"Clinton Township, Precinct 46",428,428,722,"1,150"
Totals,"9,001","9,001","16,714","25,715"

